Journal Title,e-ISSN ,Open Access Status,Included in R&P agreement,Explanation if not included,Subject,Publisher,Agreement Duration
Anaerobe,1075-9964,Hybrid,Y,,,Elsevier,2023-2025
Anaesthesia Critical Care & Pain Medicine,2352-5568,Hybrid,Y,,,Elsevier,2023-2025
Analytic Methods in Accident Research,2213-6657,Hybrid,Y,,,Elsevier,2023-2025
Analytica Chimica Acta,0003-2670,Hybrid,Y,,,Elsevier,2023-2025
Analytical Biochemistry,0003-2697,Hybrid,Y,,,Elsevier,2023-2025
Anesthésie & Réanimation,2352-5800,Hybrid,Y,,,Elsevier,2023-2025
Animal Behaviour,0003-3472,Hybrid,Y,,,Elsevier,2023-2025
Animal Feed Science and Technology,0377-8401,Hybrid,Y,,,Elsevier,2023-2025
Animal Reproduction Science,0378-4320,Hybrid,Y,,,Elsevier,2023-2025
Annales de Chirurgie Plastique Esthétique,0294-1260,Hybrid,Y,,,Elsevier,2023-2025
Annales de Dermatologie et de Vénéréologie,0151-9638,Hybrid,Y,,,Elsevier,2023-2025
Annales de Pathologie,0242-6498,Hybrid,Y,,,Elsevier,2023-2025
Annales d'Endocrinologie,0003-4266,Hybrid,Y,,,Elsevier,2023-2025
Annales Françaises d'Oto-Rhino-Laryngologie et de Pathologie Cervico-Faciale,1879-7261,Hybrid,Y,,,Elsevier,2023-2025
Annales Médico-Psychologiques,0003-4487,Hybrid,Y,,,Elsevier,2023-2025
"Annals of Allergy, Asthma & Immunology",1081-1206,Hybrid,Y,,,Elsevier,2023-2025
Annals of Anatomy,0940-9602,Hybrid,Y,,,Elsevier,2023-2025
Annals of Diagnostic Pathology,1092-9134,Hybrid,Y,,,Elsevier,2023-2025
Annals of Emergency Medicine,0196-0644,Hybrid,Y,,,Elsevier,2023-2025
Annals of Epidemiology,1047-2797,Hybrid,Y,,,Elsevier,2023-2025
Annals of Nuclear Energy,0306-4549,Hybrid,Y,,,Elsevier,2023-2025
Annals of Oncology,0923-7534,Hybrid,Y,,,Elsevier,2023-2025
Annals of Physical and Rehabilitation Medicine,1877-0657,Hybrid,Y,,,Elsevier,2023-2025
Annals of Physics,0003-4916,Hybrid,Y,,,Elsevier,2023-2025
Annals of Pure and Applied Logic,0168-0072,Hybrid,Y,,,Elsevier,2023-2025
Annals of the Rheumatic Diseases,0003-4967,Hybrid,Y,,,Elsevier,2023-2025
Annals of Tourism Research,0160-7383,Hybrid,Y,,,Elsevier,2023-2025
Annals of Vascular Surgery,0890-5096,Hybrid,Y,,,Elsevier,2023-2025
Annual Reviews in Control,1367-5788,Hybrid,Y,,,Elsevier,2023-2025
Anthropocene,2213-3054,Hybrid,Y,,,Elsevier,2023-2025
Antiviral Research,0166-3542,Hybrid,Y,,,Elsevier,2023-2025
Appetite,0195-6663,Hybrid,Y,,,Elsevier,2023-2025
Applied Acoustics,0003-682X,Hybrid,Y,,,Elsevier,2023-2025
Applied and Computational Harmonic Analysis,1063-5203,Hybrid,Y,,,Elsevier,2023-2025
Applied Animal Behaviour Science,0168-1591,Hybrid,Y,,,Elsevier,2023-2025
Applied Animal Science,2590-2865, Gold,N,APC discount available,,Elsevier,2023-2025
Applied Catalysis A: General,0926-860X,Hybrid,Y,,,Elsevier,2023-2025
Applied Catalysis B: Environment and Energy,0926-3373,Hybrid,Y,,,Elsevier,2023-2025
Applied Clay Science,0169-1317,Hybrid,Y,,,Elsevier,2023-2025
Applied Corpus Linguistics,2666-7991,Hybrid,Y,,,Elsevier,2023-2025
Applied Energy,0306-2619,Hybrid,Y,,,Elsevier,2023-2025
Applied Ergonomics,0003-6870,Hybrid,Y,,,Elsevier,2023-2025
Applied Geochemistry,0883-2927,Hybrid,Y,,,Elsevier,2023-2025
Applied Geography,0143-6228,Hybrid,Y,,,Elsevier,2023-2025
Applied Materials Today,2352-9407,Hybrid,Y,,,Elsevier,2023-2025
Applied Mathematical Modelling,0307-904X,Hybrid,Y,,,Elsevier,2023-2025
Applied Mathematics and Computation,0096-3003,Hybrid,Y,,,Elsevier,2023-2025
Applied Mathematics Letters,0893-9659,Hybrid,Y,,,Elsevier,2023-2025
Applied Numerical Mathematics,0168-9274,Hybrid,Y,,,Elsevier,2023-2025
Applied Nursing Research,0897-1897,Hybrid,Y,,,Elsevier,2023-2025
Applied Ocean Research,0141-1187, Gold,N,APC discount available,,Elsevier,2023-2025
Applied Radiation and Isotopes,0969-8043,Hybrid,Y,,,Elsevier,2023-2025
Applied Soft Computing,1568-4946,Hybrid,Y,,,Elsevier,2023-2025
Applied Soil Ecology,0929-1393,Hybrid,Y,,,Elsevier,2023-2025
Applied Surface Science,0169-4332,Hybrid,Y,,,Elsevier,2023-2025
Applied Thermal Engineering,1359-4311,Hybrid,Y,,,Elsevier,2023-2025
Aquacultural Engineering,0144-8609,Hybrid,Y,,,Elsevier,2023-2025
Aquaculture,0044-8486,Hybrid,Y,,,Elsevier,2023-2025
Aquatic Botany,0304-3770,Hybrid,Y,,,Elsevier,2023-2025
Aquatic Toxicology,0166-445X,Hybrid,Y,,,Elsevier,2023-2025
Arab Journal of Gastroenterology,1687-1979,Hybrid,Y,,,Elsevier,2023-2025
Archaeological Research in Asia,2352-2267,Hybrid,Y,,,Elsevier,2023-2025
Archives de Pédiatrie,0929-693X,Hybrid,Y,,,Elsevier,2023-2025
Archives des Maladies du Coeur et des Vaisseaux: Pratique,1261-694X,Hybrid,Y,,,Elsevier,2023-2025
Archives des Maladies Professionnelles et de l'Environnement,1775-8785,Hybrid,Y,,,Elsevier,2023-2025
Archives of Biochemistry and Biophysics,0003-9861,Hybrid,Y,,,Elsevier,2023-2025
Archives of Cardiovascular Diseases,1875-2136,Hybrid,Y,,,Elsevier,2023-2025
Archives of Gerontology and Geriatrics,0167-4943,Hybrid,Y,,,Elsevier,2023-2025
Archives of Legal Medicine,2950-3949,Hybrid,Y,,,Elsevier,2023-2025
Archives of Medical Research,0188-4409,Hybrid,Y,,,Elsevier,2023-2025
Archives of Oral Biology,0003-9969,Hybrid,Y,,,Elsevier,2023-2025
Archives of Physical Medicine and Rehabilitation,0003-9993,Hybrid,Y,,,Elsevier,2023-2025
Archives of Psychiatric Nursing,0883-9417,Hybrid,Y,,,Elsevier,2023-2025
Archivos de Bronconeumología,0300-2896,Hybrid,Y,,,Elsevier,2023-2025
Archivos de la Sociedad Española de Oftalmología,0365-6691,Hybrid,Y,,,Elsevier,2023-2025
Archivos de la Sociedad Española de Oftalmología (English Edition),2173-5794,Hybrid,Y,,,Elsevier,2023-2025
Arthropod Structure & Development,1467-8039,Hybrid,Y,,,Elsevier,2023-2025
Arthroscopy,0749-8063,Hybrid,Y,,,Elsevier,2023-2025
Artificial Intelligence,0004-3702,Hybrid,Y,,,Elsevier,2023-2025
Artificial Intelligence in Medicine,0933-3657,Hybrid,Y,,,Elsevier,2023-2025
Asian Journal of Psychiatry,1876-2018,Hybrid,Y,,,Elsevier,2023-2025
Asian Journal of Social Science,1568-4849,Hybrid,Y,,,Elsevier,2023-2025
Assessing Writing,1075-2935,Hybrid,Y,,,Elsevier,2023-2025
Astronomy and Computing,2213-1337,Hybrid,Y,,,Elsevier,2023-2025
Astroparticle Physics,0927-6505,Hybrid,Y,,,Elsevier,2023-2025
Atherosclerosis,0021-9150,Hybrid,Y,,,Elsevier,2023-2025
Atmospheric Environment,1352-2310,Hybrid,Y,,,Elsevier,2023-2025
Atmospheric Pollution Research,1309-1042,Hybrid,Y,,,Elsevier,2023-2025
Atmospheric Research,0169-8095,Hybrid,Y,,,Elsevier,2023-2025
Atomic Data and Nuclear Data Tables,0092-640X,Hybrid,Y,,,Elsevier,2023-2025
Auris Nasus Larynx,0385-8146,Hybrid,Y,,,Elsevier,2023-2025
Australasian Emergency Care,2588-994X,Hybrid,Y,,,Elsevier,2023-2025
Australian Critical Care,1036-7314,Hybrid,Y,,,Elsevier,2023-2025
Autoimmunity Reviews,1568-9972,Hybrid,Y,,,Elsevier,2023-2025
Automatica,0005-1098,Hybrid,Y,,,Elsevier,2023-2025
Automation in Construction,0926-5805,Hybrid,Y,,,Elsevier,2023-2025
Autonomic Neuroscience: Basic and Clinical,1566-0702,Hybrid,Y,,,Elsevier,2023-2025
Behavior Therapy,0005-7894,Hybrid,Y,,,Elsevier,2023-2025
Behaviour Research and Therapy,0005-7967,Hybrid,Y,,,Elsevier,2023-2025
Behavioural Brain Research,0166-4328,Hybrid,Y,,,Elsevier,2023-2025
Behavioural Processes,0376-6357,Hybrid,Y,,,Elsevier,2023-2025
Best Practice & Research Clinical Anaesthesiology,1521-6896,Hybrid,Y,,,Elsevier,2023-2025
Best Practice & Research Clinical Endocrinology & Metabolism,1521-690X,Hybrid,Y,,,Elsevier,2023-2025
Best Practice & Research Clinical Gastroenterology,1521-6918,Hybrid,Y,,,Elsevier,2023-2025
Best Practice & Research Clinical Haematology,1521-6926,Hybrid,Y,,,Elsevier,2023-2025
Best Practice & Research Clinical Obstetrics & Gynaecology,1521-6934,Hybrid,Y,,,Elsevier,2023-2025
Best Practice & Research Clinical Rheumatology,1521-6942,Hybrid,Y,,,Elsevier,2023-2025
Big Data Research,2214-5796,Hybrid,Y,,,Elsevier,2023-2025
Bioactive Carbohydrates and Dietary Fibre,2212-6198,Hybrid,Y,,,Elsevier,2023-2025
Biocatalysis and Agricultural Biotechnology,1878-8181,Hybrid,Y,,,Elsevier,2023-2025
Biochemical and Biophysical Research Communications,0006-291X,Hybrid,Y,,,Elsevier,2023-2025
Biochemical Engineering Journal,1369-703X,Hybrid,Y,,,Elsevier,2023-2025
Biochemical Pharmacology,0006-2952,Hybrid,Y,,,Elsevier,2023-2025
Biochemical Systematics and Ecology,0305-1978,Hybrid,Y,,,Elsevier,2023-2025
Biochimica et Biophysica Acta: Bioenergetics,0005-2728,Hybrid,Y,,,Elsevier,2023-2025
Biochimica et Biophysica Acta: Biomembranes,0005-2736,Hybrid,Y,,,Elsevier,2023-2025
Biochimica et Biophysica Acta: Gene Regulatory Mechanisms,1874-9399,Hybrid,Y,,,Elsevier,2023-2025
Biochimica et Biophysica Acta: General Subjects,0304-4165,Hybrid,Y,,,Elsevier,2023-2025
Biochimica et Biophysica Acta: Molecular and Cell Biology of Lipids,1388-1981,Hybrid,Y,,,Elsevier,2023-2025
Biochimica et Biophysica Acta: Molecular Basis of Disease,0925-4439,Hybrid,Y,,,Elsevier,2023-2025
Biochimica et Biophysica Acta: Molecular Cell Research,0167-4889,Hybrid,Y,,,Elsevier,2023-2025
Biochimica et Biophysica Acta: Proteins and Proteomics,1570-9639,Hybrid,Y,,,Elsevier,2023-2025
Biochimica et Biophysica Acta: Reviews on Cancer,0304-419X,Hybrid,Y,,,Elsevier,2023-2025
Biochimie,0300-9084,Hybrid,Y,,,Elsevier,2023-2025
Biocybernetics and Biomedical Engineering,0208-5216,Hybrid,Y,,,Elsevier,2023-2025
Bioelectrochemistry,1567-5394,Hybrid,Y,,,Elsevier,2023-2025
Biological Conservation,0006-3207,Hybrid,Y,,,Elsevier,2023-2025
Biological Control,1049-9644, Gold,N,APC discount available,,Elsevier,2023-2025
Biological Psychiatry,0006-3223,Hybrid,Y,,,Elsevier,2023-2025
Biological Psychiatry: Cognitive Neuroscience and Neuroimaging,2451-9022,Hybrid,Y,,,Elsevier,2023-2025
Biological Psychology,0301-0511,Hybrid,Y,,,Elsevier,2023-2025
Biologicals,1045-1056,Hybrid,Y,,,Elsevier,2023-2025
Biomass & Bioenergy,0961-9534,Hybrid,Y,,,Elsevier,2023-2025
Biomaterials,0142-9612,Hybrid,Y,,,Elsevier,2023-2025
Biomaterials Advances,2772-9508,Hybrid,Y,,,Elsevier,2023-2025
Biomedical Signal Processing and Control,1746-8094,Hybrid,Y,,,Elsevier,2023-2025
Bioorganic & Medicinal Chemistry,0968-0896,Hybrid,Y,,,Elsevier,2023-2025
Bioorganic & Medicinal Chemistry Letters,0960-894X,Hybrid,Y,,,Elsevier,2023-2025
Bioorganic Chemistry,0045-2068,Hybrid,Y,,,Elsevier,2023-2025
Biophysical Chemistry,0301-4622,Hybrid,Y,,,Elsevier,2023-2025
Bioprinting,2405-8866,Hybrid,Y,,,Elsevier,2023-2025
Bioresource Technology,0960-8524,Hybrid,Y,,,Elsevier,2023-2025
Bioresource Technology Reports,2589-014X,Hybrid,Y,,,Elsevier,2023-2025
Biosensors and Bioelectronics,0956-5663,Hybrid,Y,,,Elsevier,2023-2025
BioSystems,0303-2647,Hybrid,Y,,,Elsevier,2023-2025
Biosystems Engineering,1537-5110,Hybrid,Y,,,Elsevier,2023-2025
Biotechnology Advances,0734-9750,Hybrid,Y,,,Elsevier,2023-2025
BJA Education,2058-5349,Hybrid,Y,,,Elsevier,2023-2025
"Blood Cells, Molecules and Diseases",1079-9796,Hybrid,Y,,,Elsevier,2023-2025
Blood Reviews,0268-960X,Hybrid,Y,,,Elsevier,2023-2025
Body Image,1740-1445,Hybrid,Y,,,Elsevier,2023-2025
Bone,8756-3282,Hybrid,Y,,,Elsevier,2023-2025
Brachytherapy,1538-4721,Hybrid,Y,,,Elsevier,2023-2025
Brain & Development,0387-7604,Hybrid,Y,,,Elsevier,2023-2025
Brain and Cognition,0278-2626,Hybrid,Y,,,Elsevier,2023-2025
Brain and Language,0093-934X,Hybrid,Y,,,Elsevier,2023-2025
Brain Mechanisms,3050-6425,Hybrid,Y,,,Elsevier,2023-2025
Brain Research,0006-8993,Hybrid,Y,,,Elsevier,2023-2025
Brain Research Bulletin,0361-9230, Gold,N,APC discount available,,Elsevier,2023-2025
"Brain, Behavior, and Immunity",0889-1591,Hybrid,Y,,,Elsevier,2023-2025
Brazilian Journal of Physical Therapy,1413-3555,Hybrid,Y,,,Elsevier,2023-2025
British Journal of Anaesthesia,0007-0912,Hybrid,Y,,,Elsevier,2023-2025
British Journal of Oral and Maxillofacial Surgery,0266-4356,Hybrid,Y,,,Elsevier,2023-2025
Building and Environment,0360-1323,Hybrid,Y,,,Elsevier,2023-2025
Bulletin des Sciences Mathématiques,0007-4497,Hybrid,Y,,,Elsevier,2023-2025
Bulletin du Cancer,0007-4551,Hybrid,Y,,,Elsevier,2023-2025
Burns,0305-4179,Hybrid,Y,,,Elsevier,2023-2025
Business Horizons,0007-6813,Hybrid,Y,,,Elsevier,2023-2025
Cahiers de Nutrition et de Diététique,0007-9960,Hybrid,Y,,,Elsevier,2023-2025
Calphad,0364-5916,Hybrid,Y,,,Elsevier,2023-2025
Canadian Journal of Cardiology,0828-282X,Hybrid,Y,,,Elsevier,2023-2025
Canadian Journal of Diabetes,1499-2671,Hybrid,Y,,,Elsevier,2023-2025
Canadian Journal of Ophthalmology,0008-4182,Hybrid,Y,,,Elsevier,2023-2025
Cancer Epidemiology,1877-7821,Hybrid,Y,,,Elsevier,2023-2025
Cancer Genetics,2210-7762,Hybrid,Y,,,Elsevier,2023-2025
Cancer Letters,0304-3835,Hybrid,Y,,,Elsevier,2023-2025
Cancer Radiothérapie,1278-3218,Hybrid,Y,,,Elsevier,2023-2025
Cancer Treatment Reviews,0305-7372,Hybrid,Y,,,Elsevier,2023-2025
Carbohydrate Polymers,0144-8617,Hybrid,Y,,,Elsevier,2023-2025
Carbohydrate Research,0008-6215,Hybrid,Y,,,Elsevier,2023-2025
Carbon,0008-6223,Hybrid,Y,,,Elsevier,2023-2025
Cardiovascular Pathology,1054-8807,Hybrid,Y,,,Elsevier,2023-2025
Cardiovascular Revascularization Medicine,1553-8389,Hybrid,Y,,,Elsevier,2023-2025
Case Studies on Transport Policy,2213-624X,Hybrid,Y,,,Elsevier,2023-2025
Catalysis Today,0920-5861,Hybrid,Y,,,Elsevier,2023-2025
CATENA,0341-8162,Hybrid,Y,,,Elsevier,2023-2025
Cell Calcium,0143-4160,Hybrid,Y,,,Elsevier,2023-2025
Cells & Development,2667-2901,Hybrid,Y,,,Elsevier,2023-2025
Cellular Immunology,0008-8749,Hybrid,Y,,,Elsevier,2023-2025
Cellular Signalling,0898-6568,Hybrid,Y,,,Elsevier,2023-2025
Cement and Concrete Composites,0958-9465,Hybrid,Y,,,Elsevier,2023-2025
Cement and Concrete Research,0008-8846,Hybrid,Y,,,Elsevier,2023-2025
Ceramics International,0272-8842,Hybrid,Y,,,Elsevier,2023-2025
"Chaos, Solitons & Fractals",0960-0779,Hybrid,Y,,,Elsevier,2023-2025
Chemical Data Collections,2405-8300,Hybrid,Y,,,Elsevier,2023-2025
Chemical Engineering and Processing - Process Intensification,0255-2701,Hybrid,Y,,,Elsevier,2023-2025
Chemical Engineering Journal,1385-8947,Hybrid,Y,,,Elsevier,2023-2025
Chemical Engineering Research and Design,0263-8762,Hybrid,Y,,,Elsevier,2023-2025
Chemical Engineering Science,0009-2509,Hybrid,Y,,,Elsevier,2023-2025
Chemical Geology,0009-2541,Hybrid,Y,,,Elsevier,2023-2025
Chemical Physics,0301-0104,Hybrid,Y,,,Elsevier,2023-2025
Chemical Physics Letters,0009-2614,Hybrid,Y,,,Elsevier,2023-2025
Chemico-Biological Interactions,0009-2797,Hybrid,Y,,,Elsevier,2023-2025
Chemistry and Physics of Lipids,0009-3084,Hybrid,Y,,,Elsevier,2023-2025
Chemometrics and Intelligent Laboratory Systems,0169-7439,Hybrid,Y,,,Elsevier,2023-2025
Chemosphere,0045-6535,Hybrid,Y,,,Elsevier,2023-2025
CHEST,0012-3692,Hybrid,Y,,,Elsevier,2023-2025
Child Abuse & Neglect,0145-2134,Hybrid,Y,,,Elsevier,2023-2025
Children and Youth Services Review,0190-7409,Hybrid,Y,,,Elsevier,2023-2025
China Economic Review,1043-951X,Hybrid,Y,,,Elsevier,2023-2025
Chinese Journal of Chemical Engineering,1004-9541,Hybrid,Y,,,Elsevier,2023-2025
Chinese Journal of Physics,0577-9073,Hybrid,Y,,,Elsevier,2023-2025
Chinese Journal of Structural Chemistry,0254-5861,Hybrid,Y,,,Elsevier,2023-2025
CIRP Annals,0007-8506,Hybrid,Y,,,Elsevier,2023-2025
CIRP Journal of Manufacturing Science and Technology,1755-5817,Hybrid,Y,,,Elsevier,2023-2025
Cirugía Española,0009-739X,Hybrid,Y,,,Elsevier,2023-2025
Cirugía Española (English edition),2173-5077,Hybrid,Y,,,Elsevier,2023-2025
Cities,0264-2751,Hybrid,Y,,,Elsevier,2023-2025
"City, Culture and Society",1877-9166,Hybrid,Y,,,Elsevier,2023-2025
Clinica Chimica Acta,0009-8981,Hybrid,Y,,,Elsevier,2023-2025
Clínica e Investigación en Arteriosclerosis,0214-9168,Hybrid,Y,,,Elsevier,2023-2025
Clínica e Investigación en Arteriosclerosis (English Edition),2529-9123,Hybrid,Y,,,Elsevier,2023-2025
Clínica e Investigación en Ginecología y Obstetricia,0210-573X,Hybrid,Y,,,Elsevier,2023-2025
Clinical Biochemistry,0009-9120,Hybrid,Y,,,Elsevier,2023-2025
Clinical Biomechanics,0268-0033,Hybrid,Y,,,Elsevier,2023-2025
Clinical Breast Cancer,1526-8209,Hybrid,Y,,,Elsevier,2023-2025
Clinical Colorectal Cancer,1533-0028,Hybrid,Y,,,Elsevier,2023-2025
Clinical Gastroenterology and Hepatology,1542-3565,Hybrid,Y,,,Elsevier,2023-2025
Clinical Genitourinary Cancer,1558-7673,Hybrid,Y,,,Elsevier,2023-2025
Clinical Imaging,0899-7071,Hybrid,Y,,,Elsevier,2023-2025
Clinical Immunology,1521-6616,Hybrid,Y,,,Elsevier,2023-2025
Clinical Lung Cancer,1525-7304,Hybrid,Y,,,Elsevier,2023-2025
"Clinical Lymphoma, Myeloma & Leukemia",2152-2650,Hybrid,Y,,,Elsevier,2023-2025
Clinical Microbiology and Infection,1198-743X,Hybrid,Y,,,Elsevier,2023-2025
Clinical Microbiology Newsletter,0196-4399,Hybrid,Y,,,Elsevier,2023-2025
Clinical Neurology and Neurosurgery,0303-8467,Hybrid,Y,,,Elsevier,2023-2025
Clinical Neurophysiology,1388-2457,Hybrid,Y,,,Elsevier,2023-2025
Clinical Nutrition,0261-5614,Hybrid,Y,,,Elsevier,2023-2025
Clinical Nutrition ESPEN,2405-4577,Hybrid,Y,,,Elsevier,2023-2025
Clinical Oncology,0936-6555,Hybrid,Y,,,Elsevier,2023-2025
Clinical Psychology Review,0272-7358,Hybrid,Y,,,Elsevier,2023-2025
Clinical Radiology,0009-9260,Hybrid,Y,,,Elsevier,2023-2025
Clinical Simulation in Nursing,1876-1399,Hybrid,Y,,,Elsevier,2023-2025
Clinical Therapeutics,0149-2918,Hybrid,Y,,,Elsevier,2023-2025
Clinics and Research in Hepatology and Gastroenterology,2210-7401,Hybrid,Y,,,Elsevier,2023-2025
Clinics in Dermatology,0738-081X,Hybrid,Y,,,Elsevier,2023-2025
Coastal Engineering,0378-3839,Hybrid,Y,,,Elsevier,2023-2025
Cognition,0010-0277,Hybrid,Y,,,Elsevier,2023-2025
Cognitive and Behavioral Practice,1077-7229,Hybrid,Y,,,Elsevier,2023-2025
Cognitive Development,0885-2014,Hybrid,Y,,,Elsevier,2023-2025
Cognitive Psychology,0010-0285,Hybrid,Y,,,Elsevier,2023-2025
Cognitive Systems Research,1389-0417,Hybrid,Y,,,Elsevier,2023-2025
Cold Regions Science and Technology,0165-232X,Hybrid,Y,,,Elsevier,2023-2025
Collegian,1322-7696,Hybrid,Y,,,Elsevier,2023-2025
Colloids and Surfaces A: Physicochemical and Engineering Aspects,0927-7757,Hybrid,Y,,,Elsevier,2023-2025
Colloids and Surfaces B: Biointerfaces,0927-7765,Hybrid,Y,,,Elsevier,2023-2025
Colloids and Surfaces C: Environmental Aspects,2949-7590,Hybrid,Y,,,Elsevier,2023-2025
Combustion and Flame,0010-2180,Hybrid,Y,,,Elsevier,2023-2025
Communications in Nonlinear Science and Numerical Simulation,1007-5704,Hybrid,Y,,,Elsevier,2023-2025
Comparative Biochemistry and Physiology - Part A: Molecular & Integrative Physiology,1095-6433,Hybrid,Y,,,Elsevier,2023-2025
Comparative Biochemistry and Physiology - Part B: Biochemistry & Molecular Biology,1096-4959,Hybrid,Y,,,Elsevier,2023-2025
Comparative Biochemistry and Physiology - Part C: Toxicology & Pharmacology,1532-0456,Hybrid,Y,,,Elsevier,2023-2025
Comparative Biochemistry and Physiology - Part D: Genomics and Proteomics,1744-117X,Hybrid,Y,,,Elsevier,2023-2025
"Comparative Immunology, Microbiology & Infectious Diseases",0147-9571,Hybrid,Y,,,Elsevier,2023-2025
Complementary Therapies in Clinical Practice,1744-3881,Hybrid,Y,,,Elsevier,2023-2025
Composite Structures,0263-8223,Hybrid,Y,,,Elsevier,2023-2025
Composites Communications,2452-2139,Hybrid,Y,,,Elsevier,2023-2025
Composites Part A: Applied Science and Manufacturing,1359-835X,Hybrid,Y,,,Elsevier,2023-2025
