Journal Title,eISSN,Open Access Status,Included in R&P agreement,Explanation if not included,Publisher,Agreement Duration
Journal of Radiological Protection,1361-6498,Hybrid OA,Y,,IOP,2023-2025
Journal of Physics: Photonics,2515-7647,Gold OA,Y,,IOP,2023-2025
Journal of Statistical Mechanics: Theory and Experiment,1742-5468,Hybrid OA,Y,,IOP,2023-2025
Journal of The Electrochemical Society,1945-7111,Hybrid OA,Y,,IOP,2023-2025
Laser Physics,1555-6611,Hybrid OA,Y,,IOP,2023-2025
Laser Physics Letters,1612-202X,Hybrid OA,Y,,IOP,2023-2025
Journal of Semiconductors,2058-6140,Not applicable,N,Subscription only,IOP,2023-2025
Machine Learning: Science and Technology,2632-2153,Gold OA,Y,,IOP,2023-2025
Materials for Quantum Technology,2633-4356,Gold OA,Y,,IOP,2023-2025
Materials Futures,2752-5724,Gold OA,Y,,IOP,2023-2025
Measurement Science and Technology,1361-6501,Hybrid OA,Y,,IOP,2023-2025
Methods and Applications in Fluorescence,2050-6120,Hybrid OA,Y,,IOP,2023-2025
Metrologia,1681-7575,Hybrid OA,Y,,IOP,2023-2025
Modelling and Simulation in Materials Science and Engineering,1361-651X,Hybrid OA,Y,,IOP,2023-2025
Materials Research Express,2053-1591,Gold OA,Y,,IOP,2023-2025
Nano Futures,2399-1984,Hybrid OA,Y,,IOP,2023-2025
Nanotechnology,1361-6528,Hybrid OA,Y,,IOP,2023-2025
Nano Express,2632-959X,Gold OA,Y,,IOP,2023-2025
Neuromorphic Computing and Engineering, 2634-4386,Gold OA,Y,,IOP,2023-2025
Nonlinearity,1361-6544,Hybrid OA,Y,,IOP,2023-2025
New Journal of Physics,1367-2630,Gold OA,Y,,IOP,2023-2025
Physica Scripta,1402-4896,Hybrid OA,Y,,IOP,2023-2025
Physical Biology,1478-3975,Hybrid OA,Y,,IOP,2023-2025
Physics Education,1361-6552,Hybrid OA,Y,,IOP,2023-2025
Physics in Medicine & Biology,1361-6560,Hybrid OA,Y,,IOP,2023-2025
Nuclear Fusion,1741-4326,Gold OA,Y,,IOP,2023-2025
Physics World,2058-7058,Not applicable,N,Subscription only,IOP,2023-2025
Physiological Measurement,1361-6579,Hybrid OA,Y,,IOP,2023-2025
Plasma Physics and Controlled Fusion,1361-6587,Hybrid OA,Y,,IOP,2023-2025
Physics-Uspekhi,1468-4780,Not applicable,N,Subscription only,IOP,2023-2025
Plasma Sources Science and Technology,1361-6595,Hybrid OA,Y,,IOP,2023-2025
Progress in Biomedical Engineering,2516-1091,Hybrid OA,Y,,IOP,2023-2025
Progress in Energy,2516-1083,Hybrid OA,Y,,IOP,2023-2025
Publications of the Astronomical Society of the Pacific,1538-3873,Hybrid OA,Y,,IOP,2023-2025
Quantum Electronics,1468-4799,Not applicable,N,Subscription only,IOP,2023-2025
Quantum Science and Technology,2058-9565,Hybrid OA,Y,,IOP,2023-2025
Reports on Progress in Physics,1361-6633,Hybrid OA,Y,,IOP,2023-2025
Research in Astronomy and Astrophysics,2397-6209,Not applicable,N,Subscription only,IOP,2023-2025
Research Notes of the AAS,2515-5172,Not applicable,N,Subscription only,IOP,2023-2025
Russian Chemical Reviews,1468-4837,Not applicable,N,Subscription only,IOP,2023-2025
Russian Mathematical Surveys,1468-4829,Not applicable,N,Subscription only,IOP,2023-2025
Sbornik: Mathematics,1468-4802,Not applicable,N,Subscription only,IOP,2023-2025
Semiconductor Science and Technology,1361-6641,Hybrid OA,Y,,IOP,2023-2025
Smart Materials and Structures,1361-665X,Hybrid OA,Y,,IOP,2023-2025
Superconductor Science and Technology,1361-6668,Hybrid OA,Y,,IOP,2023-2025
Surface Topography: Metrology and Properties,2051-672X,Hybrid OA,Y,,IOP,2023-2025
Sustainability Science and Technology,2977-3504,Gold OA,Y,,IOP,2023-2025
The Astronomical Journal,,Gold OA,Y,,IOP,2023-2025
The Astrophysical Journal,1538-4357,Gold OA,Y,,IOP,2023-2025
The Astrophysical Journal Letters,,Gold OA,Y,,IOP,2023-2025
The Astrophysical Journal Supplement Series,,Gold OA,Y,,IOP,2023-2025
The Electrochemical Society Interface,1944-8783,Not applicable,N,Subscription only,IOP,2023-2025
The Planetary Science Journal,2632-3338,Gold OA ,Y,,IOP,2023-2025
