International Journal for Religious Freedom,2070-5484,,"International Institute for Religious Freedom                           P.O. Box 1336, Sun Valley, 7985                                 "
International Journal of African Higher Education,2313-5069,,"International Network for Higher Education in Africa (INHEA), University of KwaZulu-Natal, Durban, South Africa/Center for International Higher Education, Boston College, USA"
International Journal of African Renaissance Studies,1818-6874,1753-7274,Co-published by UNISA Press and Routledge                                                                                                                                  
Investment Analysts Journal ,1029-3523 ,2077-0227,Investment Analysts Society of South Africa. Email: InvestmentAnalystsJournal@gmail.com
Italian Studies in Southern Africa,1012-2338,,Association of Professional Italianists                                                     School of  literature & Language Studies                                       University of the Witwatersrand                                 Private Bag 3; Wits 2050                                              Tel: 011 717 4211; Fax: 011 640 2359                                           E-mail:Alida.poeti@wits.ac.za
Jamba: Journal of Disaster Risk Studies ,1996-1421                      ,2072-845x,"AOSIS, Postnet Suite #110, Private Bag X19, Durbanville, South Africa, 7551
Tel: 086 1000 381 
Tel: +27 21 975 2602 
Fax: 086 5004 974"
Journal for Islamic Studies,,0257-7062,UNISA Press
Journal for Juridical Science/ Tydskrif vir Regswetenskap,0258-252X,,"Faculty of Law                                            University of the Free State                                        Bloemfontein, 9300"
Journal for Language Teaching / Ijenali Yekufundzisa Lulwini / Tydskrif vir Taalonderrig  ,0259-9570,,South African Association for Language Teaching (SAALT) 
Journal for New Generation Sciences,1684-4998,,Central University of Technology                                     Free State                                                                       P/B  X20539                                                               Bloemfontein
Journal for Semitics/Tydskrif vir Semitistiek,1013-8471,2663-6573,University of South Africa Press                                                         P O Box 392                                                             Pretoria                                                               0003                                                                                                                                                      Tel :012 429 6149                                              E-mail: rallpb@unisa.ac.za  
"Journal for Studies in Economics and Econometrics

Tydskrif vir Studies in Ekonomie en Ekonometrie
",0379-6205,,Graduate School of Business and Bureau for Economics Research                                             University of Stellenbosch
Journal for the Study of Religion (Religion in Southern Africa),1011-7601,,UJ Academic Press    
Journal for Transdisciplinary Research in Southern Africa,1817-4434,2415-2005,"AOSIS (Pty) Ltd, 15 Oxford Street, Durbanvilee, Cape Town, 7550"
Journal of African Elections,1609-4700,245-5837,"Electoral Institute for Sustainable Democracy in Africa (EISA).14 Park Road
Richmond
Johannesburg
2092. 011 381-6000
"
Journal of Child and Adolescent Mental Health ,1728-0583,1728-0591,Routledge
Journal of Comperative Law in Africa,2311-6889,,Juta and Company (Pty) Ltd                                                     PO Box 14373                                                                  Lansdowne                                                     7779
Journal of Constructioin Project Management and Innovation (JCPMI),2223-7852,,University of Johannesburg
"Journal of Construction 

",1994-7402,,"Publisher: Crown Publications CC
PO Box 140
Bedfordview, 2008
Fax 011 615 6108"
Journal of Consumer Sciences (Former Journal of Family Ecology and Consumer Sciences),3078-4050,,African Journals Online (AJOL)
Journal of Contemporary Management,1815-7440,,Prof. Ansie Lessing. Email: editor.jcman@gmail.com
Journal of Contemporary Roman  Dutch Law,1682-4490,,"Butterworths Publishers, 215 North Ridge Road, Morningside, Durban, Tel: 031 268 3264"
Journal of Early Christian History: A journal for the Study of Early Christianity and Late Antiquity (Fomerly know as Acta Patristica et Byzantina),2222-582X,,Co-published by UNISA Press and Routledge                                                                                                                                  
"Journal of Economic and Financial Sciences 



",1995-7076,2312-2803,"AOSIS, Postnet Suite #110, Private Bag X19, Durbanville, South Africa, 7551
Tel: 086 1000 381 
Tel: +27 21 975 2602 
Fax: 086 5004 974"
Journal of Education,0259-479X,,"School of Education, Training and Development,                                                            University of KwaZulu-Natal                                         Private BagX 01, Scottsville, 3209                                 Tel:  033 260 5368                                                       Fax: 033 260 5080                                                                      E-mail:Joe@ukzn.ac.za"
Journal of Educational Studies,1680-7456,,"Faculty of Humanities, Social Sciences and Education
University of Venda
Private Bag X5050
Thohoyandou
0950
Tel: 015 962 8318/9108
Email: Jes@univen.ac.za
"
"Journal of Endocrinology, Metabolism and Diabetes of South Africa (JEMDSA)",1608-9677,2220-1009,"Medpharm Publications              Centurion Wine and Arts Centre, 123 Amkor Road, Lyttleton Mannor, 0140.                     E-mail: info@medpharm.co.za"
Journal of Energy in Southern Africa,1021-447X,2413-3051,"Energy Research Insitute,UCT                                           Private Bag, Rondebosch, 7701                                    Tel:  021 650 3894/2                                                   Fax:  021 686 4838                                                                 E-mail: rdrummond@eng.uct.ac.za http://www.eri.uct.ac.za/eri.html"
"Journal of Engineering, Design and Technology",1726-0531,,Faculty of Engineering                                                                 PO Box 1906                                                  Bellville; 7535                                                                 Tel: 021 959 6637/666;                                Fax:021 959 6743
"Journal of Law,Society and Development ",2313-8289,2520-9515,University of South Africa Press                                                         P O Box 392                                                             Pretoria                                                               0003                                                                                                                                                      Tel :012 429 6149                                              E-mail: rallpb@unisa.ac.za  
Journal of Literary Studies,0256-4718  ,1753-5387,Co-published by UNISA Press and Routledge                                                                                                                                  
Journal of Medical Laboratory Science and Technology ( Formelry Medical Technology SA),2664-2549,2708-3063,Medpharm Publications
Journal of Northwest Semitic Languages,0259-0131,,"Department of Ancient Studies, Stellenbosch University, Private Bag X1, Matieland, 7602"
Journal of Public Administration,0036-0767 ,,"South African Association of Public Administration & Management, PO Box 1069, Soshanguve, 0152 Tel: (012)3829769 Fax: (012)3829042                                     E-mail: saapam@tut.ac.za"
Journal of South African Law/ Tydskrif vir die Suid Afrikaanse Reg( TSAR),0257-7747,,Juta Law                                                       
Journal of Student Affairs in Africa,2311-1771,2307-6267,University of Pretoria / ESI
Journal of the Musical Arts In Africa ,1812-1004 ,2070-626x,"Co-published by National Inquiry Service Centre, Pty Ltd and Routledge"
Journal of Anti-Corruption Law,2521-5345,,Faculty of Law at University of Western Cape
Journal of the South African Institution of Civil Engineering,1021-2019,2309-8775,"SAICE                                                                                     P/Bag X200                                                                     Halfway House, 1685                                                                         Tel:   011  805 5947/8                                              Fax:  011 805 5971                                                                          E-mail:civilinfo@saice.org.za www.civils.org.za"
Journal of the South African Society of Archivists (previously SA Archives Journal),1012-2796,,"The South African Society of Archivist National Archives and Records Service of South Africa,Office D68
239 Madiba Street
Old Library Building
Pretoria                         GAUTENG
South Africa
0001                                                  Telephone: (0) 82 580 6320
Email: administrator@saarchivist.co.za Website:www.saarchivist.co.za"
Journal of the Southern African Association for Research in Mathematics and Science Education,1028-8457,,"SAARMSTE                                                                     P.O. Box 42                                                                   Kloof, 3640"
Journal of Geography Education in Africa (JoGEA),2788-9114,,The University of Pretoria
Journal of Theology for Southern Africa,0047-2867,,"Prof S. Degruchy                                                         JTSA School of Theology, University of KZN                                                  Room 111A; New Arts Building; Golf Rd; Scottsville, 3209                                                                 Tel:033 260 6106; Fax:033 260 5858                                                E-mail:jtsa@ukzn.ac.za"
Journal of Transport and Supply Chain Management,2310-8789,1995-5235,"AOSIS, Postnet Suite #110, Private Bag X19, Durbanville, South Africa, 7551
Tel: 086 1000 381 
Tel: +27 21 975 2602 
Fax: 086 5004 974"
"Journal of Vocational, Adult and Continuing Education and Training",2663-3639,2663-3647,"Compresss.dsl, The Stables, 39 Myburgh Street, Somerset West, 7120.Email: felicity@compressdsl.com"
Koedoe: Research Journal of the South African National Parks,0075-6458,2071-0771,"AOSIS, Postnet Suite #110, Private Bag X19, Durbanville, South Africa, 7551
Tel: 086 1000 381 
Tel: +27 21 975 2602 
Fax: 086 5004 974"
Koers:Bulletin for Christian Scholarship                                                  ,0023-270X,2304-8557,Koers Society of SA
Kronos: Southern African Histories (Kronos: Journal of Cape History),0259-0190,2309-9585 ,Department of History and Centre for Humanities Research (UWC)
Language Matters:Studies in the Languages of Africa (Language Matters:Studies in the Languages of Southern Africa),1022-8195,1753-5395,Co-published by UNISA Press and Routledge                                                                                                                                  
"Law, Democracy and Development",1028-1055,2077-4907,"Faculty of Law, University of the Western Cape, Private Bag X 17, Bellville 7535                                                                 "
Lexikos,1684-4904,,"Bureau of the Woordeboek van die Afrikaanse Taal, PO Box 245, Stellenbosch, 7599, Tel: 021 887 3113, Fax: 021 883 9492, email: lexikos@sun.ac.za "
"Literator: Journal of Literary Criticism, Comparative Linguistics and Literary Studies",0258-2279,2219-8237,"AOSIS, Postnet Suite #110, Private Bag X19, Durbanville, South Africa, 7551
Tel: 086 1000 381 
Tel: +27 21 975 2602 
Fax: 086 5004 974"
LitNet Akademies,1995-5928,,"8 Louw Street                                                       Stellenbosch, 7600                                                       Tel: 021 886 5169; Fax: 086 512 6782                            www.litnet.co.za"
Management Dynamics / Bestuursdinamika: Kontemorere Navorsing,1019-567X,2710-5245,Prof Christo Boschoff                                  Editor: Management Dynamics      Dpartment of Business Management                                     Stellenbosch University                     Private Bag X1                                MATIELAND                                    7600                                                                       E-mail: cboshoff@sun.ac.za
Meditari:Accountancy Research,2049-372x,,Emerald Publishing Limited. Email: agsmith@emeraldinsight.com
Missionalia: Journal of the Southern African Missiological Society,0256-9507,,AcadSA                                               P.O. Box 35704                                  Menlo Park                                      0102
Mousaion,0027-2639,2663-659X,University of South Africa Press                                                         P O Box 392                                                             Pretoria                                                               0003                                                                                                                                                      Tel :012 429 6149                                              E-mail: rallpb@unisa.ac.za  
Musicus,0256-8837,,UNISA Press
Muziki: Journal of Music Research in Africa,1812-5980,1753-593X,Co-published by UNISA Press and Routledge                                                                                                                                  
Neotestamentica:Journal of the New Testament Society of Southern Africa (NTSSA),0254-8356,2518-4628,"New Testament Society of Southern Africa, P.O Box 11217, Queenswood 0121, South Africa. Email: admin@neotestamentica.org.za"
New Agenda: South African Journal of Social and Economic Policy,1607-2820,,Institute for African Alternatives (IFAA)
New Contree: A Journal of Historical and Human Sciences for Southern Africa ,0379-9867,,"AOSIS, Postnet Suite #110, Private Bag X19, Durbanville, South Africa, 7551
Tel: +27 21 975 2602 
Email:publishing@aosis.co.za"
Nomina Africana: Journal of the Names Society of Southern Africa/Tydskrif van die Naamkundevereniging van Suider Afrika,1012-0254,,"University of Natal                                               Pietermaritzburg                                                                 Private bag X01                                                Scottsville, 3209"
Obiter,1682-5853,,"NMMU, Summerstrand Campus, Faculty of Law                                                                                                                 P.O.Box 1600                                                                Port Elizabeth, 6000                                                             Tel:041 504 2199                                                                    Fax:041 504 2818                                                                     E-mail:Adriaan.VanDerWalt@upe.ac.za"
Occupational Health Southern Africa,1024-6274      , 2226 -6097,"Kevin Beaumont, MettaMedia (Pty) Ltd, PO Box 210, Tulbagh 6820, South Africa"
Old Testament Essays (New Series),1010-9919,,Department of Old  Testament Society in Southern Africa                                 
Orion: Journal of the Operations Research of South Africa,0259-191X,,Operations Research Society of South Africa
Palaeontologia Africana,0078-8554,,"Bernard Price Institute for Palaeontological Research,                                                            University of the Witwatersrand                                           Private Bag X1, 2050"
Per Linguam: A Journal of Language Learning,0259-2312,,"Department of Curriculum Studies                                                    Faculty of Education                                                   University of Stellenbosch                                                   Private Bag X1, Matieland, 7599                                         Tel: 021 808 2284                                                                   E-mail: cvdwalt@sun.ac.za"
Perspectives in Education,0258-2236,2519-593x,SUN MeDIA
Philosophical Papers,0556-8641,1996-8523,UNISA Press & Routledge
Phronimon: Journal of the South African Society for Greek Philosophy and the Humanities,1561-4018,2413-3086,SA Society for Greek Philosophy and                                                                                   Humanities;UNISA                   Ladika@unisa.ac.za\phronimon.com                                           cell: 082 449 1307                 Tel: 012 429 6837
Pins: Psychology in Society,1015-6046,,PINS                                                                     66 Jupiter Road                           Westville                                        3629.       Email:PINSEditorial@gmail.com
Politeia: The Journal of Political Sciences and Public Administration and Management,0256-8845,2663-6689,UNISA Press                                                                
Progressio,0256-8853,2663-5895,UNISA Press
Psychoanalytic Practice (Formelry Psycho-analytic Psychotherapy in South Africa),2709-6971,2709-698X,"P.O. Box 16115                                                                Vlaeberg, 8018                                             http://www.psa.org.za"
Pythagoras,1012-2346,2223-7895,"AOSIS, Postnet Suite #110, Private Bag X19, Durbanville, South Africa, 7551
Tel: 086 1000 381 
Tel: +27 21 975 2602 
Fax: 086 5004 974"
Quaestiones Mathematicae,1607-3606,1727-933x,"Co-published by National Inquiry Services Centre, Pty Ltd and Taylor and Francis"
R&D Journal,0257-9669,,The South African Institution of Mechanical Engineering
South African Heart Journal,1996-6741,2071-4602,"Greenroom Design Studio                                               POBox 15, Mutual Park, 7451                                          Email: ilze@greenroomcreative.co.za"
SA Journal of Accounting Research,1029-1954,,"SA Journal of Accounting Research                              P.O. Box 59873                                                       Kengray, 2100                                                       Tel: 011 621 6723/ 6600                                             Fax: 011 621 6827/5543                                                    E-mail: sajar@saica.co.za"
SA Journal of Human Resource Management,1683-7584,2071-078X,"AOSIS, Postnet Suite #110, Private Bag X19, Durbanville, South Africa, 7551
Tel: 086 1000 381 
Tel: +27 21 975 2602 
Fax: 086 5004 974"
SA Journal of Industrial Psychology (Journal of Industrial Psychology),0258-5200,2071-0763,"AOSIS, Postnet Suite #110, Private Bag X19, Durbanville, South Africa, 7551
Tel: 086 1000 381 
Tel: +27 21 975 2602 
Fax: 086 5004 974"
SA Journal of Radiology,1027-202X,2078-6778,"AOSIS, Postnet Suite #110, Private Bag X19, Durbanville, South Africa, 7551
Tel: 086 1000 381 
Tel: +27 21 975 2602 
Fax: 086 5004 974"
