Journal title	ISSN	eISSN	Publisher details	Open Access Status
Aboriginal History Journal	0314-8769	1837-9389	ANU Press	
Abriu	2014-8526	2014-8534	Universitat de Barcelona	Unpaywall Open Access
Abstract and Applied Analysis	1085-3375	1687-0409	John Wiley and Sons Ltd	Unpaywall Open Access
Academe	0190-2946	-	American Association of University Professors	
Academia (Greece)	-	2241-1402	Higher Education Policy Network	
Academia Economic Papers	1018-161X	1810-4851	Institute of Economics Academia Sinica	
Academia Revista Latinoamericana de Administracion	1012-8255	2056-5127	Emerald Group Publishing Ltd.	
Academic Emergency Medicine	1069-6563	1553-2712	Wiley-Blackwell	
Academic Forensic Pathology	-	1925-3621	SAGE Publications Inc.	
Academic Journal of Manufacturing Engineering	1583-7904	-	Editura Politehnica	
Academic Journal of Naval Medical University	2097-1338	-	Second Military Medical University Press	
Academic Journal of Second Military Medical University	0258-879X	-	Second Military Medical University Press	
Academic Medicine	1040-2446	1938-808X	Lippincott Williams and Wilkins Ltd.	
Academic Pathology	-	2374-2895	Association of Pathology Chairs	Unpaywall Open Access
Academic Pediatrics	1876-2859	1876-2867	Elsevier Inc.	
Academic Psychiatry	1042-9670	1545-7230	Springer International Publishing AG	
Academic Quarter	-	1904-0008	Aalborg University press	Unpaywall Open Access
Academic Questions	0895-4852	1936-4709	National Association of Scholars	
Academic Radiology	1076-6332	1878-4046	Elsevier Inc.	
Academica Turistica	1855-3303	2335-4194	University of Primorska	
Academy of Management Annals	1941-6520	1941-6067	Academy of Management	
Academy of Management Discoveries	-	2168-1007	Academy of Management	
Academy of Management Journal	0001-4273	-	Academy of Management	
Academy of Management Learning and Education	1537-260X	-	George Washington University	
Academy of Management Perspectives	1558-9080	-	Academy of Management	
Academy of Management Review	0363-7425	-	Academy of Management	
Acadiensis	0044-5851	1712-7432	University of New Brunswick	
Acarina	0132-8077	2221-5115	Tyumen State University	
Acarologia	0044-586X	2107-7207	Les Amis d'Acarologia	Unpaywall Open Access
Access Microbiology	-	2516-8290	Microbiology Society	
Access to Justice in Eastern Europe	2663-0575	2663-0583	Access to Justice in Eastern Europe	Unpaywall Open Access
Accident Analysis and Prevention	0001-4575	1879-2057	Elsevier Ltd	
Accountability in Research	0898-9621	1545-5815	Taylor and Francis Ltd.	
Accounting and Business Research	0001-4788	2159-4260	Routledge	
Accounting and Finance	0810-5391	1467-629X	Wiley-Blackwell	
Accounting and the Public Interest	1530-9320	-	American Accounting Association	
Accounting Education	0963-9284	1468-4489	Routledge	
Accounting Forum	0155-9982	1467-6303	Taylor and Francis Ltd.	
Accounting Historians Journal	0148-4184	2327-4468	American Accounting Association	
Accounting History	1032-3732	1749-3374	SAGE Publications Ltd	
Accounting History Review	2155-2851	2155-286X	Routledge	
Accounting Horizons	0888-7993	1558-7975	American Accounting Association	
Accounting in Europe	1744-9480	1744-9499	Routledge	
Accounting Perspectives	1911-382X	1911-3838	John Wiley and Sons Inc 	
Accounting Research Journal	1030-9616	-	Emerald Group Publishing Ltd.	
Accounting Review	0001-4826	1558-7967	American Accounting Association	
Accounting, Auditing and Accountability Journal	0951-3574	-	Emerald Group Publishing Ltd.	
Accounting, Economics and Law: A Convivium	-	2152-2820	Walter de Gruyter GmbH	
Accounting, Finance, Sustainability, Governance and Fraud	2509-7873	2509-7881	Springer	
Accounting, Organizations and Society	0361-3682	-	Elsevier Ltd	
Accounts of Chemical Research	0001-4842	1520-4898	American Chemical Society	
Accounts of Materials Research	-	2643-6728	American Chemical Society	
Accreditation and Quality Assurance	0949-1775	1432-0517	Springer New York	
ACDI Anuario Colombiano de Derecho Internacional	2027-1131	2145-4493	Universidad del Rosario	Unpaywall Open Access
Acervo	0102-700X	2237-8723	Arquivo Nacional	
ACG Case Reports Journal	-	2326-3253	Lippincott Williams and Wilkins	Unpaywall Open Access
ACI Materials Journal	0889-325X	-	American Concrete Institute	
ACI Structural Journal	0889-3241	-	American Concrete Institute	
ACM Communications in Computer Algebra	1932-2232	1932-2240	Association for Computing Machinery (ACM)	
ACM Computing Surveys	0360-0300	1557-7341	Association for Computing Machinery (ACM)	
ACM Inroads	2153-2184	2153-2192	Association for Computing Machinery (ACM)	
ACM Journal of Experimental Algorithmics	1084-6654	-	Association for Computing Machinery	
ACM Journal on Emerging Technologies in Computing Systems	1550-4832	1550-4840	Association for Computing Machinery (ACM)	
ACM Transactions on Accessible Computing	1936-7228	-	Association for Computing Machinery (ACM)	
ACM Transactions on Algorithms	1549-6325	1549-6333	Association for Computing Machinery (ACM)	
ACM Transactions on Applied Perception	1544-3558	1544-3965	Association for Computing Machinery (ACM)	
ACM Transactions on Architecture and Code Optimization	1544-3566	1544-3973	Association for Computing Machinery	
ACM Transactions on Asian and Low-Resource Language Information Processing	2375-4699	2375-4702	Association for Computing Machinery (ACM)	
ACM Transactions on Autonomous and Adaptive Systems	1556-4665	1556-4703	Association for Computing Machinery (ACM)	
ACM Transactions on Computation Theory	1942-3454	1942-3462	Association for Computing Machinery (ACM)	
ACM Transactions on Computational Logic	1529-3785	1557-945X	Association for Computing Machinery (ACM)	
ACM Transactions on Computer Systems	0734-2071	1557-7333	Association for Computing Machinery (ACM)	
ACM Transactions on Computer-Human Interaction	1073-0516	1557-7325	Association for Computing Machinery (ACM)	
ACM Transactions on Computing Education	-	1946-6226	Association for Computing Machinery (ACM)	
ACM Transactions on Computing for Healthcare	2691-1957	2637-8051	Association for Computing Machinery (ACM)	
ACM Transactions on Cyber-Physical Systems	2378-962X	2378-9638	Association for Computing Machinery (ACM)	
ACM Transactions on Database Systems	0362-5915	1557-4644	Association for Computing Machinery (ACM)	
ACM Transactions on Design Automation of Electronic Systems	1084-4309	1557-7309	Association for Computing Machinery (ACM)	
ACM Transactions on Economics and Computation	2167-8375	2167-8383	Association for Computing Machinery (ACM)	
ACM Transactions on Embedded Computing Systems	1539-9087	1558-3465	Association for Computing Machinery	
ACM Transactions on Evolutionary Learning and Optimization	2688-299X	2688-3007	Association for Computing Machinery	
ACM Transactions on Graphics	0730-0301	1557-7368	Association for Computing Machinery (ACM)	
ACM Transactions on Human-Robot Interaction	-	2573-9522	Association for Computing Machinery (ACM)	
ACM Transactions on Information Systems	1046-8188	1558-2868	Association for Computing Machinery (ACM)	
ACM Transactions on Intelligent Systems and Technology	2157-6904	2157-6912	Association for Computing Machinery (ACM)	
ACM Transactions on Interactive Intelligent Systems	2160-6455	2160-6463	Association for Computing Machinery (ACM)	
ACM Transactions on Internet of Things	2577-6207	-	Association for Computing Machinery (ACM)	
ACM Transactions on Internet Technology	1533-5399	1557-6051	Association for Computing Machinery (ACM)	
ACM Transactions on Knowledge Discovery from Data	1556-4681	-	Association for Computing Machinery (ACM)	
ACM Transactions on Management Information Systems	2158-656X	2158-6578	Association for Computing Machinery (ACM)	
ACM Transactions on Mathematical Software	0098-3500	1557-7295	Association for Computing Machinery (ACM)	
ACM Transactions on Modeling and Computer Simulation	1049-3301	1558-1195	Association for Computing Machinery (ACM)	
ACM Transactions on Modeling and Performance Evaluation of Computing Systems	2376-3639	2376-3647	Association for Computing Machinery (ACM)	
ACM Transactions on Multimedia Computing, Communications and Applications	1551-6857	1551-6865	Association for Computing Machinery (ACM)	
ACM Transactions on Parallel Computing	2329-4949	2329-4957	Association for Computing Machinery (ACM)	
ACM Transactions on Privacy and Security	2471-2566	2471-2574	Association for Computing Machinery (ACM)	
ACM Transactions on Programming Languages and Systems	0164-0925	-	Association for Computing Machinery (ACM)	
ACM Transactions on Quantum Computing	-	2643-6817	Association for Computing Machinery	
ACM Transactions on Reconfigurable Technology and Systems	1936-7406	1936-7414	Association for Computing Machinery (ACM)	
ACM Transactions on Sensor Networks	1550-4859	-	Association for Computing Machinery (ACM)	
ACM Transactions on Software Engineering and Methodology	1049-331X	1557-7392	Association for Computing Machinery (ACM)	
ACM Transactions on Spatial Algorithms and Systems	2374-0353	2374-0361	Association for Computing Machinery	
ACM Transactions on Storage	1553-3077	-	Association for Computing Machinery (ACM)	
ACM Transactions on the Web	1559-1131	-	Association for Computing Machinery (ACM)	
ACME	-	1492-9732	Okanagan University College	Unpaywall Open Access
Acotaciones	1130-7269	2444-3948	Real Escuela Superior de Arte Dramatico	
Acoustical Physics	1063-7710	1562-6865	Pleiades Publishing	
Acoustical Science and Technology	1346-3969	1347-5177	Acoustical Society of Japan	
Acoustics	-	2624-599X	Multidisciplinary Digital Publishing Institute (MDPI)	Unpaywall Open Access
Acoustics Australia	0814-6039	1839-2571	Australian Acoustical Society	
Acoustics Bulletin	0308-437X	-	Institute of Acoustics	
Acque Sotterranee - Italian Journal of Groundwater	1828-454X	2280-6458	Page Press Publications	Unpaywall Open Access
ACR Open Rheumatology	-	2578-5745	John Wiley and Sons Inc	Unpaywall Open Access
ACRN Journal of Finance and Risk Perspectives	-	2305-7394	ACRN Oxford Ltd.	Unpaywall Open Access
Across Languages and Cultures	1585-1923	1588-2519	Akademiai Kiado	
ACS Agricultural Science and Technology	-	2692-1952	American Chemical Society	
ACS Applied Bio Materials	-	2576-6422	American Chemical Society	
ACS Applied Electronic Materials	-	2637-6113	American Chemical Society	
ACS Applied Energy Materials	-	2574-0962	American Chemical Society	
ACS Applied Materials and Interfaces	1944-8244	1944-8252	American Chemical Society	
ACS Applied Nano Materials	-	2574-0970	American Chemical Society	
ACS Applied Optical Materials	-	2771-9855	American Chemical Society	
ACS Applied Polymer Materials	-	2637-6105	American Chemical Society	
ACS Bio and Med Chem Au	-	2694-2437	American Chemical Society	Unpaywall Open Access
ACS Biomaterials Science and Engineering	-	2373-9878	American Chemical Society	
ACS Catalysis	-	2155-5435	American Chemical Society	
ACS Central Science	2374-7943	2374-7951	American Chemical Society	Unpaywall Open Access
ACS Chemical Biology	1554-8929	1554-8937	American Chemical Society	
ACS Chemical Health and Safety	1871-5532	1878-0504	American Chemical Society	
ACS Chemical Neuroscience	-	1948-7193	American Chemical Society	
ACS Earth and Space Chemistry	-	2472-3452	American Chemical Society	
ACS Energy Letters	-	2380-8195	American Chemical Society	
ACS Environmental Au	-	2694-2518	American Chemical Society	Unpaywall Open Access
ACS ES and T Engineering	-	2690-0645	American Chemical Society	
ACS ES and T Water	-	2690-0637	American Chemical Society	
ACS Food Science and Technology	-	2692-1944	American Chemical Society	
ACS Infectious Diseases	-	2373-8227	American Chemical Society	
ACS Macro Letters	-	2161-1653	American Chemical Society	
ACS Materials Au	-	2694-2461	American Chemical Society	Unpaywall Open Access
ACS Materials Letters	-	2639-4979	American Chemical Society	
ACS Measurement Science Au	-	2694-250X	American Chemical Society	Unpaywall Open Access
ACS Medicinal Chemistry Letters	-	1948-5875	American Chemical Society	
ACS Nano	1936-0851	1936-086X	American Chemical Society	
ACS Nanoscience Au	-	2694-2496	American Chemical Society	Unpaywall Open Access
ACS Omega	-	2470-1343	American Chemical Society	Unpaywall Open Access
ACS Organic and Inorganic Au	-	2694-247X	American Chemical Society	Unpaywall Open Access
ACS Pharmacology and Translational Science	-	2575-9108	American Chemical Society	
ACS Photonics	-	2330-4022	American Chemical Society	
ACS Physical Chemistry Au	-	2694-2445	American Chemical Society	Unpaywall Open Access
ACS Polymers Au	-	2694-2453	American Chemical Society	Unpaywall Open Access
ACS Sensors	-	2379-3694	American Chemical Society	
ACS Sustainable Chemistry and Engineering	-	2168-0485	American Chemical Society	
ACS Symposium Series	0097-6156	1947-5918	American Chemical Society	
ACS Synthetic Biology	-	2161-5063	American Chemical Society	
ACSM's Health and Fitness Journal	1091-5397	1536-593X	Lippincott Williams and Wilkins Ltd.	
Acta Academiae Artium Vilnensis	1392-0316	-	Vilniaus dailes akademijos leidykla	
Acta Academiae Medicinae Sinicae	1000-503X	-	Chinese Academy of Medical Sciences	
Acta Academica	0587-2405	-	Sun Media Corporation	Unpaywall Open Access
Acta Acustica	1022-4793	2681-4617	European Acoustics Association, EAA	Unpaywall Open Access
Acta ad Archaeologiam et Artium Historiam Pertinentia	0065-0900	-	Norwegian Institute in Rome	Unpaywall Open Access
Acta Adriatica	0001-5113	1846-0453	Institute of Oceanography and Fisheries	
Acta Agrestia Sinica	1007-0435	-	China Agricultural University	
Acta Agriculturae Boreali-Sinica	1000-7091	-	Editorial Department of Acta Agriculurae Boreali-Sinica	
Acta Agriculturae Scandinavica - Section A: Animal Science	0906-4702	1651-1972	Taylor and Francis Ltd.	
Acta Agriculturae Scandinavica Section B: Soil and Plant Science	0906-4710	1651-1913	Taylor and Francis Ltd.	Unpaywall Open Access
Acta Agriculturae Slovenica	1581-9175	1854-1941	University of Ljubljana	Unpaywall Open Access
Acta Agrobotanica	0065-0951	2300-357X	Polish Botanical Society	Unpaywall Open Access
Acta Agronomica	0120-2812	2323-0118	Universidad Nacional de Colombia	Unpaywall Open Access
Acta Agronomica Sinica (China)	0496-3490	-	Institute of Crop Sciences	Unpaywall Open Access
Acta Alimentaria	0139-3006	1588-2535	Akademiai Kiado	
Acta Amazonica	0044-5967	-	Instituto Nacional de Pesquisas da Amazonia	Unpaywall Open Access
Acta Anaesthesiologica Belgica	0001-5164	-	ARSMB-KVBMG	
Acta Anaesthesiologica Scandinavica	0001-5172	1399-6576	Blackwell Munksgaard	
Acta Analytica	0353-5150	1874-6349	Springer Netherlands	
Acta Anatomica Sinica	0529-1356	-	Editorial Board of Acta Anatomica Sinica	
Acta Angiologica	1234-950X	1644-3276	Via Medica	Unpaywall Open Access
Acta Antiqua Academiae Scientiarum Hungaricae	0044-5975	1588-2543	Akademiai Kiado	
Acta Applicandae Mathematicae	0167-8019	1572-9036	Springer Netherlands	
Acta Arachnologica	0001-5202	-	Arachnological Society of Japan	
Acta Archaeologica	0065-101X	1600-0390	Wiley-Blackwell Publishing Ltd	
Acta Archaeologica Academiae Scientiarum Hungaricae	0001-5210	1588-2551	Akademiai Kiado	
Acta Archaeologica Lodziensia	0065-0986	2451-0300	Lodzkie Towarzystwo Naukowe	
Acta Arithmetica	0065-1036	1730-6264	Instytut Matematyczny	
Acta Asiatica Varsoviensia	0860-6102	2449-8653	Institute of Mediterranean and Oriental Cultures of the Polish Academy of Sciences	Unpaywall Open Access
Acta Astronautica	0094-5765	-	Elsevier Ltd	
Acta Astronomica	0001-5237	-	Copernicus Foundation for Polish Astronomy	
Acta Baltica Historiae et Philosophiae Scientiarum	2228-2009	2228-2017	Springer International Publishing AG	Unpaywall Open Access
Acta Baltico-Slavica	0065-1044	2392-2389	Polish Academy of Sciences, Institute of Slavic Studies	Unpaywall Open Access
Acta Biochimica et Biophysica Sinica	1672-9145	1745-7270	Science China Press	Unpaywall Open Access
Acta Biochimica Polonica	0001-527X	1734-154X	Frontiers Media SA	Unpaywall Open Access
Acta Bioethica	0717-5906	1726-569X	Universidad de Chile - Centro Interdisciplinario de Estudios en Bioetica	
Acta Biologica Colombiana	0120-548X	1900-1649	Universidad Nacional de Colombia	Unpaywall Open Access
Acta Biologica Cracoviensia Series Botanica	0001-5296	1898-0295	Polish Academy of Sciences, Biological Commission	
Acta Biologica Sibirica	-	2412-1908	Altai State University	Unpaywall Open Access
Acta Biologica Slovenica	-	1854-3073	Univerza v Ljubljani	Unpaywall Open Access
Acta Biologica Szegediensis	1588-385X	1588-4082	University of Szeged	
Acta Biologica Universitatis Daugavpiliensis	1407-8953	-	Daugavpils University Academic Press "Saule"	
Acta Biomaterialia	1742-7061	1878-7568	Acta Materialia Inc	
Acta Biomedica	0392-4203	2531-6745	Mattioli 1885	
Acta Biomedica Scientifica	2541-9420	2587-9596	Scientific Centre for Family Health and Human Reproduction Problems	Unpaywall Open Access
Acta Biotheoretica	0001-5342	1572-8358	Springer Science and Business Media B.V.	
Acta Borealia	0800-3831	1503-111X	Routledge	
Acta Botanica Brasilica	0102-3306	1677-941X	Sociedade Botanica do Brasil	Unpaywall Open Access
Acta Botanica Croatica	0365-0588	1847-8476	University of Zagreb	Unpaywall Open Access
Acta Botanica Hungarica	0236-6495	1588-2578	Akademiai Kiado	
Acta Botanica Malacitana	0210-9506	2340-5074	Universidad de Malaga	
Acta Botanica Mexicana	0187-7151	2448-7589	Instituto de Ecologia, A.C.	Unpaywall Open Access
Acta Botanica Venezuelica	0084-5906	2443-4264	Universidad Central de Venezuela	
Acta Cardiologica	0001-5385	0373-7934	Taylor and Francis Ltd.	
Acta Cardiologica Sinica	1011-6842	-	Republic of China Society of Cardiology	
Acta Carsologica	0583-6050	1580-2612	ZRC SAZU, Zalozba ZRC	Unpaywall Open Access
Acta Chimica Sinica	0567-7351	-	Science China Press	
Acta Chimica Slovenica	1318-0207	1580-3155	Slovensko Kemijsko Drustvo	Unpaywall Open Access
Acta Chiropterologica	1508-1109	-	Museum and Institute of Zoology PAS	
Acta Chirurgiae Orthopaedicae et Traumatologiae Cechoslovaca	0001-5415	-	Galen s.r.o.	
Acta Chirurgiae Plasticae	0001-5423	1805-4404	Czech Medical Association J.E. Purkyne	
Acta Chirurgica Belgica	0001-5458	-	Taylor and Francis Ltd.	
Acta Chromatographica	1233-2356	2083-5736	Akademiai Kiado	
Acta Cirurgica Brasileira	0102-8650	-	Sociedade Brasileira para o Desenvolvimento de Pesquisa em Cirurgia	Unpaywall Open Access
Acta Classica	0065-1141	-	The aim of the Classical Association of South Africa (CASA)	
Acta Classica Universitatis Scientiarum Debreceniensis	0418-453X	2732-3390	Department of Classical Philology and Ancient History, University of Debrecen	
Acta Clinica Belgica	1784-3286	2295-3337	Taylor and Francis Ltd.	
Acta Clinica Croatica	0353-9466	1333-9451	Klinicka Bolnica Sestre Milosrdnice	Unpaywall Open Access
Acta Colombiana de Cuidado Intensivo	0122-7262	2773-0697	Asociacion Colombiana de Medicina Critica y Cuidado lntensivo	
Acta Colombiana de Psicologia	0123-9155	1909-9711	Universidad Catolica de Colombia	Unpaywall Open Access
Acta Comeniana	0231-5955	-	Academy of Sciences of the Czech Republic	
Acta Commercii	2413-1903	1684-1999	AOSIS (Pty) Ltd	Unpaywall Open Access
Acta Comportamentalia	0188-8145	-	Universidad Nacional Autonoma de Mexico	
Acta Conventus Neo-Latini	2212-6007	-	Brill Academic Publishers	
Acta Crystallographica Section A: Foundations and Advances	-	2053-2733	John Wiley & Sons Inc.	
Acta Crystallographica Section B: Structural Science, Crystal Engineering and Materials	2052-5192	2052-5206	John Wiley & Sons Inc.	
Acta Crystallographica Section D: Structural Biology	-	2059-7983	John Wiley & Sons Inc.	
Acta Crystallographica Section E: Crystallographic Communications	-	2056-9890	International Union of Crystallography	Unpaywall Open Access
Acta Crystallographica Section F:Structural Biology Communications	-	2053-230X	John Wiley and Sons Ltd	
Acta crystallographica. Section C, Structural chemistry	-	2053-2296	John Wiley & Sons Inc.	
Acta Cybernetica	0324-721X	-	University of Szeged, Institute of Informatics	
Acta Cytologica	0001-5547	1938-2650	S. Karger AG	
Acta Dermato-Venereologica	0001-5555	1651-2057	Medical Journals Sweden AB	Unpaywall Open Access
Acta Dermatovenerologica Alpina, Pannonica et Adriatica	1318-4458	1581-2979	Association of Slovenian Dermatovenerologists	
Acta Dermatovenerologica Croatica	1330-027X	1847-6538	Croatian Dermatovenerological Society	
Acta Diabetologica	0940-5429	1432-5233	Springer-Verlag Italia s.r.l.	
Acta Didactica Norden	-	2535-8219	Universitetet i Oslo	Unpaywall Open Access
Acta Endocrinologica	1841-0987	1843-066X	Acta Endocrinologica Foundation	
Acta Entomologica Musei Nationalis Pragae	0374-1036	1804-6487	National Museum/Narodni muzeum	
Acta Epileptologica	2096-9384	2524-4434	BioMed Central Ltd	Unpaywall Open Access
Acta et Commentationes Universitatis Tartuensis de Mathematica	1406-2283	2228-4699	Tartu University Press	
Acta Ethnographica Hungarica	1216-9803	1588-2586	Akademiai Kiado	
Acta Ethologica	0873-9749	1437-9546	Springer Science and Business Media Deutschland GmbH	
Acta Facultatis Medicae Naissensis	0351-6083	2217-2521	University of Nis, Faculty of Medicine	
Acta Facultatis Philosophicae Universitatis Ostravienis Studia Germanistica	1803-408X	2571-0273	University of Ostrava, Faculty of Arts	Unpaywall Open Access
Acta Facultatis Xylologiae Zvolen	1336-3824	-	Technical University in Zvolen	
Acta Fytotechnica et Zootechnica	1335-258X	1336-9245	Slovak University of Agriculture in Nitra	Unpaywall Open Access
Acta Gastro-Enterologica Belgica	0001-5644	-	Universa Press	
Acta Gastroenterologica Latinoamericana	0300-9033	-	Sociedad Argentina de Gastroenterologia	Unpaywall Open Access
Acta Geochimica	2096-0956	2365-7499	Springer International Publishing AG	
Acta Geodaetica et Cartographica Sinica	1001-1595	-	Editorial Department of Acta Geodaetica et Cartographica Sinica	
Acta Geodaetica et Geophysica	2213-5812	2213-5820	Akademiai Kiado	
Acta Geodynamica et Geomaterialia	1214-9705	-	Czech Academy of Sciences	
Acta Geographica Lodziensia	0065-1249	-	Lodzkie Towarzystwo Naukowe	
Acta Geographica Slovenica	1581-6613	1581-8314	ZRC SAZU, Zalozba ZRC	Unpaywall Open Access
Acta Geographica Universitatis Comenianae	1338-6034	-	Comenius University in Bratislava	
Acta Geologica Polonica	0001-5709	-	Polish Academy of Sciences, Committee of Geological Sciences	
Acta Geologica Sinica (English Edition)	1000-9515	1755-6724	John Wiley and Sons Inc	
Acta Geologica Slovaca	1338-0044	1338-5674	Comenius University in Bratislava	
Acta Geophysica	1895-6572	1895-7455	Springer International Publishing AG	
Acta Geophysica Sinica	0001-5733	-	Editorial Office of Chinese Journal of Geophysics	
Acta Geoscientica Sinica	1006-3021	-	di qiu xue bao bian ji bu	
Acta Geotechnica	1861-1125	1861-1133	Springer Verlag	
Acta Geotechnica Slovenica	1854-0171	-	University of Maribor	
Acta Gymnica	2336-4912	2336-4920	Palacky University	Unpaywall Open Access
Acta Haematologica	0001-5792	1421-9662	S. Karger AG	
Acta Haematologica Polonica	0001-5814	2300-7117	Via Medica	Unpaywall Open Access
Acta Herpetologica	1827-9635	1827-9643	Firenze University Press	Unpaywall Open Access
Acta Histochemica	0065-1281	1618-0372	Elsevier GmbH	
Acta Histochemica et Cytochemica	0044-5991	1347-5800	Japan Society of Histochemistry and Cytochemistry	
Acta Historiae Artis Slovenica	1408-0419	-	ZRC SAZU, Zalozba ZRC	Unpaywall Open Access
Acta Historica Tallinnensia	1406-2925	1736-7476	Estonian Academy Publishers	Unpaywall Open Access
Acta Historica Universitatis Klaipedensis	1392-4095	2351-6526	Institute of Baltic Region History and Archaeology of Klaipeda University	Unpaywall Open Access
Acta Histriae	1318-0185	-	The Historical Society of Southern Primorska of Koper, Institute IRRIS for Research, Development and Strategies of Society, Culture and Environment	
Acta Horticulturae	0567-7572	-	International Society for Horticultural Science	
Acta Horticulturae Sinica	0513-353X	-	Editorial Office of Horticultural Plant Journal	
Acta Hydrobiologica Sinica	1000-3207	-	Institute of Hydrobiology, Chinese Academy of Sciences	
Acta Hydrologica Slovaca	-	2644-4690	Slovak Academy of Sciences, Institute of Hydrology	
Acta Hydrotechnica	0352-3551	1581-0267	University of Ljubljana, Faculty of Civil and Geodetic Engineering	
Acta Iadertina	1845-3392	1849-1243	University of Zadar	
Acta Ichthyologica et Piscatoria	0137-1592	1734-1515	Pensoft Publishers	Unpaywall Open Access
Acta IMEKO	0237-028X	2221-870X	International Measurement Confederation (IMEKO)	Unpaywall Open Access
Acta Informatica	0001-5903	1432-0525	Springer New York	
Acta Informatica Medica	0353-8109	1986-5988	Avicena Publishing	
Acta Informatica Pragensia	-	1805-4951	Prague University of Economics and Business	Unpaywall Open Access
Acta Innovations	-	2300-5599	Rotherham Academic Press Ltd	Unpaywall Open Access
Acta Koreana	1520-7412	-	Keimyung University, Academia Koreana	
Acta Limnologica Brasiliensia	0102-6712	2179-975X	Brazilian Limnology Association	Unpaywall Open Access
Acta Linguistica Academica	2559-8201	-	Akademiai Kiado ZRt.	
Acta Linguistica Asiatica	-	2232-3317	Ljubljana University Press	Unpaywall Open Access
Acta Linguistica Hafniensia	0374-0463	-	Taylor and Francis Ltd.	
Acta Linguistica Lithuanica	1648-4444	2669-218X	Institute of the Lithuanian Language	Unpaywall Open Access
Acta Linguistica Petropolitana	2306-5737	2658-4069	Institute for Linguistic Studies RAS	
Acta Literaria	0716-0909	0717-6848	Universidad de Concepcion	
Acta Logistica	-	1339-5629	4S go, s.r.o	Unpaywall Open Access
Acta Marisiensis - Seria Medica	2668-7755	2668-7763	Sciendo	Unpaywall Open Access
Acta Materia Medica	-	2737-7946	Compuscript Ltd	Unpaywall Open Access
Acta Materialia	1359-6454	-	Acta Materialia Inc	
Acta Mathematica	0001-5962	-	Springer Netherlands	
Acta Mathematica Hungarica	0236-5294	1588-2632	Springer Netherlands	
Acta Mathematica Scientia	0252-9602	1572-9087	Springer	
Acta Mathematica Sinica, Chinese Series	0583-1431	-	shu xue xue bao bian ji bu	
Acta Mathematica Sinica, English Series	1439-8516	1439-7617	Springer Verlag	
