Journal Title,eISSN,Open Access Status,Included in R&P agreement,Subject,Publisher,Agreement Duration
International Journal of Entrepreneurial Behavior & Research,1758-6534,Hybrid,Yes,"Business, Management & Strategy",Emerald,2025-2027
International Journal of Ethics and Systems,2514-9377,Hybrid,Yes,"Accounting, Finance & Economics",Emerald,2025-2027
International Journal of Event and Festival Management,1758-2962,Hybrid,Yes,Tourism & Hospitality Management,Emerald,2025-2027
International Journal of Gender and Entrepreneurship,1756-6274,Hybrid,Yes,"Business, Management & Strategy",Emerald,2025-2027
International Journal of Health Care Quality Assurance,1758-6542,Hybrid,Yes,Health & Social Care,Emerald,2025-2027
International Journal of Health Governance,2059-464X,Hybrid,Yes,Health & Social Care,Emerald,2025-2027
International Journal of Housing Markets and Analysis,1753-8289,Hybrid,Yes,Property Management & Built Environment,Emerald,2025-2027
International Journal of Human Rights in Healthcare,2056-4910,Hybrid,Yes,Health & Social Care,Emerald,2025-2027
International Journal of Information and Learning Technology,2056-4899,Hybrid,Yes,Education,Emerald,2025-2027
International Journal of Innovation Science,1757-2231,Hybrid,Yes,"Business, Management & Strategy",Emerald,2025-2027
International Journal of Intelligent Computing and Cybernetics,1756-3798,Hybrid,Yes,Engineering,Emerald,2025-2027
International Journal of Intelligent Unmanned Systems,2049-6435,Hybrid,Yes,Engineering,Emerald,2025-2027
International Journal of Islamic and Middle Eastern Finance and Management,1753-8408,Hybrid,Yes,"Accounting, Finance & Economics",Emerald,2025-2027
International Journal of Law and Management,1754-2448,Hybrid,Yes,"Business, Management & Strategy",Emerald,2025-2027
International Journal of Lean Six Sigma,2040-4174,Hybrid,Yes,"Operations, Logistics & Quality",Emerald,2025-2027
International Journal of Managerial Finance,1758-6569,Hybrid,Yes,"Accounting, Finance & Economics",Emerald,2025-2027
International Journal of Managing Projects in Business,1753-8386,Hybrid,Yes,"Business, Management & Strategy",Emerald,2025-2027
International Journal of Manpower,1758-6577,Hybrid,Yes,"Accounting, Finance & Economics",Emerald,2025-2027
International Journal of Mentoring and Coaching in Education,2046-6862,Hybrid,Yes,Education,Emerald,2025-2027
"International Journal of Migration, Health and Social Care",2042-8650,Hybrid,Yes,Health & Social Care,Emerald,2025-2027
International Journal of Numerical Methods for Heat & Fluid Flow,1758-6585,Hybrid,Yes,Engineering,Emerald,2025-2027
International Journal of Operations & Production Management,1758-6593,Hybrid,Yes,"Operations, Logistics & Quality",Emerald,2025-2027
International Journal of Organization Theory & Behavior,1532-4273,Hybrid,Yes,"HR, Learning & Organizational studies",Emerald,2025-2027
International Journal of Organizational Analysis,1758-8561,Hybrid,Yes,"HR, Learning & Organizational studies",Emerald,2025-2027
International Journal of Pervasive Computing and Communications,1742-738X,Hybrid,Yes,Engineering,Emerald,2025-2027
International Journal of Pharmaceutical and Healthcare Marketing,1750-6131,Hybrid,Yes,Marketing,Emerald,2025-2027
International Journal of Physical Distribution & Logistics Management,1758-664X,Hybrid,Yes,"Operations, Logistics & Quality",Emerald,2025-2027
International Journal of Prison Health,2977-0262,Hybrid,Yes,Health & Social Care,Emerald,2025-2027
International Journal of Productivity and Performance Management,1758-6658,Hybrid,Yes,"HR, Learning & Organizational studies",Emerald,2025-2027
International Journal of Public Leadership,2056-4937,Hybrid,Yes,Public policy & Environm Management,Emerald,2025-2027
International Journal of Public Sector Management,1758-6666,Hybrid,Yes,Public policy & Environm Management,Emerald,2025-2027
International Journal of Quality & Reliability Management,1758-6682,Hybrid,Yes,"Operations, Logistics & Quality",Emerald,2025-2027
International Journal of Quality and Service Sciences,1756-6703,Hybrid,Yes,"Operations, Logistics & Quality",Emerald,2025-2027
International Journal of Retail & Distribution Management,1758-6690,Hybrid,Yes,"Business, Management & Strategy",Emerald,2025-2027
International Journal of Social Economics,1758-6712,Hybrid,Yes,"Accounting, Finance & Economics",Emerald,2025-2027
International Journal of Sociology and Social Policy,1758-6720,Hybrid,Yes,Public policy & Environm Management,Emerald,2025-2027
International Journal of Sports Marketing and Sponsorship,2515-7841,Hybrid,Yes,Marketing,Emerald,2025-2027
International Journal of Structural Integrity,1757-9872,Hybrid,Yes,Engineering,Emerald,2025-2027
International Journal of Sustainability in Higher Education,1758-6739,Hybrid,Yes,Education,Emerald,2025-2027
International Journal of Web Information Systems,1744-0092,Hybrid,Yes,Engineering,Emerald,2025-2027
International Journal of Wine Business Research,1751-1070,Hybrid,Yes,"Business, Management & Strategy",Emerald,2025-2027
International Journal of Workplace Health Management,1753-836X,Hybrid,Yes,Health & Social Care,Emerald,2025-2027
International Marketing Review,1758-6763,Hybrid,Yes,Marketing,Emerald,2025-2027
Internet Research,2054-5657,Hybrid,Yes,Records & Knowledge Managemennt,Emerald,2025-2027
Journal for Multicultural Education,2053-5368,Hybrid,Yes,Education,Emerald,2025-2027
Journal of Accounting & Organizational Change,1839-5473,Hybrid,Yes,"Accounting, Finance & Economics",Emerald,2025-2027
Journal of Accounting in Emerging Economies,2042-1176,Hybrid,Yes,"Accounting, Finance & Economics",Emerald,2025-2027
Journal of Accounting Literature,2452-1469,Hybrid,Yes,"Accounting, Finance & Economics",Emerald,2025-2027
Journal of Advances in Management Research,2049-3207,Hybrid,Yes,"Business, Management & Strategy",Emerald,2025-2027
"Journal of Aggression, Conflict and Peace Research",2042-8715,Hybrid,Yes,Health & Social Care,Emerald,2025-2027
Journal of Agribusiness in Developing and Emerging Economies,2044-0847,Hybrid,Yes,"Accounting, Finance & Economics",Emerald,2025-2027
Journal of Applied Accounting Research,1758-8855,Hybrid,Yes,"Accounting, Finance & Economics",Emerald,2025-2027
Journal of Applied Research in Higher Education,1758-1184,Hybrid,Yes,Education,Emerald,2025-2027
Journal of Asia Business Studies,1559-2243,Hybrid,Yes,"Business, Management & Strategy",Emerald,2025-2027
Journal of Business & Industrial Marketing,2052-1189,Hybrid,Yes,Marketing,Emerald,2025-2027
Journal of Business Strategy,2052-1197,Hybrid,Yes,"Business, Management & Strategy",Emerald,2025-2027
Journal of Children's Services,2042-8677,Hybrid,Yes,Health & Social Care,Emerald,2025-2027
Journal of Chinese Economic and Foreign Trade Studies,1754-4416,Hybrid,Yes,"Accounting, Finance & Economics",Emerald,2025-2027
Journal of Communication Management,1478-0852,Hybrid,Yes,Marketing,Emerald,2025-2027
Journal of Consumer Marketing,2052-1200,Hybrid,Yes,Marketing,Emerald,2025-2027
Journal of Contemporary Marketing Science,2516-7499,Hybrid,Yes,Marketing,Emerald,2025-2027
Journal of Corporate Real Estate,1479-1048,Hybrid,Yes,Property Management & Built Environment,Emerald,2025-2027
Journal of Criminal Psychology,2049-9388,Hybrid,Yes,Health & Social Care,Emerald,2025-2027
"Journal of Criminological Research, Policy and Practice",2056-385X,Hybrid,Yes,Health & Social Care,Emerald,2025-2027
Journal of Cultural Heritage Management and Sustainable Development,2044-1274,Hybrid,Yes,Property Management & Built Environment,Emerald,2025-2027
Journal of Documentation,1758-7379,Hybrid,Yes,Library Science,Emerald,2025-2027
Journal of Economic and Administrative Sciences,2054-6246,Hybrid,Yes,"Accounting, Finance & Economics",Emerald,2025-2027
Journal of Economic Studies,1758-7387,Hybrid,Yes,"Accounting, Finance & Economics",Emerald,2025-2027
Journal of Educational Administration,1758-7395,Hybrid,Yes,Education,Emerald,2025-2027
Journal of Enabling Technologies,2398-6271,Hybrid,Yes,Health & Social Care,Emerald,2025-2027
"Journal of Engineering, Design and Technology",1758-8901,Hybrid,Yes,Property Management & Built Environment,Emerald,2025-2027
Journal of Enterprise Information Management,1758-7409,Hybrid,Yes,Records & Knowledge Managemennt,Emerald,2025-2027
Journal of Enterprising Communities: People and Places in the Global Economy,1750-6212,Hybrid,Yes,"Business, Management & Strategy",Emerald,2025-2027
Journal of Entrepreneurship and Public Policy,2045-211X,Hybrid,Yes,"Business, Management & Strategy",Emerald,2025-2027
Journal of Entrepreneurship in Emerging Economies,2053-4612,Hybrid,Yes,"Business, Management & Strategy",Emerald,2025-2027
Journal of European Real Estate Research,1753-9277,Hybrid,Yes,Property Management & Built Environment,Emerald,2025-2027
Journal of Facilities Management,1741-0983,Hybrid,Yes,Property Management & Built Environment,Emerald,2025-2027
Journal of Family Business Management,2043-6246,Hybrid,Yes,"Business, Management & Strategy",Emerald,2025-2027
Journal of Fashion Marketing and Management: An International Journal,1758-7433,Hybrid,Yes,Marketing,Emerald,2025-2027
Journal of Financial Crime,1758-7239,Hybrid,Yes,"Accounting, Finance & Economics",Emerald,2025-2027
Journal of Financial Economic Policy,1757-6393,Hybrid,Yes,"Accounting, Finance & Economics",Emerald,2025-2027
Journal of Financial Management of Property and Construction,1759-8443,Hybrid,Yes,Property Management & Built Environment,Emerald,2025-2027
Journal of Financial Regulation and Compliance,1740-0279,Hybrid,Yes,"Accounting, Finance & Economics",Emerald,2025-2027
Journal of Financial Reporting and Accounting,2042-5856,Hybrid,Yes,"Accounting, Finance & Economics",Emerald,2025-2027
Journal of Forensic Practice,2050-8808,Hybrid,Yes,Health & Social Care,Emerald,2025-2027
Journal of Global Mobility: The Home of Expatriate Management Research,2049-8802,Hybrid,Yes,"HR, Learning & Organizational studies",Emerald,2025-2027
Journal of Global Operations and Strategic Sourcing,2398-5372,Hybrid,Yes,"Operations, Logistics & Quality",Emerald,2025-2027
Journal of Global Responsibility,2041-2576,Hybrid,Yes,"Business, Management & Strategy",Emerald,2025-2027
Journal of Health Organization and Management,1758-7247,Hybrid,Yes,Health & Social Care,Emerald,2025-2027
Journal of Historical Research in Marketing,1755-7518,Hybrid,Yes,Marketing,Emerald,2025-2027
Journal of Hospitality and Tourism Horizons,3049-7922,Hybrid,Yes,Tourism & Hospitality Management,Emerald,2025-2027
Journal of Hospitality and Tourism Insights,2514-9806,Hybrid,Yes,Tourism & Hospitality Management,Emerald,2025-2027
Journal of Hospitality and Tourism Technology,1757-9899,Hybrid,Yes,Tourism & Hospitality Management,Emerald,2025-2027
Journal of Indian Business Research,1755-4209,Hybrid,Yes,"Business, Management & Strategy",Emerald,2025-2027
"Journal of Information, Communication and Ethics in Society",1758-8871,Hybrid,Yes,Records & Knowledge Managemennt,Emerald,2025-2027
Journal of Integrated Care,2042-8685,Hybrid,Yes,Health & Social Care,Emerald,2025-2027
Journal of Intellectual Capital,1758-7468,Hybrid,Yes,Records & Knowledge Managemennt,Emerald,2025-2027
Journal of International Education in Business,1836-3261,Hybrid,Yes,Education,Emerald,2025-2027
Journal of International Trade Law and Policy,2045-4376,Hybrid,Yes,"Business, Management & Strategy",Emerald,2025-2027
Journal of Islamic Accounting and Business Research,1759-0825,Hybrid,Yes,"Accounting, Finance & Economics",Emerald,2025-2027
Journal of Islamic Marketing,1759-0841,Hybrid,Yes,Marketing,Emerald,2025-2027
Journal of Knowledge Management,1758-7484,Hybrid,Yes,Records & Knowledge Managemennt,Emerald,2025-2027
Journal of Management Development,1758-7492,Hybrid,Yes,"HR, Learning & Organizational studies",Emerald,2025-2027
Journal of Management History,1758-7751,Hybrid,Yes,"Business, Management & Strategy",Emerald,2025-2027
Journal of Managerial Psychology,1758-7778,Hybrid,Yes,"HR, Learning & Organizational studies",Emerald,2025-2027
Journal of Manufacturing Technology Management,1758-7786,Hybrid,Yes,"Operations, Logistics & Quality",Emerald,2025-2027
Journal of Modelling in Management,1746-5672,Hybrid,Yes,"Business, Management & Strategy",Emerald,2025-2027
Journal of Money Laundering Control,1758-7808,Hybrid,Yes,"Accounting, Finance & Economics",Emerald,2025-2027
Journal of Organizational Change Management,1758-7816,Hybrid,Yes,"HR, Learning & Organizational studies",Emerald,2025-2027
Journal of Organizational Effectiveness: People and Performance,2051-6622,Hybrid,Yes,"HR, Learning & Organizational studies",Emerald,2025-2027
Journal of Organizational Ethnography,2046-6757,Hybrid,Yes,"HR, Learning & Organizational studies",Emerald,2025-2027
Journal of Participation and Employee Ownership,2514-765X,Hybrid,Yes,"Accounting, Finance & Economics",Emerald,2025-2027
Journal of Place Management and Development,1753-8343,Hybrid,Yes,Property Management & Built Environment,Emerald,2025-2027
Journal of Product & Brand Management,2054-1643,Hybrid,Yes,Marketing,Emerald,2025-2027
Journal of Professional Capital and Community,2056-9556,Hybrid,Yes,Education,Emerald,2025-2027
Journal of Property Investment & Finance,1470-2002,Hybrid,Yes,Property Management & Built Environment,Emerald,2025-2027
"Journal of Property, Planning and Environmental Law",2514-9415,Hybrid,Yes,Property Management & Built Environment,Emerald,2025-2027
"Journal of Public Budgeting, Accounting & Financial Management",1945-1814,Hybrid,Yes,"Accounting, Finance & Economics",Emerald,2025-2027
Journal of Public Mental Health,2042-8731,Hybrid,Yes,Health & Social Care,Emerald,2025-2027
Journal of Public Procurement,2150-6930,Hybrid,Yes,Public policy & Environm Management,Emerald,2025-2027
Journal of Quality in Maintenance Engineering,1758-7832,Hybrid,Yes,"Operations, Logistics & Quality",Emerald,2025-2027
Journal of Research in Interactive Marketing,2040-7130,Hybrid,Yes,Marketing,Emerald,2025-2027
Journal of Research in Marketing and Entrepreneurship,1471-521X,Hybrid,Yes,Marketing,Emerald,2025-2027
Journal of Science and Technology Policy Management,2053-4639,Hybrid,Yes,"Operations, Logistics & Quality",Emerald,2025-2027
Journal of Service Management,1757-5826,Hybrid,Yes,"Business, Management & Strategy",Emerald,2025-2027
Journal of Service Theory and Practice,2055-6233,Hybrid,Yes,"Operations, Logistics & Quality",Emerald,2025-2027
Journal of Services Marketing,2054-1651,Hybrid,Yes,Marketing,Emerald,2025-2027
Journal of Small Business and Enterprise Development,1758-7840,Hybrid,Yes,"Business, Management & Strategy",Emerald,2025-2027
Journal of Social Marketing,2042-6771,Hybrid,Yes,Marketing,Emerald,2025-2027
Journal of Strategy and Management,1755-4268,Hybrid,Yes,"Business, Management & Strategy",Emerald,2025-2027
Journal of Structural Fire Engineering,2040-2325,Hybrid,Yes,Engineering,Emerald,2025-2027
Journal of Systems and Information Technology,1758-8847,Hybrid,Yes,Records & Knowledge Managemennt,Emerald,2025-2027
Journal of Workplace Learning,1758-7859,Hybrid,Yes,"HR, Learning & Organizational studies",Emerald,2025-2027
Kybernetes,1758-7883,Hybrid,Yes,Engineering,Emerald,2025-2027
Leadership & Organization Development Journal,1472-5347,Hybrid,Yes,"HR, Learning & Organizational studies",Emerald,2025-2027
Leadership in Health Services,1751-1887,Hybrid,Yes,Health & Social Care,Emerald,2025-2027
Library Hi Tech,2054-166X,Hybrid,Yes,Library Science,Emerald,2025-2027
Library Hi Tech News,2054-1678,Hybrid,Yes,Library Science,Emerald,2025-2027
Library Management,1758-7921,Hybrid,Yes,Library Science,Emerald,2025-2027
Management & Sustainability: An Arab Review,2752-9827,Hybrid,Yes,"Business, Management & Strategy",Emerald,2025-2027
Management Decision,1758-6070,Hybrid,Yes,"Business, Management & Strategy",Emerald,2025-2027
Management of Environmental Quality: An International Journal,1758-6119,Hybrid,Yes,Public policy & Environm Management,Emerald,2025-2027
Management Research Review,2040-8277,Hybrid,Yes,"Business, Management & Strategy",Emerald,2025-2027
Management Research: The Journal of the Iberoamerican Academy of Management,1558-0946,Hybrid,Yes,"Business, Management & Strategy",Emerald,2025-2027
Managerial Auditing Journal,1758-7735,Hybrid,Yes,"Accounting, Finance & Economics",Emerald,2025-2027
Managerial Finance,1758-7743,Hybrid,Yes,"Accounting, Finance & Economics",Emerald,2025-2027
Marketing Intelligence & Planning,1758-8049,Hybrid,Yes,Marketing,Emerald,2025-2027
Measuring Business Excellence,1758-8057,Hybrid,Yes,"Business, Management & Strategy",Emerald,2025-2027
Meditari Accountancy Research,2049-3738,Hybrid,Yes,"Accounting, Finance & Economics",Emerald,2025-2027
"Mental Health and Digital Technologies
",2976-8756,Hybrid,Yes,Health & Social Care,Emerald,2025-2027
Mental Health and Social Inclusion,2042-8316,Hybrid,Yes,Health & Social Care,Emerald,2025-2027
Mental Health Review Journal,2042-8758,Hybrid,Yes,Health & Social Care,Emerald,2025-2027
Microelectronics International,1758-812X,Hybrid,Yes,Engineering,Emerald,2025-2027
Multidiscipline Modeling in Materials and Structures,1573-6113,Hybrid,Yes,Engineering,Emerald,2025-2027
Multinational Business Review,2054-1686,Hybrid,Yes,"Business, Management & Strategy",Emerald,2025-2027
Nankai Business Review International,2040-8757,Hybrid,Yes,"Business, Management & Strategy",Emerald,2025-2027
Nutrition & Food Science,1758-6917,Hybrid,Yes,Health & Social Care,Emerald,2025-2027
On the Horizon,2054-1708,Hybrid,Yes,Education,Emerald,2025-2027
Online Information Review,1468-4535,Hybrid,Yes,Library Science,Emerald,2025-2027
Open House International,2633-9838,Hybrid,Yes,Property Management & Built Environment,Emerald,2025-2027
Pacific Accounting Review,2041-5494,Hybrid,Yes,"Accounting, Finance & Economics",Emerald,2025-2027
Performance Measurement and Metrics,1758-6925,Hybrid,Yes,Library Science,Emerald,2025-2027
Personnel Review,1758-6933,Hybrid,Yes,"HR, Learning & Organizational studies",Emerald,2025-2027
Pigment & Resin Technology,1758-6941,Hybrid,Yes,Engineering,Emerald,2025-2027
Policing: An International Journal,1758-695X,Hybrid,Yes,Public policy & Environm Management,Emerald,2025-2027
Property Management,1758-731X,Hybrid,Yes,Property Management & Built Environment,Emerald,2025-2027
Qualitative Market Research: An International Journal,1758-7646,Hybrid,Yes,Marketing,Emerald,2025-2027
Qualitative Research in Accounting & Management,1758-7654,Hybrid,Yes,"Accounting, Finance & Economics",Emerald,2025-2027
Qualitative Research in Financial Markets,1755-4187,Hybrid,Yes,"Accounting, Finance & Economics",Emerald,2025-2027
Qualitative Research in Organizations and Management: An International Journal,1746-5656,Hybrid,Yes,"HR, Learning & Organizational studies",Emerald,2025-2027
Qualitative Research Journal,1448-0980,Hybrid,Yes,Education,Emerald,2025-2027
Quality Assurance in Education,1758-7662,Hybrid,Yes,Education,Emerald,2025-2027
Quality in Ageing and Older Adults,2044-1835,Hybrid,Yes,Health & Social Care,Emerald,2025-2027
Rapid Prototyping Journal,1758-7670,Hybrid,Yes,Engineering,Emerald,2025-2027
Records Management Journal,1758-7689,Hybrid,Yes,Records & Knowledge Managemennt,Emerald,2025-2027
Reference Services Review,2054-1716,Hybrid,Yes,Library Science,Emerald,2025-2027
Research Journal of Textile and Apparel,2515-8090,Hybrid,Yes,Engineering,Emerald,2025-2027
Review of Accounting and Finance,1758-7700,Hybrid,Yes,"Accounting, Finance & Economics",Emerald,2025-2027
Review of Behavioral Finance,1940-5987,Hybrid,Yes,"Accounting, Finance & Economics",Emerald,2025-2027
Review of International Business and Strategy,2059-6022,Hybrid,Yes,"Business, Management & Strategy",Emerald,2025-2027
Robotic Intelligence and Automation,2754-6977,Hybrid,Yes,Engineering,Emerald,2025-2027
Safer Communities,2042-8774,Hybrid,Yes,Health & Social Care,Emerald,2025-2027
