Journal title,ISSN,eISSN,Publisher details
ACM TRANSACTIONS ON COMPUTER SYSTEMS,0734-2071,1557-7333,ASSOC COMPUTING MACHINERY
ACM TRANSACTIONS ON COMPUTING EDUCATION,1946-6226,1946-6226,ASSOC COMPUTING MACHINERY
ACM TRANSACTIONS ON DATABASE SYSTEMS,0362-5915,1557-4644,ASSOC COMPUTING MACHINERY
ACM TRANSACTIONS ON DESIGN AUTOMATION OF ELECTRONIC SYSTEMS,1084-4309,1557-7309,ASSOC COMPUTING MACHINERY
ACM TRANSACTIONS ON EMBEDDED COMPUTING SYSTEMS,1539-9087,1558-3465,ASSOC COMPUTING MACHINERY
ACM TRANSACTIONS ON GRAPHICS,0730-0301,1557-7368,ASSOC COMPUTING MACHINERY
ACM TRANSACTIONS ON INFORMATION SYSTEMS,1046-8188,1558-2868,ASSOC COMPUTING MACHINERY
ACM TRANSACTIONS ON INTELLIGENT SYSTEMS AND TECHNOLOGY,2157-6904,2157-6912,ASSOC COMPUTING MACHINERY
ACM TRANSACTIONS ON INTERACTIVE INTELLIGENT SYSTEMS,2160-6455,2160-6463,ASSOC COMPUTING MACHINERY
ACM TRANSACTIONS ON INTERNET TECHNOLOGY,1533-5399,1557-6051,ASSOC COMPUTING MACHINERY
ACM TRANSACTIONS ON KNOWLEDGE DISCOVERY FROM DATA,1556-4681,1556-472X,ASSOC COMPUTING MACHINERY
ACM TRANSACTIONS ON MATHEMATICAL SOFTWARE,0098-3500,1557-7295,ASSOC COMPUTING MACHINERY
ACM TRANSACTIONS ON MODELING AND COMPUTER SIMULATION,1049-3301,1558-1195,ASSOC COMPUTING MACHINERY
ACM TRANSACTIONS ON MULTIMEDIA COMPUTING COMMUNICATIONS AND APPLICATIONS,1551-6857,1551-6865,ASSOC COMPUTING MACHINERY
ACM TRANSACTIONS ON PRIVACY AND SECURITY,2471-2566,2471-2574,ASSOC COMPUTING MACHINERY
ACM TRANSACTIONS ON PROGRAMMING LANGUAGES AND SYSTEMS,0164-0925,1558-4593,ASSOC COMPUTING MACHINERY
ACM TRANSACTIONS ON RECONFIGURABLE TECHNOLOGY AND SYSTEMS,1936-7406,1936-7414,ASSOC COMPUTING MACHINERY
ACM TRANSACTIONS ON SENSOR NETWORKS,1550-4859,1550-4867,ASSOC COMPUTING MACHINERY
ACM TRANSACTIONS ON SOFTWARE ENGINEERING AND METHODOLOGY,1049-331X,1557-7392,ASSOC COMPUTING MACHINERY
ACM TRANSACTIONS ON STORAGE,1553-3077,1553-3093,ASSOC COMPUTING MACHINERY
ACM TRANSACTIONS ON THE WEB,1559-1131,1559-114X,ASSOC COMPUTING MACHINERY
ACOUSTICAL PHYSICS,1063-7710,1562-6865,PLEIADES PUBLISHING INC
ACOUSTICS AUSTRALIA,0814-6039,1839-2571,SPRINGER SINGAPORE PTE LTD
ACS APPLIED ELECTRONIC MATERIALS,2637-6113,AMER CHEMICAL SOC
ACS APPLIED ENERGY MATERIALS,2574-0962,2574-0962,AMER CHEMICAL SOC
ACS APPLIED MATERIALS & INTERFACES,1944-8244,1944-8252,AMER CHEMICAL SOC
ACS APPLIED NANO MATERIALS,2574-0970,AMER CHEMICAL SOC
ACS APPLIED POLYMER MATERIALS,2637-6105,2637-6105,AMER CHEMICAL SOC
ACS BIOMATERIALS SCIENCE & ENGINEERING,2373-9878,2373-9878,AMER CHEMICAL SOC
ACS CATALYSIS,2155-5435,2155-5435,AMER CHEMICAL SOC
ACS CENTRAL SCIENCE,2374-7943,2374-7951,AMER CHEMICAL SOC
ACS CHEMICAL BIOLOGY,1554-8929,1554-8937,AMER CHEMICAL SOC
ACS CHEMICAL NEUROSCIENCE,1948-7193,1948-7193,AMER CHEMICAL SOC
ACS EARTH AND SPACE CHEMISTRY,2472-3452,2472-3452,AMER CHEMICAL SOC
ACS ENERGY LETTERS,2380-8195,2380-8195,AMER CHEMICAL SOC
ACS INFECTIOUS DISEASES,2373-8227,2373-8227,AMER CHEMICAL SOC
ACS MACRO LETTERS,2161-1653,AMER CHEMICAL SOC
ACS MATERIALS LETTERS,2639-4979,AMER CHEMICAL SOC
ACS MEDICINAL CHEMISTRY LETTERS,1948-5875,1948-5875,AMER CHEMICAL SOC
ACSMS HEALTH & FITNESS JOURNAL,1091-5397,1536-593X,LIPPINCOTT WILLIAMS & WILKINS
ACS NANO,1936-0851,1936-086X,AMER CHEMICAL SOC
ACS OMEGA,2470-1343,2470-1343,AMER CHEMICAL SOC
ACS PHOTONICS,2330-4022,2330-4022,AMER CHEMICAL SOC
ACS SENSORS,2379-3694,2379-3694,AMER CHEMICAL SOC
ACS SUSTAINABLE CHEMISTRY & ENGINEERING,2168-0485,2168-0485,AMER CHEMICAL SOC
ACS SYNTHETIC BIOLOGY,2161-5063,2161-5063,AMER CHEMICAL SOC
ACTA ACUSTICA,2681-4617,EDP SCIENCES S A
ACTA ADRIATICA,0001-5113,1846-0453,INST OCEANOGRAFIJU I RIBARSTVO
ACTA AGRICULTURAE SCANDINAVICA SECTION A-ANIMAL SCIENCE,0906-4702,1651-1972,TAYLOR & FRANCIS LTD
ACTA AGRICULTURAE SCANDINAVICA SECTION B-SOIL AND PLANT SCIENCE,0906-4710,1651-1913,TAYLOR & FRANCIS LTD
ACTA ALIMENTARIA,0139-3006,1588-2535,AKADEMIAI KIADO ZRT
ACTA AMAZONICA,0044-5967,1809-4392,INST NACIONAL PESQUISAS AMAZONIA
ACTA ANAESTHESIOLOGICA SCANDINAVICA,0001-5172,1399-6576,WILEY
ACTA APPLICANDAE MATHEMATICAE,0167-8019,1572-9036,SPRINGER
ACTA ARITHMETICA,0065-1036,1730-6264,POLISH ACAD SCIENCES INST MATHEMATICS-IMPAN
ACTA ASTRONAUTICA,0094-5765,1879-2030,PERGAMON-ELSEVIER SCIENCE LTD
ACTA ASTRONOMICA,0001-5237,0001-5237,COPERNICUS FOUNDATION POLISH  ASTRONOMY
ACTA BIOCHIMICA ET BIOPHYSICA SINICA,1672-9145,1745-7270,SCIENCE PRESS
ACTA BIOCHIMICA POLONICA,,1734-154X,FRONTIERS MEDIA SA
ACTA BIOETHICA,0717-5906,1726-569X,"UNIV CHILE, CENTRO INTERDISCIPLINARIO ESTUDIOS BIOETICA"
ACTA BIOLOGICA COLOMBIANA,0120-548X,1900-1649,"UNIV NAC COLOMBIA, FAC CIENCIAS, DEPT BIOL"
ACTA BIOLOGICA CRACOVIENSIA SERIES BOTANICA,0001-5296,1898-0295,"POLSKA AKAD NAUK, POLISH ACAD SCIENCES, PAS BRANCH CRACOW"
ACTA BIOMATERIALIA,1742-7061,1878-7568,ELSEVIER SCI LTD
ACTA BIOQUIMICA CLINICA LATINOAMERICANA,0325-2957,1851-6114,FEDERACION BIOQUIMICA PROVINCIA BUENOS AIRES
ACTA BIOTHEORETICA,0001-5342,1572-8358,SPRINGER
ACTA BOTANICA BRASILICA,0102-3306,1677-941X,SOC BOTANICA BRASIL
ACTA BOTANICA CROATICA,0365-0588,1847-8476,"UNIV ZAGREB, FAC SCIENCE, DIV BIOLOGY"
ACTA BOTANICA MEXICANA,,2448-7589,INST ECOLOGIA AC
ACTA CARDIOLOGICA,0001-5385,1784-973X,TAYLOR & FRANCIS LTD
ACTA CARDIOLOGICA SINICA,1011-6842,1011-6842,TAIWAN SOC CARDIOLOGY
ACTA CARSOLOGICA,0583-6050,1580-2612,KARST RESEARCH INST ZRC SAZU
ACTA CHIMICA SINICA,0567-7351,,SCIENCE PRESS
ACTA CHIMICA SLOVENICA,1318-0207,1580-3155,SLOVENSKO KEMIJSKO DRUSTVO
ACTA CHIROPTEROLOGICA,1508-1109,1733-5329,MUSEUM & INST ZOOLOGY PAS-POLISH ACAD SCIENCES
ACTA CHIRURGIAE ORTHOPAEDICAE ET TRAUMATOLOGIAE CECHOSLOVACA,0001-5415,0001-5415,GALEN SRO
ACTA CHIRURGICA BELGICA,0001-5458,2577-0160,TAYLOR & FRANCIS LTD
ACTA CHROMATOGRAPHICA,1233-2356,2083-5736,AKADEMIAI KIADO ZRT
ACTA CIRURGICA BRASILEIRA,0102-8650,1678-2674,ACTA CIRURGICA BRASILEIRA
ACTA CLINICA BELGICA,1784-3286,2295-3337,TAYLOR & FRANCIS LTD
ACTA CLINICA CROATICA,0353-9466,1333-9451,SESTRE MILOSRDNICE UNIV HOSPITAL
ACTA CRYSTALLOGRAPHICA A-FOUNDATION AND ADVANCES,2053-2733,2053-2733,INT UNION CRYSTALLOGRAPHY
ACTA CRYSTALLOGRAPHICA SECTION B-STRUCTURAL SCIENCE CRYSTAL ENGINEERING AND MATERIALS,,2052-5206,INT UNION CRYSTALLOGRAPHY
ACTA CRYSTALLOGRAPHICA SECTION C-STRUCTURAL CHEMISTRY,2053-2296,2053-2296,INT UNION CRYSTALLOGRAPHY
ACTA CRYSTALLOGRAPHICA SECTION D-STRUCTURAL BIOLOGY,2059-7983,2059-7983,INT UNION CRYSTALLOGRAPHY
ACTA CRYSTALLOGRAPHICA SECTION F-STRUCTURAL BIOLOGY COMMUNICATIONS,,2053-230X,INT UNION CRYSTALLOGRAPHY
ACTA CYTOLOGICA,0001-5547,1938-2650,KARGER
ACTA DERMATO-VENEREOLOGICA,0001-5555,1651-2057,ACTA DERMATO-VENEREOLOGICA
ACTA DERMATOVENEROLOGICA CROATICA,1330-027X,1847-6538,CROATION DERMATOVENEROLOGICAL SOC
ACTA DIABETOLOGICA,0940-5429,1432-5233,SPRINGER-VERLAG ITALIA SRL
ACTA ENDOCRINOLOGICA-BUCHAREST,1841-0987,1843-066X,EDITURA ACAD ROMANE
ACTA ENTOMOLOGICA MUSEI NATIONALIS PRAGAE,0374-1036,1804-6487,NARODNI MUZEUM - PRIRODOVEDECKE MUZEUM
ACTA ETHOLOGICA,0873-9749,1437-9546,SPRINGER HEIDELBERG
ACTA GASTRO-ENTEROLOGICA BELGICA,1784-3227,1784-3227,UNIV CATHOLIQUE LOUVAIN-UCL
ACTA GEODAETICA ET GEOPHYSICA,2213-5812,2213-5820,SPRINGER
ACTA GEODYNAMICA ET GEOMATERIALIA,1214-9705,,ACAD SCI CZECH REPUBLIC INST ROCK STRUCTURE & MECHANICS
ACTA GEOGRAPHICA SLOVENICA-GEOGRAFSKI ZBORNIK,1581-6613,1581-8314,GEOGRAFSKI INST ANTONA MELIKA ZRC SAZU
ACTA GEOLOGICA POLONICA,0001-5709,2300-1887,"POLSKA AKAD NAUK, POLISH ACAD SCIENCES, UNIV WARSAW, GEOLOGY DEPT"
ACTA GEOLOGICA SINICA-ENGLISH EDITION,1000-9515,1755-6724,WILEY
ACTA GEOPHYSICA,1895-6572,1895-7455,SPRINGER INT PUBL AG
ACTA GEOTECHNICA,1861-1125,1861-1133,SPRINGER HEIDELBERG
ACTA GEOTECHNICA SLOVENICA,1854-0171,1854-0171,UNIV MARIBOR
ACTA HAEMATOLOGICA,0001-5792,1421-9662,KARGER
ACTA HERPETOLOGICA,1827-9635,1827-9643,FIRENZE UNIV PRESS
ACTA HISTOCHEMICA,0065-1281,1618-0372,ELSEVIER GMBH
ACTA HISTOCHEMICA ET CYTOCHEMICA,0044-5991,1347-5800,JAPAN SOC HISTOCHEMISTRY & CYTOCHEMISTRY
ACTA ICHTHYOLOGICA ET PISCATORIA,0137-1592,1734-1515,PENSOFT PUBLISHERS
ACTA INFORMATICA,0001-5903,1432-0525,SPRINGER
ACTA MATERIALIA,1359-6454,1873-2453,PERGAMON-ELSEVIER SCIENCE LTD
ACTA MATHEMATICA,0001-5962,1871-2509,"INT PRESS BOSTON, INC"
ACTA MATHEMATICAE APPLICATAE SINICA-ENGLISH SERIES,0168-9673,1618-3932,SPRINGER HEIDELBERG
ACTA MATHEMATICA HUNGARICA,0236-5294,1588-2632,SPRINGER
ACTA MATHEMATICA SCIENTIA,0252-9602,1572-9087,SPRINGER
ACTA MATHEMATICA SINICA-ENGLISH SERIES,1439-8516,1439-7617,SPRINGER HEIDELBERG
ACTA MECHANICA,0001-5970,1619-6937,SPRINGER WIEN
ACTA MECHANICA SINICA,0567-7718,1614-3116,SPRINGER HEIDELBERG
ACTA MECHANICA SOLIDA SINICA,0894-9166,1860-2134,SPRINGER
ACTA MEDICA OKAYAMA,0386-300X,0386-300X,OKAYAMA UNIV MED SCHOOL
ACTA MEDICA PORTUGUESA,0870-399X,1646-0758,ORDEM MEDICOS
ACTA METALLURGICA SINICA,0412-1961,,SCIENCE PRESS
ACTA METALLURGICA SINICA-ENGLISH LETTERS,1006-7191,2194-1289,"CHINESE ACAD SCIENCES, INST METAL RESEARCH"
ACTA MICROBIOLOGICA ET IMMUNOLOGICA HUNGARICA,1217-8950,1588-2640,AKADEMIAI KIADO ZRT
ACTA MONTANISTICA SLOVACA,1335-1788,1335-1788,BERG FAC TECHNICAL UNIV KOSICE
ACTA NATURAE,2075-8251,2075-8251,RUSSIAN FEDERATION AGENCY SCIENCE & INNOVATION
ACTA NEUROBIOLOGIAE EXPERIMENTALIS,0065-1400,1689-0035,NENCKI INST EXPERIMENTAL BIOLOGY
ACTA NEUROCHIRURGICA,0001-6268,0942-0940,SPRINGER WIEN
ACTA NEUROLOGICA BELGICA,0300-9009,2240-2993,SPRINGER HEIDELBERG
ACTA NEUROLOGICA SCANDINAVICA,0001-6314,1600-0404,WILEY
ACTA NEUROPATHOLOGICA,0001-6322,1432-0533,SPRINGER
ACTA NEUROPATHOLOGICA COMMUNICATIONS,2051-5960,2051-5960,BMC
ACTA NEUROPSYCHIATRICA,0924-2708,1601-5215,CAMBRIDGE UNIV PRESS
ACTA NUMERICA,0962-4929,1474-0508,CAMBRIDGE UNIV PRESS
ACTA OBSTETRICIA ET GYNECOLOGICA SCANDINAVICA,0001-6349,1600-0412,WILEY
ACTA OCEANOLOGICA SINICA,0253-505X,1869-1099,SPRINGER
ACTA ODONTOLOGICA SCANDINAVICA,0001-6357,1502-3850,MEDICAL JOURNAL SWEDEN AB
ACTA OECOLOGICA-INTERNATIONAL JOURNAL OF ECOLOGY,1146-609X,1873-6238,ELSEVIER
ACTA OF BIOENGINEERING AND BIOMECHANICS,1509-409X,2450-6303,SCIENDO
ACTA ONCOLOGICA,0284-186X,1651-226X,MEDICAL JOURNAL SWEDEN AB
ACTA OPHTHALMOLOGICA,1755-375X,1755-3768,WILEY
ACTA ORNITHOLOGICA,0001-6454,1734-8471,MUSEUM & INST ZOOLOGY
ACTA ORTHOPAEDICA,1745-3674,1745-3682,MEDICAL JOURNAL SWEDEN AB
ACTA ORTHOPAEDICA BELGICA,0001-6462,0001-6462,ACTA MEDICA BELGICA
ACTA ORTHOPAEDICA ET TRAUMATOLOGICA TURCICA,1017-995X,2589-1294,TURKISH ASSOC ORTHOPAEDICS TRAUMATOLOGY
ACTA ORTOPEDICA BRASILEIRA,1413-7852,1809-4406,ATHA COMUNICACAO & EDITORA
ACTA OTO-LARYNGOLOGICA,0001-6489,1651-2251,TAYLOR & FRANCIS LTD
ACTA OTORHINOLARYNGOLOGICA ITALICA,0392-100X,1827-675X,PACINI EDITORE
ACTA PAEDIATRICA,0803-5253,1651-2227,WILEY
ACTA PALAEONTOLOGICA POLONICA,0567-7920,1732-2421,INST PALEOBIOLOGII PAN
ACTA PARASITOLOGICA,1230-2821,1896-1851,SPRINGER INT PUBL AG
ACTA PAULISTA DE ENFERMAGEM,0103-2100,1982-0194,"UNIV FED SAO PAULO, DEPT ENFERMAGEN"
ACTA PETROLOGICA SINICA,1000-0569,2095-8927,SCIENCE PRESS
ACTA PHARMACEUTICA,1330-0075,1846-9558,SCIENDO
ACTA PHARMACEUTICA SINICA B,2211-3835,2211-3843,"INST MATERIA MEDICA, CHINESE ACAD MEDICAL SCIENCES"
ACTA PHARMACOLOGICA SINICA,1671-4083,1745-7254,NATURE PUBL GROUP
ACTA PHYSICA POLONICA A,0587-4246,1898-794X,POLISH ACAD SCIENCES INST PHYSICS
ACTA PHYSICA POLONICA B,0587-4254,1509-5770,JAGIELLONIAN UNIV PRESS
ACTA PHYSICA SINICA,1000-3290,1000-3290,CHINESE PHYSICAL SOC
ACTA PHYSICO-CHIMICA SINICA,1000-6818,,PEKING UNIV PRESS
ACTA PHYSIOLOGIAE PLANTARUM,0137-5881,1861-1664,SPRINGER HEIDELBERG
ACTA PHYSIOLOGICA,1748-1708,1748-1716,WILEY
ACTA PHYTOTAXONOMICA ET GEOBOTANICA,1346-7565,2189-7042,"JAPANESE SOC PLANT SYSTEMATICS, UNIV TOKYO, GRADUATE SCH"
ACTA POLONIAE PHARMACEUTICA,0001-6837,2353-5288,POLSKIE TOWARZYSTWO FARMACEUTYCZNE
ACTA POLYMERICA SINICA,,1000-3304,SCIENCE PRESS
ACTA POLYTECHNICA HUNGARICA,1785-8860,1785-8860,BUDAPEST TECH
ACTA PROTOZOOLOGICA,0065-1583,1689-0027,"JAGIELLONIAN UNIV, INST ENVIRONMENTAL SCIENCES"
ACTA PSYCHIATRICA SCANDINAVICA,0001-690X,1600-0447,WILEY
ACTA RADIOLOGICA,0284-1851,1600-0455,SAGE PUBLICATIONS LTD
ACTA SCIENTIAE VETERINARIAE,1678-0345,1679-9216,UNIV FED RIO GRANDE DO SUL
ACTA SCIENTIARUM-AGRONOMY,1679-9275,1807-8621,"UNIV ESTADUAL MARINGA, PRO-REITORIA PESQUISA POS-GRADUACAO"
ACTA SCIENTIARUM POLONORUM-HORTORUM CULTUS,1644-0692,2545-1405,UNIV LIFE SCIENCES LUBLIN
ACTA SCIENTIARUM-TECHNOLOGY,1806-2563,1807-8664,"UNIV ESTADUAL MARINGA, PRO-REITORIA PESQUISA POS-GRADUACAO"
ACTAS ESPANOLAS DE PSIQUIATRIA,1139-9287,1578-2735,JUAN JOSE LOPEZ-IBOR FOUNDATION
ACTA SOCIETATIS BOTANICORUM POLONIAE,0001-6977,2083-9480,POLSKIE TOWARZYSTWO BOTANICZNE
ACTAS UROLOGICAS ESPANOLAS,0210-4806,1699-7980,ELSEVIER ESPANA
ACTA TROPICA,0001-706X,1873-6254,ELSEVIER
ACTA VETERINARIA-BEOGRAD,0567-8315,1820-7448,SCIENDO
ACTA VETERINARIA BRNO,0001-7213,1801-7576,VETERINARNI A FARMACEUTICKA UNIVERZITA BRNO
ACTA VETERINARIA HUNGARICA,0236-6290,1588-2705,AKADEMIAI KIADO ZRT
ACTA VETERINARIA SCANDINAVICA,0044-605X,1751-0147,BMC
ACTA VIROLOGICA,0001-723X,1336-2305,FRONTIERS MEDIA SA
ACTA ZOOLOGICA,0001-7272,1463-6395,WILEY
ACTA ZOOLOGICA BULGARICA,0324-0770,,"INST ZOOLOGY, BAS"
ACTUATORS,,2076-0825,MDPI
ACUPUNCTURE & ELECTRO-THERAPEUTICS RESEARCH,0360-1293,2167-9010,SAGE PUBLICATIONS INC
ACUPUNCTURE IN MEDICINE,0964-5284,1759-9873,SAGE PUBLICATIONS LTD
ADANSONIA,1280-8571,1639-4798,"PUBLICATIONS SCIENTIFIQUES DU MUSEUM, PARIS"
ADAPTED PHYSICAL ACTIVITY QUARTERLY,0736-5829,1543-2777,HUMAN KINETICS PUBL INC
ADAPTIVE BEHAVIOR,1059-7123,1741-2633,SAGE PUBLICATIONS LTD
ADDICTION,0965-2140,1360-0443,WILEY
ADDICTION BIOLOGY,1355-6215,1369-1600,WILEY
ADDICTION SCIENCE & CLINICAL PRACTICE,1940-0640,1940-0640,BMC
ADDICTIVE BEHAVIORS,0306-4603,1873-6327,PERGAMON-ELSEVIER SCIENCE LTD
ADDITIVE MANUFACTURING,2214-8604,2214-7810,ELSEVIER
AD HOC NETWORKS,1570-8705,1570-8713,ELSEVIER
AD HOC & SENSOR WIRELESS NETWORKS,1551-9899,1552-0633,OLD CITY PUBLISHING INC
ADICCIONES,0214-4840,2604-6334,SOCIDROGALCOHOL
ADIPOCYTE,2162-3945,2162-397X,TAYLOR & FRANCIS INC
ADSORPTION-JOURNAL OF THE INTERNATIONAL ADSORPTION SOCIETY,0929-5607,1572-8757,SPRINGER
ADSORPTION SCIENCE & TECHNOLOGY,0263-6174,2048-4038,SAGE PUBLICATIONS INC
ADVANCED BIOLOGY,2701-0198,2701-0198,WILEY-V C H VERLAG GMBH
ADVANCED COMPOSITE MATERIALS,0924-3046,1568-5519,TAYLOR & FRANCIS LTD
ADVANCED COMPOSITES AND HYBRID MATERIALS,2522-0128,2522-0136,SPRINGERNATURE
ADVANCED DRUG DELIVERY REVIEWS,0169-409X,1872-8294,ELSEVIER
ADVANCED ELECTRONIC MATERIALS,2199-160X,2199-160X,WILEY
ADVANCED ENERGY MATERIALS,1614-6832,1614-6840,WILEY-V C H VERLAG GMBH
ADVANCED ENGINEERING INFORMATICS,1474-0346,1873-5320,ELSEVIER SCI LTD
ADVANCED ENGINEERING MATERIALS,1438-1656,1527-2648,WILEY-V C H VERLAG GMBH
ADVANCED FIBER MATERIALS,2524-7921,2524-793X,SPRINGERNATURE
ADVANCED FUNCTIONAL MATERIALS,1616-301X,1616-3028,WILEY-V C H VERLAG GMBH
ADVANCED HEALTHCARE MATERIALS,2192-2640,2192-2659,WILEY
ADVANCED INTELLIGENT SYSTEMS,,2640-4567,WILEY
ADVANCED MATERIALS,0935-9648,1521-4095,WILEY-V C H VERLAG GMBH
ADVANCED MATERIALS INTERFACES,2196-7350,2196-7350,WILEY
ADVANCED MATERIALS & PROCESSES,0882-7958,2161-9425,ASM INT
ADVANCED MATERIALS TECHNOLOGIES,2365-709X,2365-709X,WILEY
ADVANCED NONLINEAR STUDIES,1536-1365,2169-0375,DE GRUYTER POLAND SP Z O O
ADVANCED OPTICAL MATERIALS,2195-1071,2195-1071,WILEY-V C H VERLAG GMBH
ADVANCED PHOTONICS,,2577-5421,SPIE-SOC PHOTO-OPTICAL INSTRUMENTATION ENGINEERS
ADVANCED POWDER TECHNOLOGY,0921-8831,1568-5527,ELSEVIER
ADVANCED QUANTUM TECHNOLOGIES,,2511-9044,WILEY
ADVANCED ROBOTICS,0169-1864,1568-5535,TAYLOR & FRANCIS LTD
ADVANCED SCIENCE,,2198-3844,WILEY
ADVANCED STEEL CONSTRUCTION,1816-112X,,HONG KONG INST STEEL CONSTRUCTION
ADVANCED SUSTAINABLE SYSTEMS,2366-7486,2366-7486,WILEY-V C H VERLAG GMBH
ADVANCED SYNTHESIS & CATALYSIS,1615-4150,1615-4169,WILEY-V C H VERLAG GMBH
ADVANCED THEORY AND SIMULATIONS,,2513-0390,WILEY-V C H VERLAG GMBH
ADVANCED THERAPEUTICS,,2366-3987,WILEY
ADVANCEMENTS OF MICROBIOLOGY,0079-4252,2545-3149,POLSKIE TOWARZYSTWO MIKROBIOLOGOW-POLISH SOCIETY OF MICROBIOLOGISTS
ADVANCES IN ANATOMIC PATHOLOGY,1072-4109,1533-4031,LIPPINCOTT WILLIAMS & WILKINS
ADVANCES IN APPLIED CERAMICS,1743-6753,1743-6761,SAGE PUBLICATIONS INC
ADVANCES IN APPLIED CLIFFORD ALGEBRAS,0188-7009,1661-4909,SPRINGER BASEL AG
ADVANCES IN APPLIED MATHEMATICS,0196-8858,1090-2074,ACADEMIC PRESS INC ELSEVIER SCIENCE
ADVANCES IN APPLIED MATHEMATICS AND MECHANICS,2070-0733,2075-1354,GLOBAL SCIENCE PRESS
ADVANCES IN APPLIED PROBABILITY,0001-8678,1475-6064,CAMBRIDGE UNIV PRESS
ADVANCES IN ASTRONOMY,1687-7969,1687-7977,WILEY
ADVANCES IN ATMOSPHERIC SCIENCES,0256-1530,1861-9533,SCIENCE PRESS
ADVANCES IN CALCULUS OF VARIATIONS,1864-8258,1864-8266,WALTER DE GRUYTER GMBH
ADVANCES IN CEMENT RESEARCH,0951-7197,1751-7605,EMERALD GROUP PUBLISHING LTD
ADVANCES IN CIVIL ENGINEERING,1687-8086,1687-8094,WILEY
ADVANCES IN CLIMATE CHANGE RESEARCH,1674-9278,1674-9278,KEAI PUBLISHING LTD
ADVANCES IN CLINICAL AND EXPERIMENTAL MEDICINE,1899-5276,2451-2680,WROCLAW MEDICAL UNIV
ADVANCES IN COLLOID AND INTERFACE SCIENCE,0001-8686,1873-3727,ELSEVIER
ADVANCES IN COMPLEX SYSTEMS,0219-5259,1793-6802,WORLD SCIENTIFIC PUBL CO PTE LTD
ADVANCES IN COMPUTATIONAL MATHEMATICS,1019-7168,1572-9044,SPRINGER
ADVANCES IN CONCRETE CONSTRUCTION,2287-5301,2287-531X,TECHNO-PRESS
