Journal Title,eISSN,Open Access Status,Included in R&P agreement,Explanation if not included,Subject,Publisher,Agreement Duration
American Review of Canadian Studies,1943-9954,Hybrid,Yes,,Social Sciences & Humanities,Taylor & Francis,2024-2026
Amyloid: Journal of Protein Folding Disorders,1744-2818 ,Hybrid,Yes,,Medical,Taylor & Francis,2024-2026
Amyotrophic Lateral Sclerosis and Frontotemporal Degeneration,2167-9223 ,Hybrid,Yes,,Medical,Taylor & Francis,2024-2026
Analytical Chemistry Letters,2230-7532,Hybrid,Yes,,Science & Technology ,Taylor & Francis,2024-2026
Analytical Letters,1532-236X,Hybrid,Yes,,Science & Technology ,Taylor & Francis,2024-2026
Anatolia - An International Journal of Tourism and Hospitality Research,2156-6909,Hybrid,Yes,,Social Sciences & Humanities,Taylor & Francis,2024-2026
Angelaki: Journal of Theoretical Humanities,1469-2899,Hybrid,Yes,,Social Sciences & Humanities,Taylor & Francis,2024-2026
Animal Biotechnology,1532-2378,Gold OA,,Discounted,Science & Technology,Taylor & Francis,2024-2026
Animal Cells and Systems,2151-2485,Gold OA,,Discounted,Science & Technology,Taylor & Francis,2024-2026
Annales de la Societe Entomologique de France (N.S.),2168-6351,Hybrid,Yes,,Science & Technology ,Taylor & Francis,2024-2026
Annals of GIS,1947-5691,Gold OA,,Discounted,Science & Technology,Taylor & Francis,2024-2026
Annals of Human Biology,1464-5033,Gold OA,,Discounted,Medical,Taylor & Francis,2024-2026
Annals of Leisure Research,2159-6816,Hybrid,Yes,,Social Sciences & Humanities,Taylor & Francis,2024-2026
Annals of Medicine,1365-2060,Gold OA,,Discounted,Medical,Taylor & Francis,2024-2026
Annals of Science   ,1464-5050X,Hybrid,Yes,,Social Sciences & Humanities,Taylor & Francis,2024-2026
Annals of the American Association of Geographers  ,2469-4460,Hybrid,Yes,,Social Sciences & Humanities,Taylor & Francis,2024-2026
ANQ: A Quarterly Journal of Short Articles,1940-3364,Hybrid,Yes,,Social Sciences & Humanities,Taylor & Francis,2024-2026
Anthropological Forum,1469-2902,Hybrid,Yes,,Social Sciences & Humanities,Taylor & Francis,2024-2026
Anthropology & Medicine,1469-2910,Hybrid,Yes,,Social Sciences & Humanities,Taylor & Francis,2024-2026
Anthropology Now,1949-2901,Hybrid,Yes,,Social Sciences & Humanities,Taylor & Francis,2024-2026
Anthropology Southern Africa,2332-3264,Hybrid,Yes,,Social Sciences & Humanities,Taylor & Francis,2024-2026
Anthrozoos ,1753-0377,Hybrid,Yes,,Social Sciences & Humanities,Taylor & Francis,2024-2026
"Anxiety, Stress & Coping",1477-2205,Hybrid,Yes,,Social Sciences & Humanities,Taylor & Francis,2024-2026
Aphasiology,1464-5041,Hybrid,Yes,,Social Sciences & Humanities,Taylor & Francis,2024-2026
Applicable Analysis: An International Journal,1563-504X,Hybrid,Yes,,Science & Technology ,Taylor & Francis,2024-2026
Applied Artificial Intelligence,1087-6545,Gold OA,,Discounted,Science & Technology,Taylor & Francis,2024-2026
Applied Developmental Science,1532-480X,Hybrid,Yes,,Social Sciences & Humanities,Taylor & Francis,2024-2026
Applied Economics,1466-4283,Hybrid,Yes,,Social Sciences & Humanities,Taylor & Francis,2024-2026
Applied Economics Letters,1466-4291,Hybrid,Yes,,Social Sciences & Humanities,Taylor & Francis,2024-2026
Applied Environmental Education & Communication,1533-0389,Hybrid,Yes,,Social Sciences & Humanities,Taylor & Francis,2024-2026
Applied Mathematical Finance,1466-4313,Hybrid,Yes,,Social Sciences & Humanities,Taylor & Francis,2024-2026
Applied Mathematics in Science and Engineering,2769-0911,Gold OA,,Discounted,Science & Technology,Taylor & Francis,2024-2026
Applied Measurement in Education,1532-4818,Hybrid,Yes,,Social Sciences & Humanities,Taylor & Francis,2024-2026
Applied Mobilities,2380-0135,Hybrid,Yes,,Social Sciences & Humanities,Taylor & Francis,2024-2026
Applied Neuropsychology Adult ,2327-9109,Hybrid,Yes,,Social Sciences & Humanities,Taylor & Francis,2024-2026
Applied Neuropsychology: Child,2162-2973,Hybrid,Yes,,Social Sciences & Humanities,Taylor & Francis,2024-2026
Applied Operations and Analytics,,Gold OA,,Discounted,,Taylor & Francis,2024-2026
Applied Phycology,2638-8081,Gold OA,,Discounted,Science & Technology,Taylor & Francis,2024-2026
Applied Spectroscopy Reviews,1520-569X,Hybrid,Yes,,Science & Technology ,Taylor & Francis,2024-2026
Aquaculture Economics & Management,1551-8663,Hybrid,Yes,,Science & Technology ,Taylor & Francis,2024-2026
Aquatic Insects,1744-4152,Hybrid,Yes,,Science & Technology ,Taylor & Francis,2024-2026
Arab Journal of basic and Applied Sciences,2576-5299,Gold OA,,Discounted,Science & Technology,Taylor & Francis,2024-2026
Arab Journal of Urology,2090-598X,Gold OA,,Discounted,Medical,Taylor & Francis,2024-2026
Arboricultural Journal: The International Journal of Urban Forestry,2168-1074,Hybrid,Yes,,Science & Technology ,Taylor & Francis,2024-2026
Archaeological Journal,2373-2288,Hybrid,Yes,,Social Sciences & Humanities,Taylor & Francis,2024-2026
Architectural Engineering and Design Management,1752-7589,Hybrid,Yes,,Science & Technology ,Taylor & Francis,2024-2026
Architectural Science Review,1758-9622,Hybrid,Yes,,Science & Technology ,Taylor & Francis,2024-2026
Architectural Theory Review,1755-0475,Hybrid,Yes,,Social Sciences & Humanities,Taylor & Francis,2024-2026
Architecture and Culture ,2050-7836,Hybrid,Yes,,Social Sciences & Humanities,Taylor & Francis,2024-2026
Archives & Records: The Journal of the Archives & Records Association,2325-7989,Hybrid,Yes,,Social Sciences & Humanities,Taylor & Francis,2024-2026
Archives of Agronomy and Soil Science,1476-3567,Gold OA,,Discounted,Science & Technology,Taylor & Francis,2024-2026
Archives of Animal Nutrition,1477-2817,Hybrid,Yes,,Science & Technology ,Taylor & Francis,2024-2026
Archives of Environmental & Occupational Health,2154-4700,Hybrid,Yes,,Science & Technology ,Taylor & Francis,2024-2026
Archives of Physiology & Biochemistry ,1744-4160,Hybrid,Yes,,Medical,Taylor & Francis,2024-2026
Archives of Phytopathology & Plant Protection,1477-2906,Hybrid,Yes,,Science & Technology ,Taylor & Francis,2024-2026
Archives of Suicide Research,1543-6136,Hybrid,Yes,,Social Sciences & Humanities,Taylor & Francis,2024-2026
"Arctic, Antartic and Alpine Research",,Gold OA,,Discounted,Science & Technology,Taylor & Francis,2024-2026
Area Development and Policy,2379-2957,Hybrid,Yes,,Social Sciences & Humanities,Taylor & Francis,2024-2026
Argumentation and Advocacy,2576-8476,Hybrid,Yes,,Social Sciences & Humanities,Taylor & Francis,2024-2026
Arid Land Research and Management,1532-4990,Hybrid,Yes,,Science & Technology ,Taylor & Francis,2024-2026
Armed Conflict Survey,2374-0981,Hybrid,Yes,,Social Sciences & Humanities,Taylor & Francis,2024-2026
Arms & Armour,1749-6268,Hybrid,Yes,,Social Sciences & Humanities,Taylor & Francis,2024-2026
Art Education,2325-5161,Hybrid,Yes,,Social Sciences & Humanities,Taylor & Francis,2024-2026
Art in Translation ,1756-1310,Hybrid,Yes,,Social Sciences & Humanities,Taylor & Francis,2024-2026
Art Journal,2325-5307,Hybrid,Yes,,Social Sciences & Humanities,Taylor & Francis,2024-2026
Art Therapy,2159-9394,Hybrid,Yes,,Social Sciences & Humanities,Taylor & Francis,2024-2026
"Artificial Cells, Nanomedicine and Biotechnology ",,Gold OA,,Discounted,Medical,Taylor & Francis,2024-2026
"Arts & Health: An International Journal for Research, Policy and Practice",1753-3023,Hybrid,Yes,,Medical,Taylor & Francis,2024-2026
Arts Education Policy Review,1940-4395,Hybrid,Yes,,Social Sciences & Humanities,Taylor & Francis,2024-2026
Asia Pacific Business Review,1743-792X,Hybrid,Yes,,Social Sciences & Humanities,Taylor & Francis,2024-2026
Asia Pacific Journal of Counselling and Psychotherapy,2150-7708,Hybrid,Yes,,Social Sciences & Humanities,Taylor & Francis,2024-2026
Asia Pacific Journal of Education,1742-6855,Hybrid,Yes,,Social Sciences & Humanities,Taylor & Francis,2024-2026
Asia Pacific Journal of Public Administration,2327-6673,Hybrid,Yes,,Social Sciences & Humanities,Taylor & Francis,2024-2026
Asia Pacific Journal of Social Work and Development,2165-0993,Hybrid,Yes,,Social Sciences & Humanities,Taylor & Francis,2024-2026
Asia Pacific Journal of Tourism Research,1741-6507,Hybrid,Yes,,Social Sciences & Humanities,Taylor & Francis,2024-2026
Asia Pacific Law Review,1875-8444,Hybrid,Yes,,Social Sciences & Humanities,Taylor & Francis,2024-2026
Asia Pacific Review,1469-2937,Hybrid,Yes,,Social Sciences & Humanities,Taylor & Francis,2024-2026
Asia Pacific Translation and Intercultural Studies,2330-6351,Hybrid,Yes,,Social Sciences & Humanities,Taylor & Francis,2024-2026
Asian Affairs,1477-1500,Hybrid,Yes,,Social Sciences & Humanities,Taylor & Francis,2024-2026
Asian Affairs: An American Review,1940-1590,Hybrid,Yes,,Social Sciences & Humanities,Taylor & Francis,2024-2026
Asian Anthropology,2168-4227,Hybrid,Yes,,Social Sciences & Humanities,Taylor & Francis,2024-2026
Asian Englishes,2331-2548,Hybrid,Yes,,Social Sciences & Humanities,Taylor & Francis,2024-2026
Asian Ethnicity,1469-2953,Hybrid,Yes,,Social Sciences & Humanities,Taylor & Francis,2024-2026
Asian Geographer,2158-1762,Hybrid,Yes,,Social Sciences & Humanities,Taylor & Francis,2024-2026
Asian Journal of Communication,1742-0911,Hybrid,Yes,,Social Sciences & Humanities,Taylor & Francis,2024-2026
Asian Journal of Middle Eastern and Islamic Studies,2576-5957,Hybrid,Yes,,Social Sciences & Humanities,Taylor & Francis,2024-2026
Asian Journal of Political Science,1750-7812,Hybrid,Yes,,Social Sciences & Humanities,Taylor & Francis,2024-2026
Asian Journal of Sport History and Culture ,2769-0156,Hybrid,Yes,,Social Sciences & Humanities,Taylor & Francis,2024-2026
Asian Journal of Technology Innovation,2158-6721,Hybrid,Yes,,Social Sciences & Humanities,Taylor & Francis,2024-2026
Asian Journal of Women's Studies,2377-004X,Hybrid,Yes,,Social Sciences & Humanities,Taylor & Francis,2024-2026
Asian Philosophy,1469-2961,Hybrid,Yes,,Social Sciences & Humanities,Taylor & Francis,2024-2026
Asian Population Studies,1744-1749,Hybrid,Yes,,Social Sciences & Humanities,Taylor & Francis,2024-2026
Asian Security,1555-2764,Hybrid,Yes,,Social Sciences & Humanities,Taylor & Francis,2024-2026
Asian Studies Review,1467-8403,Hybrid,Yes,,Social Sciences & Humanities,Taylor & Francis,2024-2026
Asia-Pacific Journal of Accounting & Economics,2164-2257,Hybrid,Yes,,Social Sciences & Humanities,Taylor & Francis,2024-2026
Asia-Pacific Journal of Teacher Education,1469-2945,Hybrid,Yes,,Social Sciences & Humanities,Taylor & Francis,2024-2026
ASN Neuro,,Gold OA,,Discounted,,Taylor & Francis,2024-2026
Assessment & Evaluation in Higher Education,1469-297X,Hybrid,Yes,,Social Sciences & Humanities,Taylor & Francis,2024-2026
"Assessment in Education: Principles, Policy & Practice",1465-329X,Hybrid,Yes,,Social Sciences & Humanities,Taylor & Francis,2024-2026
Assistive Technology:  The Offical Journal of RESNA,1949-3614,Hybrid,Yes,,Science & Technology ,Taylor & Francis,2024-2026
Astropolitics,1557-2943,Hybrid,Yes,,Social Sciences & Humanities,Taylor & Francis,2024-2026
Atlantic Journal of Communication,1545-6889,Hybrid,Yes,,Social Sciences & Humanities,Taylor & Francis,2024-2026
Atlantic Studies: Global Currents,1740-4649,Hybrid,Yes,,Social Sciences & Humanities,Taylor & Francis,2024-2026
Atmosphere-Ocean,1480-9214,Hybrid,Yes,,Science & Technology ,Taylor & Francis,2024-2026
Attachment & Human Development,1469-2988,Hybrid,Yes,,Social Sciences & Humanities,Taylor & Francis,2024-2026
Auditory Perception & Cognition,2574-2450,Hybrid,Yes,,Social Sciences & Humanities,Taylor & Francis,2024-2026
Augmentative & Alternative Communication,1477-3848 ,Hybrid,Yes,,Medical,Taylor & Francis,2024-2026
Australasian Journal of Engineering Education,1325-4340,Hybrid,Yes,,Science & Technology ,Taylor & Francis,2024-2026
Australasian Journal of Environmental Management,2159-5356,Hybrid,Yes,,Science & Technology ,Taylor & Francis,2024-2026
Australasian Journal of Philosophy,1471-6828,Hybrid,Yes,,Social Sciences & Humanities,Taylor & Francis,2024-2026
Australasian Philosophical Review,2474-0519,Hybrid,Yes,,Social Sciences & Humanities,Taylor & Francis,2024-2026
Australian and New Zealand Journal of Art,2203-1871,Hybrid,Yes,,Social Sciences & Humanities,Taylor & Francis,2024-2026
Australian Archaeology,2470-0363,Hybrid,Yes,,Social Sciences & Humanities,Taylor & Francis,2024-2026
Australian Feminist Law Journal,2204-0064,Hybrid,Yes,,Social Sciences & Humanities,Taylor & Francis,2024-2026
Australian Feminist Studies,1465-3303,Hybrid,Yes,,Social Sciences & Humanities,Taylor & Francis,2024-2026
Australian Forestry,2325-6087,Hybrid,Yes,,Science & Technology ,Taylor & Francis,2024-2026
Australian Geographer,1465-3311,Hybrid,Yes,,Social Sciences & Humanities,Taylor & Francis,2024-2026
Australian Historical Studies,1940-5049,Hybrid,Yes,,Social Sciences & Humanities,Taylor & Francis,2024-2026
Australian Journal of Civil Engineering,2204-2245,Hybrid,Yes,,Science & Technology ,Taylor & Francis,2024-2026
Australian Journal of Earth Sciences,1440-0952,Hybrid,Yes,,Science & Technology ,Taylor & Francis,2024-2026
Australian Journal of Electrical and Electronics Engineering,2205-362X,Hybrid,Yes,,Science & Technology ,Taylor & Francis,2024-2026
Australian Journal of Forensic Sciences,1834-562X,Hybrid,Yes,,Science & Technology ,Taylor & Francis,2024-2026
Australian Journal of Human Rights,2573-573X,Hybrid,Yes,,Social Sciences & Humanities,Taylor & Francis,2024-2026
Australian Journal of International Affairs,1465-332X,Hybrid,Yes,,Social Sciences & Humanities,Taylor & Francis,2024-2026
Australian Journal of Learning Difficulties,1940-4166,Hybrid,Yes,,Social Sciences & Humanities,Taylor & Francis,2024-2026
Australian Journal of Linguistics,1469-2996,Hybrid,Yes,,Social Sciences & Humanities,Taylor & Francis,2024-2026
Australian Journal of Maritime & Ocean Affairs,2333-6498,Hybrid,Yes,,Social Sciences & Humanities,Taylor & Francis,2024-2026
Australian Journal of Mechanical Engineering,2204-2253,Hybrid,Yes,,Science & Technology ,Taylor & Francis,2024-2026
Australian Journal of Multi-disciplinary Engineering,2204-2180,Hybrid,Yes,,Science & Technology ,Taylor & Francis,2024-2026
Australian Journal of Political Science,1363-030X,Hybrid,Yes,,Social Sciences & Humanities,Taylor & Francis,2024-2026
Australian Journal of Psychology,1742-9536,Gold OA,,Discounted,Social Sciences & Humanities,Taylor & Francis,2024-2026
Australian Journal of Structural Engineering,2204-2261,Hybrid,Yes,,Science & Technology ,Taylor & Francis,2024-2026
Australian Journal of Water Resources,2204-227X,Hybrid,Yes,,Science & Technology ,Taylor & Francis,2024-2026
Australian Planner,2150-6841,Hybrid,Yes,,Social Sciences & Humanities,Taylor & Francis,2024-2026
Australian Psychologist,1742-9544,Hybrid,Yes,,Social Sciences & Humanities,Taylor & Francis,2024-2026
Australian Social Work,1447-0748,Hybrid,Yes,,Social Sciences & Humanities,Taylor & Francis,2024-2026
Autoimmunity,1607-842X ,Gold OA,,Discounted,Medical,Taylor & Francis,2024-2026
Automatika,1848-3380,Gold OA,,Discounted,Science & Technology,Taylor & Francis,2024-2026
Autophagy,1554-8635,Hybrid,Yes,,Science & Technology ,Taylor & Francis,2024-2026
Autophagy Reports,2769-4127,Gold OA,,Discounted,Medical,Taylor & Francis,2024-2026
Avian Pathology,1465-3338,Hybrid,Yes,,Science & Technology ,Taylor & Francis,2024-2026
Azania:Archaeological Research in Africa,1945-5534,Hybrid,Yes,,Social Sciences & Humanities,Taylor & Francis,2024-2026
Baltic Journal of Economics,2334-4385,Gold OA,,Discounted,Social Sciences & Humanities,Taylor & Francis,2024-2026
Baptist Quarterly,2056-7731,Hybrid,Yes,,Social Sciences & Humanities,Taylor & Francis,2024-2026
Basic and Applied Social Psychology,1532-4834,Hybrid,Yes,,Social Sciences & Humanities,Taylor & Francis,2024-2026
Baylor University Medical Central Proceedings,1525-3252,Hybrid,Yes,,Medical,Taylor & Francis,2024-2026
Bee World,2376-7618,Hybrid,Yes,,Science & Technology ,Taylor & Francis,2024-2026
Behavioral Medicine,1940-4026,Hybrid,Yes,,Medical,Taylor & Francis,2024-2026
Behavioral Sciences of Terrorism and Political Aggression,1943-4480,Hybrid,Yes,,Social Sciences & Humanities,Taylor & Francis,2024-2026
Behavioral Sleep Medicine,1540-2010,Hybrid,Yes,,Medical,Taylor & Francis,2024-2026
Behaviour & Information Technology,1362-3001,Hybrid,Yes,,Science & Technology ,Taylor & Francis,2024-2026
Big Earth Data,2574-5417,Gold OA,,Discounted,Science & Technology,Taylor & Francis,2024-2026
Bilingual Research Journal,1523-5890,Hybrid,Yes,,Social Sciences & Humanities,Taylor & Francis,2024-2026
Bioacoustics - The International Journal of Animal Sound and its Recording,2165-0586,Hybrid,Yes,,Science & Technology ,Taylor & Francis,2024-2026
Biocatalysis & Biotransformation,1029-2446,Hybrid,Yes,,Science & Technology ,Taylor & Francis,2024-2026
Biocontrol Science and Technology,1360-0478,Hybrid,Yes,,Science & Technology ,Taylor & Francis,2024-2026
Biodemography and Social Biology,1948-5573,Hybrid,Yes,,Social Sciences & Humanities,Taylor & Francis,2024-2026
Biodiversity,2160-0651,Hybrid,Yes,,Science & Technology ,Taylor & Francis,2024-2026
Bioengineered,2165-5987,Gold OA,,Discounted,Science & Technology,Taylor & Francis,2024-2026
Biofouling: The Journal of Bioadhesion and Biofilm Research,1029-2454,Hybrid,Yes,,Science & Technology ,Taylor & Francis,2024-2026
Biofuels,1759-7277,Hybrid,Yes,,Science & Technology ,Taylor & Francis,2024-2026
Biological Agriculture & Horticulture - An International Journal of Sustainable Production Systems,2165-0616,Hybrid,Yes,,Science & Technology ,Taylor & Francis,2024-2026
Biological Rhythm Research,1744-4179,Hybrid,Yes,,Science & Technology ,Taylor & Francis,2024-2026
Biomarkers,1366-5804 ,Hybrid,Yes,,Medical,Taylor & Francis,2024-2026
Bioremediation Journal,1547-6529,Hybrid,Yes,,Science & Technology ,Taylor & Francis,2024-2026
Biostatistics & Epidemiology,2470-9379,Hybrid,Yes,,Science & Technology ,Taylor & Francis,2024-2026
Biotechnic & Histochemistry, 1473-7760 ,Hybrid,Yes,,Science & Technology ,Taylor & Francis,2024-2026
BioTechniques,,Gold OA,,Discounted,Medical,Taylor & Francis,2024-2026
Biotechnology & Biotechnological Equipment,1314-3530,Gold OA,,Discounted,Science & Technology,Taylor & Francis,2024-2026
Biotechnology and Genetic Engineering Reviews,,Gold OA,,Discounted,Science & Technology,Taylor & Francis,2024-2026
Bird Study  ,1944-6705,Hybrid,Yes,,Science & Technology ,Taylor & Francis,2024-2026
Black Histories: Dialogues,2832-529X,Hybrid,Yes,,Social Sciences & Humanities,Taylor & Francis,2024-2026
Black Theology: An International Journal,1743-1670,Hybrid,Yes,,Social Sciences & Humanities,Taylor & Francis,2024-2026
Blood Pressure,1651-1999,Gold OA,,Discounted,Medical,Taylor & Francis,2024-2026
"Body,Movement & Dance in Psychotherapy",1743-2987,Hybrid,Yes,,Social Sciences & Humanities,Taylor & Francis,2024-2026
Botany Letters,2381-8115,Hybrid,Yes,,Science & Technology ,Taylor & Francis,2024-2026
