Journal title,ISSN,eISSN,Publisher details,Publisher details2,Country of Publication,Language,Web Address
Cell Research,1001-0602,1748-7838,Nature Portfolio,,"China, United Kingdom",English,https://www.nature.com/cr/
Cell Stem Cell,1934-5909,1875-9777,,Cell Press,United States,English,http://www.cell.com/cell-stem-cell/home
Clinical Chemistry,0009-9147,1530-8561,Oxford University Press,,United States,English,https://academic.oup.com/clinchem
Development,0950-1991,1477-9129,,,United Kingdom,,http://journals.ecs.soton.ac.uk/journals/dev.html
Developmental Cell,1534-5807,1878-1551,,,,,http://www.cell.com/cellpress
EMBO Journal,0261-4189,1460-2075,John Wiley & Sons,EMBO Press,Germany,English,https://www.embopress.org/journal/14602075
EMBO Molecular Medicine,1757-4676,1757-4684,,EMBO Press,United Kingdom,English,https://www.embopress.org/journal/17574684
EMBO Reports,1469-221X,1469-3178,John Wiley & Sons,EMBO Press,Germany,English,https://www.embopress.org/journal/14693178
European Journal of Immunology,0014-2980,1521-4141,,,Germany,,http://www.wiley-vch.de/publish/en/journals/alphabeticIndex/2040/
Frontiers in Microbiology,,1664-302X,Frontiers Media S.A.,,Switzerland,English,https://www.frontiersin.org/journals/microbiology
Genes & Development,0890-9369,1549-5477,,,United States,,http://www.google.com/search?hl=no&q=Genes+0890-9369&lr=
Genetics,0016-6731,1943-2631,,HighWire Press,United States,,http://www.genetics.org/
Genome Research,1088-9051,1549-5469,Cold Spring Harbor Laboratory Press (CSHL),,United States,,http://www.genome.org/
Human Molecular Genetics,0964-6906,1460-2083,Oxford University Press,,United Kingdom,,https://academic.oup.com/hmg
Human Mutation,1059-7794,1098-1004,John Wiley & Sons,Hindawi,United States,English,https://www.hindawi.com/journals/humu/
Immunity,1074-7613,1097-4180,,Cell Press,United States,,http://www.elsevier.com/wps/find/journaldescription.cws_home/621182/description#description
Journal of Allergy and Clinical Immunology,0091-6749,1097-6825,,"American Academy of Allergy, Asthma and Immunology",United States,,http://www.sciencedirect.com/science/journal/00916749
Journal of Autoimmunity,0896-8411,1095-9157,Academic Press,,United States,,http://www.sciencedirect.com/science/journal/08968411
Journal of Cell Biology,0021-9525,1540-8140,Rockefeller University Press,,United States,English,https://rupress.org/jcb
Journal of Cell Science,0021-9533,1477-9137,,,United Kingdom,,http://jcs.biologists.org/
Journal of Clinical Investigation,0021-9738,1558-8238,Stanford University Press,,United States,,http://www.jci.org/
Journal of Experimental Medicine (JEM),0022-1007,1540-9538,Rockefeller University Press,,United States,English,http://www.jem.org/
Journal of Immunology,0022-1767,1550-6606,,,United States,,http://www.jimmunol.org/
Journal of Medical Genetics,0022-2593,1468-6244,,BMJ Publishing Group.,United Kingdom,English,http://jmg.bmj.com/
Journal of Molecular and Cellular Cardiology,0022-2828,1095-8584,Academic Press,,United Kingdom,,http://www.sciencedirect.com/science/journal/00222828
Journal of Pathology,0022-3417,1096-9896,,Longman,United Kingdom,,http://www.interscience.wiley.com/jpages/0022-3417/
Journal of Physiology,0022-3751,1469-7793,John Wiley & Sons,The Physiological Society,United Kingdom,English,https://physoc.onlinelibrary.wiley.com/journal/14697793
Journal of Proteome Research,1535-3893,1535-3907,,ACS Publications,United States,,http://pubs.acs.org/journals/jprobs/
Journal of Translational Medicine,,1479-5876,BioMed Central (BMC),,United Kingdom,English,https://translational-medicine.biomedcentral.com/
Journal of Virology,0022-538X,1098-5514,,American Society for Microbiology,United States,,http://jvi.asm.org/
Modern Pathology,0893-3952,1530-0285,,Williams & Wilkins Co.,United States,,http://modpath.uscapjournals.org/
Molecular & Cellular Proteomics,1535-9476,1535-9484,American Society for Biochemistry and Molecular Biology,,,,http://www.mcponline.org/
Molecular and Cellular Biology,0270-7306,1098-5549,,,United States,,http://mcb.asm.org/
Molecular Cell,1097-2765,1097-4164,,,United States,,http://www.molecule.org/
Molecular Microbiology,0950-382X,1365-2958,,Blackwell Science Ltd.,United States,,http://www.blackwellpublishing.com/journal.asp?ref=0950-382X&site=1
Mucosal Immunology,1933-0219,1935-3456,Nature Portfolio,,United States,English,http://www.nature.com/mi/index.html
Nature Biotechnology,1087-0156,1546-1696,,Nature Portfolio,United States,,http://www.nature.com/nbt/
Nature Cell Biology,1465-7392,1476-4679,,Nature Portfolio,United Kingdom,English,https://www.nature.com/ncb/
Nature Genetics,1061-4036,1546-1718,,Nature Portfolio,United States,,http://www.nature.com/ng/
Nature Immunology,1529-2908,1529-2916,,Nature Portfolio,United States,,http://www.nature.com/ni/
Nucleic Acids Research (NAR),0305-1048,1362-4962,Oxford University Press,,United Kingdom,English,https://academic.oup.com/nar
Oncogene,0950-9232,1476-5594,Macmillan Publishers Ltd.,,United Kingdom,,http://www.naturesj.com/onc/index.html
PLoS Genetics,1553-7390,1553-7404,,Public Library of Science (PLoS),United States,English,http://www.plosgenetics.org
PLoS Pathogens,1553-7366,1553-7374,,Public Library of Science (PLoS),United States,English,https://journals.plos.org/plospathogens/
Science immunology,,2470-9468,,American Association for the Advancement of Science,United States,English,http://immunology.sciencemag.org
Science Signaling,1945-0877,1937-9145,,American Association for the Advancement of Scienc,United States,English,http://stke.sciencemag.org/about/
Science Translational Medicine,1946-6234,1946-6242,,American Association for the Advancement of Scienc,United States,English,http://stm.sciencemag.org/site/misc/about.xhtml
Stem Cells,1066-5099,1549-4918,,,United States,,http://stemcells.alphamedpress.org/
The FEBS Journal,1742-464X,1742-4658,John Wiley & Sons,,United Kingdom,English,https://febs.onlinelibrary.wiley.com/journal/17424658
The Journal of General Physiology,0022-1295,1540-7748,,,United States,,http://www.jgp.org/
American Journal of Respiratory and Critical Care Medicine,1073-449X,1535-4970,,HighWire Press,United States,,http://ajrccm.atsjournals.org/
Cardiovascular Research (CVR),0008-6363,1755-3245,Oxford University Press,,United Kingdom,English,https://academic.oup.com/cardiovascres
Chest,0012-3692,1931-3543,,,United States,,http://www.chestjournal.org/
Circulation,0009-7322,1524-4539,,Lippincott Williams & Wilkins,United States,,http://circ.ahajournals.org/
Circulation Research,0009-7330,1524-4571,,American Heart Association,United States,,http://circres.ahajournals.org/
Europace,1099-5129,1532-2092,,,United Kingdom,,http://www.oxfordjournals.org/
European Heart Journal,0195-668X,1522-9645,Oxford University Press,,United Kingdom,English,https://academic.oup.com/eurheartj
European Heart Journal (EHJ) - Cardiovascular Pharmacotherapy,2055-6837,2055-6845,Oxford University Press,,United Kingdom,English,https://academic.oup.com/ehjcvp
European Heart Journal-Cardiovascular Imaging,2047-2404,2047-2412,Oxford University Press,,United Kingdom,English,http://www.oxfordjournals.org/our_journals/ehjcimaging/about.html
European Journal of Heart Failure,1388-9842,1879-0844,John Wiley & Sons,European Society of Cardiology,Netherlands,English,https://onlinelibrary.wiley.com/journal/18790844
European Journal of Preventive Cardiology (EJPC),2047-4873,2047-4881,Oxford University Press,,United Kingdom,English,https://academic.oup.com/eurjpc
European Respiratory Journal,0903-1936,1399-3003,,European Respiratory Society,Denmark,,http://maney.co.uk/index.php/journals/erj/
Hypertension,0194-911X,1524-4563,,American Heart Association,United States,,http://hyper.ahajournals.org/
JACC Cardiovascular Imaging,1936-878X,1876-7591,Elsevier,,United States,English,https://www.sciencedirect.com/journal/jacc-cardiovascular-imaging
JACC: Cardiovascular Interventions,1936-8798,1876-7605,Elsevier,,United States,English,https://www.sciencedirect.com/journal/jacc-cardiovascular-interventions
Journal of the American College of Cardiology,0735-1097,1558-3597,Elsevier,American College of Cardiology,United States,English,https://www.sciencedirect.com/journal/journal-of-the-american-college-of-cardiology
Journal of Thoracic and Cardiovascular Surgery,0022-5223,1097-685X,,Mosby,United States,,http://jtcs.ctsnetjournals.org/
Respiratory Research,1465-9921,1465-993X,BioMed Central (BMC),,,,http://respiratory-research.com/
Stroke,0039-2499,1524-4628,,,United States,,http://stroke.ahajournals.org/
The Journal of Heart and Lung Transplantation,1053-2498,1557-3117,Elsevier,,Netherlands,,http://www.elsevier.com/wps/product/cws_home/601538
The Lancet Respiratory Medicine,2213-2600,2213-2619,Elsevier,,Netherlands,English,https://www.thelancet.com/journals/lanres/home
Thorax,0040-6376,1468-3296,,,United Kingdom,,http://thorax.bmjjournals.com/
Archives of Oral Biology,0003-9969,1879-1506,Elsevier,,Netherlands,,http://www.sciencedirect.com/science/journal/00039969
BMC Oral Health,,1472-6831,BioMed Central (BMC),,United Kingdom,,http://www.biomedcentral.com/bmcoralhealth/
Caries Research,0008-6568,1421-976X,S. Karger,,Switzerland,English,https://karger.com/cre
Clinical Oral Implants Research,0905-7161,1600-0501,John Wiley & Sons,,"Denmark, United Kingdom",English,https://onlinelibrary.wiley.com/journal/16000501
Clinical Oral Investigations,1432-6981,1436-3771,Springer,,Germany,English,https://www.springer.com/journal/784
Community Dentistry and Oral Epidemiology,0301-5661,1600-0528,Munksgaard Forlag,,Denmark,,http://www.wiley.com/bw/journal.asp?ref=0301-5661&site=1
International Endodontic Journal,0143-2885,1365-2591,John Wiley & Sons,,United Kingdom,English,https://onlinelibrary.wiley.com/journal/13652591
International Journal of Oral Science,1674-2818,,,Sichuan University Press,,English,http://www.nature.com/ijos/
Journal of Clinical Periodontology,0303-6979,1600-051X,John Wiley & Sons,,"Denmark, United Kingdom",English,https://onlinelibrary.wiley.com/journal/1600051x
Journal of Dental Research,0022-0345,1544-0591,,,United States,,http://www.sagepub.com/journalsProdDesc.nav?prodId=Journal201925
Journal of Dentistry,0300-5712,1879-176X,,,Netherlands,,http://www.sciencedirect.com/science/journal/03005712
Journal of Oral Pathology & Medicine,0904-2512,1600-0714,John Wiley & Sons,,"Denmark, United Kingdom",English,https://onlinelibrary.wiley.com/journal/16000714
Journal of Oral Rehabilitation,0305-182X,1365-2842,John Wiley & Sons,,United Kingdom,English,https://onlinelibrary.wiley.com/journal/13652842
British Journal of Dermatology,0007-0963,1365-2133,,Blackwell Science Ltd.,United Kingdom,,http://www.blackwell-science.com/~cgilib/jnlpage.bin?Journal=BJD&File=BJD&Page=aims
JAMA dermatology,2168-6068,2168-6084,,American Medical Association,United States,English,http://archderm.jamanetwork.com/journal.aspx
Journal of American Academy of Dermatology,0190-9622,1097-6787,,Mosby,United States,,http://www.sciencedirect.com/science/journal/01909622
Journal of Investigative Dermatology,0022-202X,1523-1747,Elsevier,,United States,,http://www.jidonline.org/
Diabetes,0012-1797,1939-327X,,,United States,,http://diabetes.diabetesjournals.org/
Diabetes Care,0149-5992,1935-5548,,American Diabetes Association,United States,English,http://care.diabetesjournals.org/
Diabetologia,0012-186X,1432-0428,Springer,,Germany,,http://link.springer.de/link/service/journals/00125/
Endocrinology,0013-7227,1945-7170,Oxford University Press,,United States,English,https://academic.oup.com/endo
European Journal of Endocrinology (EJE),0804-4643,1479-683X,Bioscientifica,,United Kingdom,English,http://www.eje-online.org/
International Journal of Obesity,0307-0565,1476-5497,,,United Kingdom,,http://www.naturesj.com/ijo/index.html
Journal of Bone and Mineral Research,0884-0431,1523-4681,John Wiley & Sons,American Society for Bone and Mineral Research,United States,English,https://asbmr.onlinelibrary.wiley.com/journal/15234681
Journal of Clinical Endocrinology and Metabolism (JCEM),0021-972X,1945-7197,Oxford University Press,,United States,English,https://academic.oup.com/jcem
The Lancet Diabetes and Endocrinology,2213-8587,2213-8595,Elsevier,,Netherlands,English,http://www.journals.elsevier.com/the-lancet-diabetes-and-endocrinology/
Alimentary Pharmacology and Therapeutics,0269-2813,1365-2036,John Wiley & Sons,,United Kingdom,English,https://onlinelibrary.wiley.com/journal/13652036
American Journal of Gastroenterology,0002-9270,1572-0241,Blackwell Publishing,,United States,,http://www.blackwellpublishing.com/journal.asp?ref=0002-9270
Cellular and Molecular Gastroenterology and Hepatology (CMGH),,2352-345X,Elsevier,,Netherlands,English,https://www.journals.elsevier.com/cellular-and-molecular-gastroenterology-and-hepatology/
Clinical Gastroenterology and Hepatology,1542-3565,1542-7714,Elsevier,,United States,,http://www.us.elsevierhealth.com/product.jsp?isbn=15423565
Endoscopy,0013-726X,1438-8812,,,Germany,,http://www.thieme.de/endoscopy/
Gastroenterology,0016-5085,1528-0012,,American Gastroenterology Association Institute,United States,English,https://www.gastrojournal.org/
Gut,0017-5749,1468-3288,,BMJ Publishing Group,United States,,http://gut.bmjjournals.com/
Hepatology,0270-9139,1527-3350,,Wiley-Interscience Publishers,United States,,http://www3.interscience.wiley.com/cgi-bin/jhome/106570044?CRETRY=1&SRETRY=0
Journal of Crohn's and Colitis,1873-9946,1876-4479,Oxford University Press,,United Kingdom,English,https://academic.oup.com/ecco-jcc
Journal of Hepatology,0168-8278,1600-0641,Elsevier,,Denmark,,http://www.sciencedirect.com/science/journal/01688278
The Lancet Gastroenterology and Hepatology,2468-1253,2468-1156,Elsevier,,United Kingdom,English,https://www.thelancet.com/journals/langas/home
American Journal of Medicine,0002-9343,1555-7162,Elsevier,,United States,,http://www.elsevier.com/wps/find/journaldescription.cws_home/525049/description#description
Annals of Internal Medicine,0003-4819,1539-3704,,American College of Physicians,United States,,http://www.annals.org/
BMC Medicine,,1741-7015,BioMed Central (BMC),,United Kingdom,,http://www.biomedcentral.com/bmcmed/
Cochrane Database of Systematic Reviews,,1469-493X,John Wiley & Sons,,United States,English,http://www.cochranelibrary.com/cochrane-database-of-systematic-reviews/index.html
JAMA cardiology,2380-6583,2380-6591,,The Jama Network,,English,http://jamanetwork.com/journals/jamacardiology
JAMA Internal Medicine,2168-6106,2168-6114,,American Medical Association,United States,English,http://archinte.jamanetwork.com/journal.aspx
Journal of Internal Medicine,0954-6820,1365-2796,,Blackwell Science Ltd.,United Kingdom,,http://www.blackwell-science.com/~cgilib/jnlpage.bin?Journal=JINT&File=JINT&Page=aims
Journal of the American Medical Association (JAMA),0098-7484,1538-3598,,,United States,,http://jama.ama-assn.org/
Mayo Clinic proceedings,0025-6196,1942-5546,,,,,http://www.elsevier.com/
Nature Medicine,1078-8956,1546-170X,,Nature Portfolio,United Kingdom,,http://www.nature.com/nm/
New England Journal of Medicine,0028-4793,1533-4406,,,United States,,http://content.nejm.org/
PLoS Medicine,1549-1277,1549-1676,,Public Library of Science (PLoS) ,United States,,http://medicine.plosjournals.org/perlserv/?request=get-static&name=information
The BMJ,,1756-1833,,BMJ Pub. Group,United Kingdom,English,http://www.bmj.com
The Lancet,0140-6736,1474-547X,Elsevier,,Netherlands,English,https://www.thelancet.com/journals/lancet/home
Age and Ageing,0002-0729,1468-2834,Oxford University Press,,United Kingdom,,http://ageing.oxfordjournals.org/
Ageing & Society,0144-686X,1469-1779,Cambridge University Press,,United Kingdom,English,http://journals.cambridge.org/action/displayJournal?jid=ASO
Ageing Research Reviews,1568-1637,1872-9649,Elsevier,,United States,,http://www.sciencedirect.com/science/journal/15681637
"Alzheimer's and Dementia: Diagnosis, Assessment and Disease Monitoring",,2352-8729,John Wiley & Sons,Alzheimer’s Association,United States,English,https://alz-journals.onlinelibrary.wiley.com/journal/23528729
Journal of The American Geriatrics Society,0002-8614,1532-5415,Blackwell Publishing,,United Kingdom,,http://www.blackwellpublishing.com/aims.asp?ref=0002-8614&site=1
Nature Aging,,2662-8465,,Nature Portfolio,United Kingdom,English,https://www.nature.com/nataging
The gerontologist,0016-9013,1758-5341,,,,,http://www.oxfordjournals.org/
"The journals of gerontology. Series A, Biological sciences and medical sciences",1079-5006,1758-535X,Oxford University Press,,United States,English,http://biomedgerontology.oxfordjournals.org/
The Lancet Healthy Longevity,,2666-7568,Elsevier,The Lancet Publishing Group,United Kingdom,English,https://www.thelancet.com/journals/lanhl/home
American Journal of Obstetrics and Gynecology,0002-9378,1097-6868,Elsevier,,United States,English,https://www.sciencedirect.com/journal/american-journal-of-obstetrics-and-gynecology
BJOG: An International Journal of Obstetrics and Gynaecology,1470-0328,1471-0528,John Wiley & Sons,,United Kingdom,English,https://obgyn.onlinelibrary.wiley.com/journal/14710528
Fertility and Sterility,0015-0282,1556-5653,Elsevier,,Netherlands,,http://www.fertstert.org
Gynecologic Oncology,0090-8258,1095-6859,Academic Press,,United States,,http://www.sciencedirect.com/science/journal/00908258
Human Reproduction,0268-1161,1460-2350,Oxford University Press,,United Kingdom,,http://humrep.oupjournals.org/
International Journal of Gynecological Cancer,1048-891X,1525-1438,Lippincott Williams & Wilkins,,United States,,http://www.ijgc.net/
Obstetrics and Gynecology,0029-7844,1873-233X,Wolters Kluwer,American College of Obstetricians and Gynecologists (ACOG),"Netherlands, United States",English,https://journals.lww.com/greenjournal/pages/default.aspx
Placenta,0143-4004,1532-3102,Elsevier,,,,http://www.sciencedirect.com/science/journal/01434004
Ultrasound in Obstetrics and Gynecology,0960-7692,1469-0705,,International Society of Ultrasound in Obstetrics ,United Kingdom,,http://www.isuog.org/Journal/
Blood,0006-4971,1528-0020,,American Society of Hematology,United States,,http://www.bloodjournal.org/misc/about.shtml
Haematologica,0390-6078,1592-8721,Ferrata Storti Foundation,,Italy,Multiple languages,http://www.haematologica.org/
Leukemia,0887-6924,1476-5551,Springer,,United States,English,http://www.nature.com/leu/index.html
The Lancet Haematology,2352-3026,,,The Lancet Publishing Group,United Kingdom,English,http://www.thelancet.com/journals/lanhae/issue/current
Clinical Infectious Diseases,1058-4838,1537-6591,,University of Chicago Press,United States,,http://www.journals.uchicago.edu/CID/home.html
Clinical Microbiology and Infection (CMI),1198-743X,1469-0691,,European Society of Clinical Microbiology and Infectious Diseases (ESCMID),United Kingdom,English,https://www.clinicalmicrobiologyandinfection.com/
Emerging Infectious Diseases,1080-6040,1080-6059,,,United States,,http://wwwnc.cdc.gov/eid/
International Journal of Hygiene and Environmental Health,1438-4639,1618-131X,Urban & Fischer,,Germany,,http://www.sciencedirect.com/science/journal/14384639
Journal of Clinical Microbiology,0095-1137,1098-660X,,American Society for Microbiology,United States,,http://jcm.asm.org/
Journal of Infection,0163-4453,1532-2742,,W. B. Saunders Company,United Kingdom,,http://www.sciencedirect.com/science/journal/01634453
Journal of Infectious Diseases,0022-1899,1537-6613,,,United States,,https://academic.oup.com/jid
The Lancet HIV,2405-4704,2352-3018,,The Lancet Publishing Group,United Kingdom,English,http://www.thelancet.com/journals/lanhiv/issue/current
The Lancet Infectious Diseases,1473-3099,1474-4457,Elsevier,,"United Kingdom, Netherlands",English,https://www.thelancet.com/journals/laninf/home
American Journal of Kidney Diseases,0272-6386,1523-6838,,W. B. Saunders Company,United States,,http://www.ajkd.org/
American Society of Nephrology. Clinical Journal,1555-9041,1555-905X,,American Society of Nephrology,United States,English,http://www.cjasn.org
Journal of the American Society of Nephrology,1046-6673,1533-3450,,,United States,,http://www.jasn.org/
Kidney International,0085-2538,1523-1755,Blackwell Publishing,,United Kingdom,,http://www.blackwellpublishing.com/aims.asp?ref=0085-2538&site=1
Acta Neuropathologica,0001-6322,1432-0533,Springer,,Germany,Multiple languages,https://www.springer.com/journal/401
Annals of Neurology,0364-5134,1531-8249,John Wiley & Sons,,United States,,http://onlinelibrary.wiley.com/journal/10.1002/%28ISSN%291531-8249
Brain,0006-8950,1460-2156,Oxford University Press,,United Kingdom,,https://academic.oup.com/brain
Cerebral Cortex,1047-3211,1460-2199,Oxford University Press,,"United Kingdom, United States",English,https://academic.oup.com/cercor
Clinical Neurophysiology,1388-2457,1872-8952,Elsevier,,Netherlands,,http://www.sciencedirect.com/science/journal/13882457
Cortex,0010-9452,1973-8102,Elsevier,,Italy,English,http://www.sciencedirect.com/science/journal/00109452
European Journal of Neurology,1351-5101,1468-1331,Blackwell Publishing,,United Kingdom,,http://www.blackwell-synergy.com/issuelist.asp?journal=ene
Frontiers in Neuroendocrinology (FIN),0091-3022,1095-6808,Elsevier,,United States,English,http://www.sciencedirect.com/science/journal/00913022
Glia,0894-1491,1098-1136,John Wiley & Sons,,United States,English,https://onlinelibrary.wiley.com/journal/10981136
Human Brain Mapping,1065-9471,1097-0193,John Wiley & Sons,,United States,English,https://onlinelibrary.wiley.com/journal/10970193?tabActivePane=
JAMA Neurology,2168-6149,2168-6157,,American Medical Association,United States,English,http://archneur.jamanetwork.com/journal.aspx
Journal of Cerebral Blood Flow and Metabolism,0271-678X,1559-7016,,,United States,,http://www.jcbfm.com/
Journal of Cognitive Neuroscience,0898-929X,1530-8898,MIT Press,,United States,English,http://www.mitpressjournals.org/loi/jocn
Journal of Neurochemistry,0022-3042,1471-4159,,Raven Press,United States,,http://www.jneurochem.org/
Journal of Neurology,0340-5354,1432-1459,Springer,,Germany,Multiple languages,https://www.springer.com/journal/415
"Journal of Neurology, Neurosurgery and Psychiatry",0022-3050,1468-330X,,BMJ Publishing Group,United Kingdom,English,http://jnnp.bmjjournals.com/
Journal of Neuropathology and Experimental Neurology,0022-3069,1554-6578,Oxford University Press,American Association of Neuropathologists.,United States,English,https://academic.oup.com/jnen
Journal of Neuroscience,0270-6474,1529-2401,,,United States,,http://www.jneurosci.org/misc/about.shtml
Lancet Neurology,1474-4422,1474-4465,,,,,http://www.thelancet.com/
Nature Neuroscience,1097-6256,1546-1726,,Nature Portfolio,United States,English,http://www.nature.com/neuro
NeuroImage,1053-8119,1095-9572,Academic Press,,United States,,http://www.sciencedirect.com/science/journal/10538119
Neurology,0028-3878,1526-632X,Wolters Kluwer,American Academy of Neurology,United States,English,http://www.neurology.org/
Neuron,0896-6273,1097-4199,,,United States,,http://www.neuron.org/
Neurosurgery,0148-396X,1524-4040,Wolters Kluwer,,United States,English,https://journals.lww.com/neurosurgery/pages/default.aspx
Pain,0304-3959,1872-6623,Wolters Kluwer,International Association for the Study of Pain,Netherlands,English,https://journals.lww.com/pain/pages/default.aspx
Psychoneuroendocrinology,0306-4530,1873-3360,Pergamon Press,,United Kingdom,,http://www.sciencedirect.com/science/journal/03064530
Sleep,0161-8105,1550-9109,Oxford University Press,Associated Professional Sleep Societies,United States,English,https://academic.oup.com/sleep
Advances in Nursing Science,0161-9268,1550-5014,,,,,http://www.ovid.com/site/catalog/Journal/576.jsp?top=2&mid=3&bottom=7&subsection=12
Cancer Nursing,0162-220X,1538-9804,Lippincott Williams & Wilkins,,United States,,http://journals.lww.com/cancernursingonline/pages/default.aspx
Health Care for Women International,0739-9332,1096-4665,Taylor & Francis,,United Kingdom,English,https://www.tandfonline.com/toc/uhcw20/current
International Journal of Nursing Studies,0020-7489,1873-491X,Elsevier,,United Kingdom,English,http://www.sciencedirect.com/science/journal/00207489
Journal of Advanced Nursing,0309-2402,1365-2648,John Wiley & Sons,,United Kingdom,English,https://onlinelibrary.wiley.com/journal/13652648
Journal of Clinical Nursing (JCN),0962-1067,1365-2702,John Wiley & Sons,,United Kingdom,English,https://onlinelibrary.wiley.com/journal/13652702
Nurse Education Today,0260-6917,1532-2793,Elsevier,,Netherlands,,http://www.sciencedirect.com/science/journal/02606917
Nursing Ethics,0969-7330,1477-0989,Hodder Education,,United Kingdom,,http://nej.sagepub.com/
Research in Nursing and Health,0160-6891,1098-240X,John Wiley & Sons,,United States,English,https://onlinelibrary.wiley.com/journal/1098240x
American Journal of Clinical Nutrition,0002-9165,1938-3207,Oxford University Press,American Society for Nutrition,United States,English,https://academic.oup.com/ajcn
British Journal of Nutrition,0007-1145,1475-2662,Cambridge University Press,,United Kingdom,,http://journals.cambridge.org/action/displayJournal?jid=BJN
Clinical Nutrition,0261-5614,1532-1983,,Churchill Livingstone,United Kingdom,,http://www.sciencedirect.com/science/journal/02615614
Journal of Nutrition,0022-3166,1541-6100,,American Society for Nutrition,United States,,http://jn.nutrition.org/
Annals of Oncology,0923-7534,1569-8041,,Kluwer Academic/Plenum Publishers,Netherlands,,http://www.esmo.org/annals/annals.htm
Breast Cancer Research,1465-5411,1465-542X,BioMed Central (BMC),,United Kingdom,,http://breast-cancer-research.com/
British Journal of Cancer,0007-0920,1532-1827,Nature Portfolio,,United Kingdom,,http://www.nature.com/bjc/index.html
CA: A Cancer Journal for Clinicians,0007-9235,1542-4863,,American Cancer Society,United States,English,https://acsjournals.onlinelibrary.wiley.com/journal/15424863
Cancer,0008-543X,1097-0142,John Wiley & Sons,,United States,English,https://acsjournals.onlinelibrary.wiley.com/journal/10970142
Cancer Cell,1535-6108,1878-3686,,Cell Press,United States,,http://www.cancercell.org/
Cancer Communications,,2523-3548,John Wiley & Sons,Sun Yat-sen University Cancer Center,United States,English,https://onlinelibrary.wiley.com/journal/25233548
Cancer Discovery,2159-8274,2159-8290,,American Association for Cancer Research,United States,English,http://cancerdiscovery.aacrjournals.org/
"Cancer Epidemiology, Biomarkers and Prevention",1055-9965,1538-7755,,,United States,,http://cebp.aacrjournals.org/
Cancer immunology research,2326-6066,2326-6074,,American Association for Cancer Research,United States,English,http://cancerimmunolres.aacrjournals.org
Cancer Letters,0304-3835,1872-7980,Elsevier,,Ireland,,http://www.sciencedirect.com/science/journal/03043835
Cancer Research,0008-5472,1538-7445,,American Association for Cancer Research,United States,,http://cancerres.aacrjournals.org/
Clinical Cancer Research,1078-0432,1557-3265,,,United States,,http://clincancerres.aacrjournals.org/
Endocrine-Related Cancer,1351-0088,1479-6821,,,Ireland,,http://journals.endocrinology.org/ERC/erc.htm
European Journal of Cancer,0959-8049,1879-0852,Elsevier,,Netherlands,,http://www.sciencedirect.com/science/journal/09598049
European Urology Oncology (EUO),,2588-9311,European Association of Urology,,Netherlands,English,http://www.sciencedirect.com/science/journal/25889311
Gastric Cancer,1436-3291,1436-3305,Springer,,Japan,,http://www.springerlink.com/content/103366/
