Journal Title,issn,Open Access Status,Included in the Agreement ,Subject,Publisher,Agreement Duration
Recent Innovations in Chemical Engineering,2405-5212,Hybrid,,Engineering,Bentham,2024-2026
"Applied Drug Research, Clinical Trials and Regulatory Affairs",2667-338X,Hybrid,,Pharmaceutical science,Bentham,2024-2026
Current Artificial Intelligence,2950-3760,Hybrid,,Artificial Intelligence,Bentham,2024-2026
Adolescent Psychiatry,2210-6774 ,Hybrid,,Neuroscience/ Psychiatry,Bentham,2024-2026
Clinical Cancer Drugs, 2212-6988,Hybrid,,Pharmaceutical science,Bentham,2024-2026
Combinatorial Chemistry & High Throughput Screening,1875-5402,Hybrid,,Applied Chemistry,Bentham,2024-2026
Coronaviruses,2666-7975,Hybrid,,Virology,Bentham,2024-2026
Current Aging Science,1874-6128,Hybrid,,Molecular Medicine,Bentham,2024-2026
Current Alternative Energy,2405-464X,Hybrid,,Energy Science and technology,Bentham,2024-2026
Current Alzheimer Research,1875-5828,Hybrid,,Neuroscience,Bentham,2024-2026
Current Analytical Chemistry,1875-6727,Hybrid,,Analytical Chemistry,Bentham,2024-2026
Current Applied Polymer Science,2452-2724,Hybrid,,Polymer Science,Bentham,2024-2026
Current Bioactive Compounds,1875-6646,Hybrid,,Organic Chemistry,Bentham,2024-2026
Current Bioinformatics,2212-392X ,Hybrid,,Bioinformatics,Bentham,2024-2026
Current Biotechnology,2211-551X,Hybrid,,Biotechnology,Bentham,2024-2026
Current Cancer Drug Targets,1873-5576,Hybrid,,Cancer Research,Bentham,2024-2026
Current Cancer Therapy Reviews,1875-6301,Hybrid,,Cancer Research,Bentham,2024-2026
Current Cardiology Reviews,1875-6557 ,Hybrid,,Cardiology  & Cardiovascular Science,Bentham,2024-2026
Current Catalysis,2211-5455 ,Hybrid,,Catalysis,Bentham,2024-2026
Current Chemical Biology,1872-3136 ,Hybrid,,Biochemistry,Bentham,2024-2026
Current Computer-Aided Drug Design,1875-6697,Hybrid,,Drug Design & Discovery,Bentham,2024-2026
Current Cosmetic Science,2666-7800,Hybrid,,Cosmetics Science,Bentham,2024-2026
Current Dentistry,2542-5803,Hybrid,,Medicine/Dentistry,Bentham,2024-2026
Current Diabetes Reviews,1875-6417,Hybrid,,Endocrinology,Bentham,2024-2026
Current Drug Delivery,1875-5704,Hybrid,,Pharmaceutical science,Bentham,2024-2026
Current Drug Discovery Technologies,1875-6220,Hybrid,,Drug Design & Discovery,Bentham,2024-2026
Current Drug Metabolism,1875-5453,Hybrid,,Pharmacy & pharmacology,Bentham,2024-2026
Current Drug Safety,2212-3911,Hybrid,,Drug TherapyPharmacy/Pharmaceutical science,Bentham,2024-2026
Current Drug Targets,1873-5592,Hybrid,,Pharmacy & pharmacology,Bentham,2024-2026
Current Drug Therapy, 2212-3903,Hybrid,,Drug Therapy/pharmacy/pharmaceutical science,Bentham,2024-2026
Current Enzyme Inhibition,1875-6662,Hybrid,,Medicinal chemistry/Drug discovery,Bentham,2024-2026
Current Forensic Science,2666-4852,Hybrid,,Forensic Science,Bentham,2024-2026
Current Functional Foods,2666-8637,Hybrid,,Food Science,Bentham,2024-2026
Current Gene Therapy,1875-5631,Hybrid,,Molecular Medicinal Science,Bentham,2024-2026
Current Genomics,1875-5488,Hybrid,,Molecular Medicinal Science,Bentham,2024-2026
Current Green Chemistry,2213-347X,Hybrid,,Green Chemistry,Bentham,2024-2026
Current HIV Research,1873-4251,Hybrid,,Anti_infective / Infectious Diseases,Bentham,2024-2026
Current Hypertension Reviews,1875-6506 ,Hybrid,,Cardiology  & Cardiovascular Science,Bentham,2024-2026
Current Mechanics and Advanced Materials,2666-1853,Hybrid,,Materials Science,Bentham,2024-2026
Current Medicinal Chemistry,1875-533X,Hybrid,,Medicinal chemistry,Bentham,2024-2026
Current Microwave Chemistry, 2213-3364,Hybrid,,Microwave Chemistry,Bentham,2024-2026
Current Molecular Medicine,1875-5666 ,Hybrid,,Molecular Medicinal Science,Bentham,2024-2026
Current Nanomaterials,2405-4623,Hybrid,,Nanoscience,Bentham,2024-2026
Current Nanoscience,1875-6786,Hybrid,,Nanoscience,Bentham,2024-2026
Current Neuropharmacology,1875-6190,Hybrid,,Pharmacology,Bentham,2024-2026
Current Neurovascular Research,1875-5739 ,Hybrid,,Cardiovascular medicine Science,Bentham,2024-2026
Current Nutraceuticals,2665-9794,Hybrid,,Food Science and Nutrition,Bentham,2024-2026
Current Nutrition & Food Science,2212-3881,Hybrid,,Food Science,Bentham,2024-2026
Current Organic Chemistry,1875-5348,Hybrid,,Organic Chemistry,Bentham,2024-2026
Current Organic Synthesis,1875-6271,Hybrid,,Organic Chemistry,Bentham,2024-2026
Current Organocatalysis,2213-3380,Hybrid,,Organic Chemistry,Bentham,2024-2026
Current Pediatric Reviews,1875-6336,Hybrid,,Pediatrics,Bentham,2024-2026
Current Pharmaceutical Biotechnology,1873-4316,Hybrid,,Biotechnology,Bentham,2024-2026
Current Pharmaceutical Design,1873-4286,Hybrid,,Pharmacy & pharmacology,Bentham,2024-2026
Current Physical Chemistry,1877-9476,Hybrid,,Physical Chemistry,Bentham,2024-2026
Current Protein & Peptide Science,1875-5550,Hybrid,,Protein Science / biochemistry,Bentham,2024-2026
Current Psychopharmacology,2211-5579,Hybrid,,Psychopharmacology,Bentham,2024-2026
Current Respiratory Medicine Reviews,1875-6387 ,Hybrid,, Cardiovascular Science/Respiratory medicine,Bentham,2024-2026
Current Rheumatology Reviews,1875-6360,Hybrid,,Medicine Sciences / immunology,Bentham,2024-2026
Current Signal Transduction Therapy,2212-389X,Hybrid,,Oncology & Cancer Research/Pharmacology,Bentham,2024-2026
Current Social Sciences,2772-3178,Hybrid,,Social Science,Bentham,2024-2026
Current Stem Cell Research & Therapy,2212-3946,Hybrid,,Cell Biology / Molecular medicine,Bentham,2024-2026
Current Topics in Medicinal Chemistry,1873-4294,Hybrid,,Medicinal chemistry,Bentham,2024-2026
Current Traditional Medicine,2215-0846,Hybrid,,Medicine,Bentham,2024-2026
Current Vascular Pharmacology,1875-6212,Hybrid,,Cardiology  & Cardiovascular Science,Bentham,2024-2026
Current Women's Health Reviews,1875-6581,Hybrid,,Women's Health/ Obstetrics & gynecology,Bentham,2024-2026
Drug Delivery Letters,2210-304X,Hybrid,,Drug Delivery/ Pharmaceutical science,Bentham,2024-2026
"International Journal of Sensors, Wireless Communications and Control",2210-3287 ,Hybrid,,Engineering,Bentham,2024-2026
Medicinal Chemistry,1875-6638,Hybrid,,Medicinal chemistry,Bentham,2024-2026
Micro and Nanosystems,1876-4037,Hybrid,,Nanotechnology,Bentham,2024-2026
MicroRNA, 2211-5374 ,Hybrid,,Molecular Medicine,Bentham,2024-2026
Mini-Reviews in Medicinal Chemistry,1875-5607,Hybrid,,Medicinal chemistry,Bentham,2024-2026
Mini-Reviews in Organic Chemistry,1875-6298,Hybrid,,Organic Chemistry,Bentham,2024-2026
Nanoscience & Nanotechnology-Asia,2210-6820 ,Hybrid,,Nanotechnology,Bentham,2024-2026
Pharmaceutical Nanotechnology,2211-7393,Hybrid,,Drug Delivery/ Drug Design & Discovery/Nanoscience,Bentham,2024-2026
Protein & Peptide Letters,1875-5305 ,Hybrid,,Protein Science / Biochemistry,Bentham,2024-2026
Recent Patents on Anti-Cancer Drug Discovery, 2212-3970,Hybrid,,Pharmaceutical science,Bentham,2024-2026
Recent Patents on Biotechnology,2212-4012,Hybrid,,Biotechnology,Bentham,2024-2026
Recent Patents on Engineering,2212-4047,Hybrid,,Engineering,Bentham,2024-2026
Recent Patents on Mechanical Engineering,1874-477X,Hybrid,,Engineering,Bentham,2024-2026
Recent Patents on Nanotechnology,2212-4020,Hybrid,,Nanotechnology Science,Bentham,2024-2026
Reviews on Recent Clinical Trials,1876-1038,Hybrid,,Pharmaceutical Science,Bentham,2024-2026
The International Journal of Gastroenterology and Hepatology Diseases,2666-2914,Hybrid,,Medicine,Bentham,2024-2026
The Natural Products Journal,2210-3163,Hybrid,,Natural Products Chemistry,Bentham,2024-2026
"Endocrine, Metabolic & Immune Disorders - Drug Targets", 2212-3873,Hybrid,,Immunology / Pharmacology,Bentham,2024-2026
Recent Advances in Computer Science and Communications,2666-2566,Hybrid,,Engineering,Bentham,2024-2026
"Current Science, Engineering and Technology",3050-6123,Hybrid,,Multidisciplinary,Bentham,2024-2026
Current Engineering Letters and Reviews , 2666-9498,Hybrid,,Engineering,Bentham,2024-2026
Current Physics,2772-3356,Hybrid,,Physics,Bentham,2024-2026
Current Probiotics,2666-6502,Hybrid,,Pharmaceutical Science,Bentham,2024-2026
Letters in Functional Foods,2666-9404,Hybrid,,"Food Science, Nutrition and Dietetics; Food Science and Technology",Bentham,2024-2026
Letters in Organic Chemistry,1875-6255,Hybrid,,Organic Chemistry,Bentham,2024-2026
Current Materials Science,2666-1462,Hybrid,,Material Science,Bentham,2024-2026
Current Psychiatry Research and Reviews ,2666-0830,Hybrid,,Neuroscience/ Psychiatry,Bentham,2024-2026
Current Spectroscopy and Chromatography ,2950-4902,Hybrid,,Seperation Science,Bentham,2024-2026
Current Topics in Chemistry ,2950-4031,Hybrid,,Chemistry,Bentham,2024-2026
Journal of Current Toxicology and Venomics ,2950-5712,Hybrid,,Toxicology,Bentham,2024-2026
Journal of Bio-catalysis and Photocatalysis ,3050-8827,Hybrid,,Chemistry,Bentham,2024-2026
Recent Advances in Anti-Infective Drug Discovery ,2772-4352,Hybrid,,Drug Discovery/Pharmaceutical Science,Bentham,2024-2026
Recent Advances in Drug Delivery and Formulation ,2667-3886,Hybrid,,Drug Design & Discovery,Bentham,2024-2026
Drug Metabolism and Bioanalysis Letters ,2949-6829,Hybrid,,Pharmacy & pharmacology,Bentham,2024-2026
"Recent Advances in Food, Nutrition & Agriculture ",2772-5758,Hybrid,,Food Science/Nutrition/Agriculture,Bentham,2024-2026
Journal of Intelligent Systems in Current Computer Engineering,3050-5089,Hybrid,,Engineering,Bentham,2024-2026
Current Cell Science,2772-6223,Hybrid,,"Biochemistry,  Life Sciences",Bentham,2024-2026
Current Machine Learning ( No content available),2667-3541,Hybrid,,Computer and Information Science,Bentham,2024-2026
Gene Editing Technologies ( No content available),2950-5658,Hybrid,,"Genetics, Life Sciences, Genetics Heridity",Bentham,2024-2026
Glucolipid Metabolic Disorders ( No content available),2949-9011,Hybrid,,"Biochemistry,  Life Sciences",Bentham,2024-2026
Current Surgical Endoscopy,2949-7809,Hybrid,,"Life Sciences, Imaging",Bentham,2024-2026
