Nidan: Journal for the Study of Hinduism		Annually	Reviewed in 2014	University of KwaZulu-Natal                                                    School of Religion and Theology                                     Private Bag X54001                                                       Durban, 4001	Reviewed in 2014	Does not meet some of the requirements of the Policy		1016-5320	Prof P Kumar
JOURNALS REMOVED IN 2016									
South African Rorschach Journal		Biannually		PO Box 74043                                                                   Lynwood Ridge; 0040; Pretoria                                           Tel: 012 803 3219                                                                        Fax: 012 420 2404		The journal is no longer being published regularly		1728-1989	
Marine Orthology  		Biannually		Marine Orthology                                                                P.O. Box 843                                                               Wellington, 7654       http://www.marineornithology.org		Journal is now published outside South Africa		1018-3337	Tony Gaston   marine.ornithology@ec.gc.ca
									
JOURNAL TITLE  (Previous title if applicable)		ISSN (Online)	PUBLISHER'S DETAILS	EDITOR'S DETAILS                                                    (when available)	PUBLISHER'S DETAILS	Reason		ISSN	'FREQUENCY
Annual Survey of South African Law			Mercury Crescent, Wetton 7780                                         PO Box 24299                                       Lansdowne;9779                                                                    CAPE TOWN                                                         Tel:  021 763 3515                                                            Fax: 021 797 0121	Prof Neville Botha. Email: neville.botha7@gmail.com	Mercury Crescent, Wetton 7780                                         PO Box 24299                                       Lansdowne;9779                                                                    CAPE TOWN                                                         Tel:  021 763 3515                                                            Fax: 021 797 0121	Does not meet some of the requirements of the Policy		0376-4605	Annually
African Natural History (Annals of the South African Museum)			Iziko South African Museum                                                 P O Box 61                                                                     Cape Town, 8000                                                             Tel:  021 481 3923                                                     Fax: 021 481 3991                                                               e-mail: publications@iziko.org.za	Dr HC Klinger                                                                    History Iziko, African Museam                                            P.O.Box 61                                                                              Cape Town                                                                     8000, Fax 021 481 3993	Iziko South African Museum                                                 P O Box 61                                                                     Cape Town, 8000                                                             Tel:  021 481 3923                                                     Fax: 021 481 3991                                                               e-mail: publications@iziko.org.za	No longer published		1816-8396	Annually
JOURNALS REMOVED IN 2020									
African Journal of Psychiatry (AJP) (South African Psychiatry Review)	1811-7805		In House Publication                                                   P.O.Box 412748, Craighall 2024, Johannesburg,                                                         Tel: 011 788 9139                                                       Fax: 011 788 9136                                                        E-mail: inhouse@iafrica.com	"Prof CP Szabo (Wits)                   Division of Psychiatry, Department of Neurosciences,
Faculty of Health Sciences,
University of the Witwatersrand,
7 York Road, Parktown, 2193, 
Johannesburg,
South Africa.
email: christopher.szabo@wits.ac.za
Tel: +27 11 717 2249 "	In House Publication                                                   P.O.Box 412748, Craighall 2024, Johannesburg,                                                         Tel: 011 788 9139                                                       Fax: 011 788 9136                                                        E-mail: inhouse@iafrica.com	Journal discontinued		Yes                                            URL: http://www.ajop.co.za/Archive.asp	Quarterly
African East-Asian Affairs	2308-8699		Centre for Chinese Studies, Private Bag X 1, Matieland 7602, South Africa	Mr Harrie Esterhuyse                                         Email: hesterhuyse@sun.ac.za	Centre for Chinese Studies, Private Bag X 1, Matieland 7602, South Africa	Journal discontinued		http://aeaa.journals.ac.za	Quarterly
Scholia: Studies in  Classical Antiquity (Scholia: Natal Studies in Antiquity )	1018-9017		University of Otago   in Association with UKZN                                                 P.O.Box 56, Dunedin, New Zealand                                          Tel:+64 02 479 8710;                   Fax:+64 03 4799029        	Prof. W.J. Dominik                                                          Dept.of Classics                                                                   University of Otago                                                    P.O.Box 56, Dunedin, New Zealand                           Tel:+64 02 479 8710; Fax:+64 03 4799029        email:william.dominik@stonebow.otago.ac.nz	University of Otago   in Association with UKZN                                                 P.O.Box 56, Dunedin, New Zealand                                          Tel:+64 02 479 8710;                   Fax:+64 03 4799029        	Journal discontinued			Annually
Feminist Africa	1726-4596		All Africa House                                                          University of Cape Town                                              Private Bag; Rondeboch;7700;                                     Tel:  021 650 2970                                                        Fax: 021 685 2142		All Africa House                                                          University of Cape Town                                              Private Bag; Rondeboch;7700;                                     Tel:  021 650 2970                                                        Fax: 021 685 2142	Last published in 2017/ The seat of publication is Ghana.			Biannually
JOURNALS REMOVED IN 2022									
Religion & Theology: A Journal of Contemporary Religious Discourse	1023-0807		PO Box 392; Pretoria; 0003; Tel: 012 429 3081; Fax: 012 429 3449	Prof G van den Heever, UNISA. Email: vdheega@unisa.ac.za 	PO Box 392; Pretoria; 0003; Tel: 012 429 3081; Fax: 012 429 3449	The journal is fully owned and solely published in The Netherlands by Koninklijke Brill NV, Leiden. It is therefore not a South African journal		"Yes                                         URL: http://www.journals.co.za/ej/ejour_iscrime.html

http://www.iss.co.za/pgcontent.php?UID=649"	Quarterly
SA Bone and Joint Surgery	1024-6274		Cannon Medical Media Publication                          P.O.Box 2433                                                             Randburg, 2125                                                              Tel: 011 791 2615, Fax: 011 791 2618                                      E-mail: cmm@iafrica.com		Cannon Medical Media Publication                          P.O.Box 2433                                                             Randburg, 2125                                                              Tel: 011 791 2615, Fax: 011 791 2618                                      E-mail: cmm@iafrica.com	Discontinued			Quarterly
Pharos Journal of Theology (Formelry Ekklesiastikos Pharos)		2414-3324	Africajournals	Prof Thekla Sansaridou-Hendrickx. Email: africajournals@hotmail.com	Africajournals	The editor requested the journal to be removed from DHET List as it appears on DOAJ and Scopus		www.pharosjot.com	Annually
JOURNALS REMOVED IN 2023									
IMIESA	0257-1978		3S Media, PO Box 92026, Norwood, 2117. Email: enquirires@3smedia.co.za; Tell: (011) 233 2600	Alastair Currie	3S Media, PO Box 92026, Norwood, 2117. Email: enquirires@3smedia.co.za; Tell: (011) 233 2600	The editor requested the journal to be removed from DHET List as they "don’t publish in an academic format, and articles are not peer reviewed" 			Monthly
African Journal of Hospitality, tourism and Leisure (AJHTL)	2223-814x		Africa Journals	Prof Tembi Tichaawa, University of Johannesburg. Email: tembit@uj.ac.za	Africa Journals	The editor requested the journal to be removed from DHET List as it appears on DOAJ and Scopus		www.ajhtl.com	6 Issues a year 
	Journals Removed in 2024								
South African Journal for Science and Technology   /                                            Suid-Afrikaanse Tydskrif vir Natuurwetenskap en Tegnologie	0254-3486 	2222-4173	South African Journal of Science and Technology in South Africa	Prof Kobus Maree	South African Journal of Science and Technology in South Africa	DOAJ confirmed that the Journal was missing clear information on copyright & licensing and the editorial board, and displayed conflicting infromation regarding author charges.		YES, URL: http://www.satnt.ac.za	Continuous Online
